Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Парфеньевская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532					
1	"Число избирателей, внесенных в списки избирателей"	5666	142	305	1382	173	298	283	1607	760	214	133	194	175					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5815	160	350	1400	170	300	300	1650	750	200	145	200	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3234	74	143	679	133	184	170	984	455	120	97	120	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	559	26	84	110	25	35	28	74	32	35	13	26	71					
6	Число погашенных избирательных бюллетеней	2022	60	123	611	12	81	102	592	263	45	35	54	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	559	26	84	110	25	35	28	74	32	35	13	26	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3234	74	143	679	133	184	170	984	455	120	97	120	75					
9	Число недействительных избирательных бюллетеней	33	0	1	1	1	4	4	13	5	1	0	2	1					
10	Число действительных избирательных бюллетеней	3760	100	226	788	157	215	194	1045	482	154	110	144	145					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	54	3	4	8	3	4	4	10	6	3	3	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	29	0	4	0	3	1	3	8	3	3	2	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	29	0	1	4	1	1	1	13	2	1	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	25	3	0	8	0	3	1	2	3	0	1	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	0	0	0	0	5	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	210	12	29	25	1	2	14	59	31	7	10	6	14					
		5.54%	12.00%	12.78%	3.17%	0.63%	0.91%	7.07%	5.58%	6.37%	4.52%	9.09%	4.11%	9.59%					
19	2.Всероссийская политическая партия «Гражданская Сила»	17	0	0	1	1	2	2	4	3	0	3	0	1					
		0.45%	0.00%	0.00%	0.13%	0.63%	0.91%	1.01%	0.38%	0.62%	0.00%	2.73%	0.00%	0.68%					
20	3.Политическая партия «Демократическая партия России»	5	0	2	1	0	0	1	0	0	0	1	0	0					
		0.13%	0.00%	0.88%	0.13%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	391	9	16	81	7	20	24	126	52	19	12	10	15					
		10.31%	9.00%	7.05%	10.27%	4.43%	9.13%	12.12%	11.91%	10.68%	12.26%	10.91%	6.85%	10.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	41	1	0	7	0	0	3	13	3	2	0	0	12					
		1.08%	1.00%	0.00%	0.89%	0.00%	0.00%	1.52%	1.23%	0.62%	1.29%	0.00%	0.00%	8.22%					
23	6.Политическая партия «Партия социальной справедливости»	12	0	0	0	0	2	0	4	3	0	0	1	2					
		0.32%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.38%	0.62%	0.00%	0.00%	0.68%	1.37%					
24	7.Политическая партия «Либерально-демократическая партия России»	425	12	15	101	13	20	27	130	53	20	5	14	15					
		11.20%	12.00%	6.61%	12.80%	8.23%	9.13%	13.64%	12.29%	10.88%	12.90%	4.55%	9.59%	10.27%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	337	26	18	63	16	13	17	101	30	8	14	20	11					
		8.88%	26.00%	7.93%	7.98%	10.13%	5.94%	8.59%	9.55%	6.16%	5.16%	12.73%	13.70%	7.53%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	1	0	9	0	5	0	5	1	0	1	2	1					
		0.66%	1.00%	0.00%	1.14%	0.00%	2.28%	0.00%	0.47%	0.21%	0.00%	0.91%	1.37%	0.68%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2283	39	145	498	119	151	106	600	301	97	64	90	73					
		60.19%	39.00%	63.88%	63.12%	75.32%	68.95%	53.54%	56.71%	61.81%	62.58%	58.18%	61.64%	50.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	14	0	1	2	0	0	0	3	5	1	0	1	1					
		0.37%	0.00%	0.44%	0.25%	0.00%	0.00%	0.00%	0.28%	1.03%	0.65%	0.00%	0.68%	0.68%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
