Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Дегтярская  городская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240					
1	"Число избирателей, внесенных в списки"	12384	2474	2116	2447	2376	1959	1012					
2	"Число бюллетеней, полученных участковыми комиссиями"	12150	2440	2150	2400	2310	1900	950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4792	665	950	1024	1078	729	346					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	250	63	43	46	40	38	20					
6	Число погашенных бюллетеней	7108	1712	1157	1330	1192	1133	584					
7	Число бюллетеней в переносных ящиках для голосования	250	63	43	46	40	38	20					
8	Число бюллетеней в стационарных ящиках для голосования	4792	665	950	1024	1078	729	346					
9	Число недействительных бюллетеней	72	10	11	24	10	14	3					
10	Число действительных бюллетеней	4970	718	982	1046	1108	753	363					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	20	20	20	20	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	48	8	7	8	10	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	11	2	13	6	6	2					
14	Число погашенных открепительных удостоверений	52	12	13	12	10	0	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	44	6	7	7	6	12	6					
		0.87%	0.82%	0.70%	0.65%	0.53%	1.56%	1.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	23	12	33	34	15	9					
		2.49%	3.15%	1.20%	3.08%	3.04%	1.95%	2.45%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	294	30	71	58	75	42	18					
		5.83%	4.12%	7.15%	5.42%	6.70%	5.47%	4.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	152	19	36	28	36	17	16					
		3.01%	2.60%	3.62%	2.61%	3.22%	2.21%	4.37%					
22	"5. ""За Русь Святую"""	54	21	12	6	9	4	2					
		1.07%	2.88%	1.20%	0.56%	0.80%	0.52%	0.54%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	3	0	3	0	2	1					
		0.17%	0.41%	0.0%	0.28%	0.0%	0.26%	0.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	25	3	3	6	5	5	3					
		0.49%	0.41%	0.30%	0.56%	0.44%	0.65%	0.81%					
25	"8. ""Народно-республиканская партия России"""	12	1	2	4	2	0	3					
		0.23%	0.13%	0.20%	0.37%	0.17%	0.0%	0.81%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	1	5	8	4	4	1					
		0.45%	0.13%	0.50%	0.74%	0.35%	0.52%	0.27%					
27	"10. ""Аграрная партия России"""	120	14	16	25	36	21	8					
		2.38%	1.92%	1.61%	2.33%	3.22%	2.73%	2.18%					
28	"11. ""Истинные патриоты России"""	4	1	1	1	0	0	1					
		0.07%	0.13%	0.10%	0.09%	0.0%	0.0%	0.27%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	86	3	18	25	18	13	9					
		1.70%	0.41%	1.81%	2.33%	1.61%	1.69%	2.45%					
30	"13. ""Демократическая партия России"""	21	4	4	3	6	2	2					
		0.41%	0.54%	0.40%	0.28%	0.53%	0.26%	0.54%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	2	7	3	2	3	1					
		0.35%	0.27%	0.70%	0.28%	0.17%	0.39%	0.27%					
32	"15. ""Партия СЛОН"""	6	1	2	2	1	0	0					
		0.11%	0.13%	0.20%	0.18%	0.08%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	338	40	101	64	75	42	16					
		6.70%	5.49%	10.17%	5.98%	6.70%	5.47%	4.37%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	3	3	0	4	1	1					
		0.23%	0.41%	0.30%	0.0%	0.35%	0.13%	0.27%					
35	"18. ""ЛДПР"""	814	129	151	157	161	153	63					
		16.14%	17.71%	15.20%	14.67%	14.40%	19.94%	17.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	104	16	14	23	21	18	12					
		2.06%	2.19%	1.40%	2.14%	1.87%	2.34%	3.27%					
37	"20. ""Политическая партия ""Единая Россия"""	1943	305	332	431	405	324	146					
		38.53%	41.89%	33.43%	40.28%	36.22%	42.24%	39.89%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	3	2	4	1	2	1					
		0.25%	0.41%	0.20%	0.37%	0.08%	0.26%	0.27%					
39	"22. ""Развитие предпринимательства"""	17	1	2	3	6	4	1					
		0.33%	0.13%	0.20%	0.28%	0.53%	0.52%	0.27%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	577	71	151	117	161	47	30					
		11.44%	9.75%	15.20%	10.93%	14.40%	6.12%	8.19%					
													
41	Против всех	158	18	30	35	40	22	13					
		3.13%	2.47%	3.02%	3.27%	3.57%	2.86%	3.55%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
