Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Верхнеколымская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112					
1	"Число избирателей, внесенных в списки"	4090	182	429	878	535	790	493	151	272	360					
2	"Число бюллетеней, полученных участковыми комиссиями"	3870	170	400	850	450	750	500	140	270	340					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	63	3	0	0	0	0	0	0	41	19					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2169	134	250	416	283	369	213	93	176	235					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	135	5	9	40	10	12	10	9	18	22					
6	Число погашенных бюллетеней	1503	28	141	394	157	369	277	38	35	64					
7	Число бюллетеней в переносных ящиках для голосования	198	8	9	40	10	12	10	9	59	41					
8	Число бюллетеней в стационарных ящиках для голосования	2169	134	250	416	283	369	213	93	176	235					
9	Число недействительных бюллетеней	23	2	0	2	1	2	4	2	8	2					
10	Число действительных бюллетеней	2344	140	259	454	292	379	219	100	227	274					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	59	6	5	8	6	7	6	5	6	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	1	2	6	1	4	0	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	0	1	3	0	4	0	0	0	0					
14	Число погашенных открепительных удостоверений	42	5	3	2	5	3	6	4	6	8					
15	Число открепительных удостоверений выданных ТИК	13	0	0	2	2	4	3	0	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	58	1	2	10	9	8	7	4	9	8					
		2.45%	0.70%	0.77%	2.19%	3.07%	2.09%	3.13%	3.92%	3.82%	2.89%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	241	24	14	44	23	35	10	10	40	41					
		10.18%	16.90%	5.40%	9.64%	7.84%	9.18%	4.48%	9.80%	17.02%	14.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	61	4	8	14	4	9	6	1	8	7					
		2.57%	2.81%	3.08%	3.07%	1.36%	2.36%	2.69%	0.98%	3.40%	2.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	60	0	2	11	11	20	7	3	4	2					
		2.53%	0.0%	0.77%	2.41%	3.75%	5.24%	3.13%	2.94%	1.70%	0.72%					
22	"5. ""За Русь Святую"""	6	2	1	0	1	0	1	0	1	0					
		0.25%	1.40%	0.38%	0.0%	0.34%	0.0%	0.44%	0.0%	0.42%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	0	1	0	1	3	0	1	0					
		0.25%	0.0%	0.0%	0.21%	0.0%	0.26%	1.34%	0.0%	0.42%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	5	0	2	0	0	1	0	1	0	1					
		0.21%	0.0%	0.77%	0.0%	0.0%	0.26%	0.0%	0.98%	0.0%	0.36%					
25	"8. ""Народно-республиканская партия России"""	1	0	0	0	0	0	0	0	0	1					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	0	0	1	1	3	0	1	0					
		0.25%	0.0%	0.0%	0.0%	0.34%	0.26%	1.34%	0.0%	0.42%	0.0%					
27	"10. ""Аграрная партия России"""	75	4	10	15	4	5	4	0	9	24					
		3.16%	2.81%	3.86%	3.28%	1.36%	1.31%	1.79%	0.0%	3.82%	8.69%					
28	"11. ""Истинные патриоты России"""	8	0	0	4	0	0	2	0	1	1					
		0.33%	0.0%	0.0%	0.87%	0.0%	0.0%	0.89%	0.0%	0.42%	0.36%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	17	1	0	3	1	5	3	2	1	1					
		0.71%	0.70%	0.0%	0.65%	0.34%	1.31%	1.34%	1.96%	0.42%	0.36%					
30	"13. ""Демократическая партия России"""	3	1	1	0	0	0	0	0	0	1					
		0.12%	0.70%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	0	0	1	0	0	0	1	1	4					
		0.29%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.98%	0.42%	1.44%					
32	"15. ""Партия СЛОН"""	3	0	0	0	0	2	0	1	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.98%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	280	15	47	46	28	31	36	8	31	38					
		11.82%	10.56%	18.14%	10.08%	9.55%	8.13%	16.14%	7.84%	13.19%	13.76%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	7	0	0	2	1	2	0	1	0	1					
		0.29%	0.0%	0.0%	0.43%	0.34%	0.52%	0.0%	0.98%	0.0%	0.36%					
35	"18. ""ЛДПР"""	193	12	51	32	28	18	21	15	12	4					
		8.15%	8.45%	19.69%	7.01%	9.55%	4.72%	9.41%	14.70%	5.10%	1.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	1	3	1	5	1	5	0	4	5					
		1.05%	0.70%	1.15%	0.21%	1.70%	0.26%	2.24%	0.0%	1.70%	1.81%					
37	"20. ""Политическая партия ""Единая Россия"""	952	37	87	218	143	189	90	47	70	71					
		40.21%	26.05%	33.59%	47.80%	48.80%	49.60%	40.35%	46.07%	29.78%	25.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	0	1	1	1	1	0	0	0	0					
		0.16%	0.0%	0.38%	0.21%	0.34%	0.26%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	0	0	0	0	1	0	0	0	1					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.36%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	237	30	19	40	18	32	12	2	27	57					
		10.01%	21.12%	7.33%	8.77%	6.14%	8.39%	5.38%	1.96%	11.48%	20.65%					
																
41	Против всех	87	8	11	11	14	17	9	4	7	6					
		3.67%	5.63%	4.24%	2.41%	4.77%	4.46%	4.03%	3.92%	2.97%	2.17%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
