Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Южская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829					
1	"Число избирателей, внесенных в списки"	19214	1709	1813	1988	1782	1614	1587	1731	746	523	734	101	1668	426	208	502	461	212	186	347	207	450	219					
2	"Число бюллетеней, полученных участковыми комиссиями"	17300	1550	1600	1800	1600	1450	1450	1550	650	450	650	100	1500	400	200	450	400	200	150	400	150	400	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9461	810	826	911	870	711	726	761	445	310	374	51	1098	209	118	326	152	114	98	146	44	256	105					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1167	76	38	61	72	40	59	54	32	53	103	0	37	107	33	14	137	20	37	44	81	29	40					
6	Число погашенных бюллетеней	6672	664	736	828	658	699	665	735	173	87	173	49	365	84	49	110	111	66	15	210	25	115	55					
7	Число бюллетеней в переносных ящиках для голосования	1167	76	38	61	72	40	59	54	32	53	103	0	37	107	33	14	137	20	37	44	81	29	40					
8	Число бюллетеней в стационарных ящиках для голосования	9458	810	826	911	869	709	726	761	445	310	374	51	1098	209	118	326	152	114	98	146	44	256	105					
9	Число недействительных бюллетеней	113	4	12	7	4	12	10	17	2	5	10	0	13	3	4	0	2	5	1	1	1	0	0					
10	Число действительных бюллетеней	10512	882	852	965	937	737	775	798	475	358	467	51	1122	313	147	340	287	129	134	189	124	285	145					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	20	20	15	20	20	20	20	7	5	5	3	10	5	2	5	5	2	2	3	2	5	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	10	5	4	7	4	6	4	5	0	5	0	7	0	1	5	2	0	0	1	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	5	3	4	6	4	6	0	5	3	17	1	2	1	0	0	1	4	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	132	10	15	11	13	16	14	16	2	5	1	3	3	5	1	0	3	2	2	2	2	4	2					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
