Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Казань, Вахитовская"																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
1	"Число избирателей, внесенных в списки"	68775	665	708	862	1004	802	842	435	909	360	560	959	1491	938	2138	1569	851	1598	2181	1257	418	922	1282	609	1547	498	384	520	627	661	611	894	1189	1060	1115	958	568	734	368	1137	1784	978	1926	444	1517	1474	1664	1181	1142	2047	1461	965	1582	1002	963	1234	2074	1004	1763	2198	1142	456	296	171	65	111	216	121	306	336	114	56	53	285	192	221					
2	"Число бюллетеней, полученных участковыми комиссиями"	66031	630	600	660	870	790	740	500	850	300	520	840	1720	810	2200	1600	930	1900	1910	1110	330	830	1160	500	1100	420	340	500	600	600	510	830	1050	1046	1000	820	460	620	500	1000	1640	1450	1700	310	1500	1310	1500	1160	1100	1900	1400	870	1400	840	850	960	1900	850	1800	2200	2300	600	300	200	80	120	220	130	350	305	120	100	100	300	220	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44743	430	449	548	710	586	533	260	460	208	268	541	914	596	1295	1028	519	933	1466	797	255	602	706	371	1072	256	235	335	384	415	366	540	687	617	708	618	305	474	330	671	1143	938	1204	269	1022	989	1125	797	715	1301	1016	593	1181	670	543	773	1251	615	964	1127	1121	443	296	171	65	111	216	121	306	305	114	52	49	282	146	221					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1960	7	16	21	30	27	39	32	39	60	57	49	60	27	54	34	40	78	61	44	5	21	18	25	1	18	10	15	18	13	14	28	43	164	39	22	7	13	38	40	96	40	32	29	26	21	22	17	31	30	35	18	10	11	31	66	38	12	21	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	19326	193	135	91	130	177	168	208	351	32	195	250	746	187	851	538	371	889	383	269	70	207	436	104	27	146	95	150	198	172	129	262	320	265	253	180	148	133	132	289	401	472	464	12	452	300	353	346	354	569	349	259	209	159	276	121	611	223	814	1047	1158	157	4	29	15	9	4	9	44	0	6	48	51	18	74	29					
7	Число бюллетеней в переносных ящиках для голосования	1960	7	16	21	30	27	39	32	39	60	57	49	60	27	54	34	40	78	61	44	5	21	18	25	1	18	10	15	18	13	14	28	43	164	39	22	7	13	38	40	96	40	32	29	26	21	22	17	31	30	35	18	10	11	31	66	38	12	21	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	44698	430	448	547	710	586	531	260	457	208	267	541	914	596	1293	1026	519	933	1466	797	255	602	706	371	1071	255	234	335	382	415	366	540	687	617	708	618	305	474	330	669	1137	938	1201	269	1022	987	1120	795	715	1301	1016	593	1175	670	543	773	1251	613	964	1127	1121	443	296	171	65	111	216	121	306	305	114	52	49	282	146	221					
9	Число недействительных бюллетеней	1086	8	2	10	2	12	11	8	9	6	9	12	29	12	8	36	40	6	23	24	10	19	8	9	6	6	3	7	4	15	9	12	11	5	10	20	14	9	5	18	38	27	36	8	15	14	17	4	18	26	18	21	15	13	15	14	34	31	47	59	45	6	9	6	1	3	5	3	45	13	1	0	1	6	1	4					
10	Число действительных бюллетеней	45572	429	462	558	738	601	559	284	487	262	315	578	945	611	1339	1024	519	1005	1504	817	250	604	716	387	1066	267	241	343	396	413	371	556	719	776	737	620	298	478	363	691	1195	951	1197	290	1033	994	1125	808	728	1305	1033	590	1170	668	559	825	1255	594	938	1094	1097	437	287	165	64	108	211	118	261	292	113	52	48	276	145	217					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2494	60	80	30	30	30	30	30	30	30	30	30	30	50	64	50	30	50	50	30	30	30	60	30	80	30	30	30	30	30	30	30	30	30	32	30	30	30	30	30	30	38	60	30	120	50	60	60	40	61	60	30	110	60	30	30	49	30	30	30	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1684	33	62	11	14	14	15	11	14	10	9	18	29	29	51	38	14	30	39	24	10	27	52	8	67	8	3	22	23	20	11	14	24	18	29	18	9	19	21	19	26	27	60	15	78	43	38	42	30	47	60	16	78	45	19	26	39	11	30	29	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4218	22	62	111	38	164	35	21	19	14	11	21	25	33	49	26	27	27	10	30	44	19	40	57	153	26	10	27	23	15	56	21	23	60	76	20	14	22	35	30	53	27	41	12	20	24	30	27	14	25	7	21	25	18	30	79	35	32	18	14	16	384	296	170	56	45	203	121	217	159	0	23	25	228	15	192					
