Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Вязниковская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №1086									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	66420	2117	2100	2063	1390	1955	1880	1744	1714	1837	1762	1419	424	1425	2062	2019	1906	1846	568	311	1556	1203	856	1160	999	540	250	885	160	469	435	351	1407	1459	1554	708	751	128	490	393	463	1787	372	632	611	271	422	344	608	2025	264	1337	1484	1638	217	465	963	1120	370	239	205	827	897	476	276	430	176	582	149	474									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64600	2000	2000	2000	1300	1900	1900	1700	1700	1800	1700	1400	400	1400	2000	2000	1900	1800	500	300	1500	1100	800	1100	1000	500	250	800	158	450	450	350	1300	1400	1500	700	700	290	500	390	400	1700	350	600	600	270	400	330	600	2000	266	1300	1400	1600	450	450	900	1100	350	240	203	800	900	450	270	400	181	550	152	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21148	677	645	568	399	584	574	477	529	682	649	445	208	427	651	585	733	685	209	98	445	320	283	336	345	198	50	251	53	129	127	123	485	554	535	264	256	73	178	126	149	436	104	217	202	81	143	95	188	727	82	401	413	487	188	121	274	326	123	56	72	207	299	84	65	172	63	202	45	170									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3965	28	58	128	21	41	29	89	24	30	27	46	7	20	35	28	22	12	52	21	105	79	67	49	32	81	74	101	68	79	96	30	180	37	61	60	83	55	85	45	77	151	56	91	68	27	38	38	39	87	48	45	85	100	29	113	101	106	38	70	8	70	32	83	27	23	27	55	12	36									
6	Число погашенных избирательных бюллетеней	39487	1295	1297	1304	880	1275	1297	1134	1147	1088	1024	909	185	953	1314	1387	1145	1103	239	181	950	701	450	715	623	221	126	448	37	242	227	197	635	809	904	376	361	162	237	219	174	1113	190	292	330	162	219	197	373	1186	136	854	902	1013	233	216	525	668	189	114	123	523	569	283	178	205	91	293	95	244									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3965	28	58	128	21	41	29	89	24	30	27	46	7	20	35	28	22	12	52	21	105	79	67	49	32	81	74	101	68	79	96	30	180	37	61	60	83	55	85	45	77	151	56	91	68	27	38	38	39	87	48	45	85	100	29	113	101	106	38	70	8	70	32	83	27	23	27	55	12	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21140	677	645	568	399	584	574	477	527	676	649	445	208	427	651	585	733	685	209	98	445	320	283	336	345	198	50	251	53	129	127	123	485	554	535	264	256	73	178	126	149	436	104	217	202	81	143	95	188	727	82	401	413	487	188	121	274	326	123	56	72	207	299	84	65	172	63	202	45	170									
9	Число недействительных избирательных бюллетеней	554	21	16	15	12	5	14	11	14	22	10	16	16	16	18	18	26	19	7	0	14	13	6	7	6	3	2	5	0	1	2	0	6	11	4	0	12	0	4	3	10	13	2	6	5	2	4	3	2	11	0	10	11	23	3	3	13	8	5	3	2	2	16	0	4	3	2	7	1	5									
10	Число действительных избирательных бюллетеней	24551	684	687	681	408	620	589	555	537	684	666	475	199	431	668	595	729	678	254	119	536	386	344	378	371	276	122	347	121	207	221	153	659	580	592	324	327	128	259	168	216	574	158	302	265	106	177	130	225	803	130	436	487	564	214	231	362	424	156	123	78	275	315	167	88	192	88	250	56	201									
