Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Аргаяшская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в списки избирателей"	32368	1737	1722	1958	1982	548	912	157	244	445	233	201	153	615	178	711	803	470	571	228	234	1259	485	403	167	1592	581	473	155	153	300	184	653	607	722	419	368	1182	1494	604	632	374	592	765	420	600	255	879	174	993	343	290	148					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29934	1456	1450	1788	1850	450	720	150	230	430	220	180	140	560	180	620	810	460	710	240	240	1300	390	490	140	1600	570	470	160	140	270	180	650	580	530	415	360	815	1250	600	450	340	570	770	440	600	250	850	195	900	330	300	145					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19866	995	896	1085	1057	339	557	134	206	362	171	123	130	411	145	427	457	268	456	163	171	745	267	251	130	1011	459	340	113	92	211	145	414	326	510	255	269	543	739	335	402	231	374	457	306	341	180	559	156	581	225	217	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1196	35	66	96	38	3	21	9	7	14	3	4	8	33	2	15	39	26	9	28	3	13	29	10	10	17	11	13	0	5	10	6	28	52	20	44	31	20	20	43	45	8	24	12	17	13	12	21	6	119	44	25	9					
6	Число погашенных избирательных бюллетеней	8872	426	488	607	755	108	142	7	17	54	46	53	2	116	33	178	314	166	245	49	66	542	94	229	0	572	100	117	47	43	49	29	208	202	0	116	60	252	491	222	3	101	172	301	117	246	58	270	33	200	61	58	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1196	35	66	96	38	3	21	9	7	14	3	4	8	33	2	15	39	26	9	28	3	13	29	10	10	17	11	13	0	5	10	6	28	52	20	44	31	20	20	43	45	8	24	12	17	13	12	21	6	119	44	25	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19863	995	895	1084	1056	339	557	134	206	362	171	123	130	411	145	427	457	268	456	163	171	745	267	251	130	1011	459	340	113	92	211	145	414	326	510	255	269	543	739	335	402	231	374	457	306	341	180	559	156	581	225	217	129					
9	Число недействительных избирательных бюллетеней	311	11	18	10	13	3	8	4	2	1	2	2	1	9	0	4	4	0	19	5	5	5	4	6	2	15	9	0	1	4	0	2	7	5	5	5	6	10	15	10	10	6	5	9	6	14	3	4	0	13	7	1	1					
10	Число действительных избирательных бюллетеней	20748	1019	943	1170	1081	339	570	139	211	375	172	125	137	435	147	438	492	294	446	186	169	753	292	255	138	1013	461	353	112	93	221	149	435	373	525	294	294	553	744	368	437	233	393	460	317	340	189	576	162	687	262	241	137					
