Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Октябрьская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244					
1	"Число избирателей, внесенных в список избирателей"	25479	1770	1481	1280	1655	775	851	159	348	202	286	259	2003	2271	800	127	474	1100	422	412	244	470	329	489	613	337	621	245	105	448	319	169	266	254	301	350	192	278	1372	147	114	344	550	120	127					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25530	1755	1355	1300	1692	770	856	151	336	216	287	254	1985	2273	847	125	483	1084	438	427	250	478	331	496	625	329	619	253	107	450	315	169	263	259	303	358	197	283	1410	143	111	348	545	116	138					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11086	754	599	553	807	243	337	81	143	108	177	152	743	763	359	58	282	379	147	146	146	225	143	223	352	212	295	124	59	222	130	103	135	153	155	196	80	89	553	88	62	148	238	70	54					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1946	66	145	45	82	78	33	7	24	50	25	14	128	150	50	25	42	114	95	105	9	58	11	26	35	13	20	25	12	36	32	14	13	15	20	18	16	48	89	13	13	32	69	11	20					
6	Число погашенных избирательных бюллетеней	12410	935	611	702	803	449	486	63	169	58	85	88	1114	1360	438	42	159	569	195	176	95	195	177	212	238	104	303	104	36	192	153	52	115	91	128	144	101	138	747	42	36	168	238	35	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2033	66	145	45	82	78	33	7	24	50	25	14	128	150	50	25	42	136	95	105	9	58	11	61	35	13	21	25	12	36	32	14	13	15	20	18	16	56	110	13	13	32	69	11	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11085	754	599	553	807	243	336	81	143	108	177	152	743	763	359	58	282	379	147	146	146	225	143	223	352	212	295	124	59	222	130	103	135	153	155	196	80	89	553	88	62	148	238	70	54					
9	Число недействительных избирательных бюллетеней	272	16	12	13	13	6	4	2	2	1	9	3	20	14	6	0	21	0	6	2	10	6	4	2	28	4	12	1	0	4	5	1	2	2	3	4	1	0	22	2	2	1	5	0	1					
10	Число действительных избирательных бюллетеней	12846	804	732	585	876	315	365	86	165	157	193	163	851	899	403	83	303	515	236	249	145	277	150	282	359	221	304	148	71	254	157	116	146	166	172	210	95	145	641	99	73	179	302	81	73					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	198	5	5	7	6	0	3	1	1	1	3	3	9	11	4	3	1	3	3	5	3	8	38	3	8	3	0	3	3	3	3	3	3	3	3	5	1	3	5	3	3	3	3	3	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	187	5	5	7	6	0	3	1	1	1	3	3	9	11	4	3	1	3	3	5	3	8	38	3	5	3	0	3	3	3	0	3	3	1	3	5	1	3	5	0	3	3	3	3	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	13	7	1	6	0	2	2	1	0	1	0	3	4	1	0	1	1	1	2	0	2	0	0	3	2	1	4	0	1	0	0	1	0	0	0	0	1	1	0	1	2	0	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1574	98	107	77	130	35	60	9	19	23	11	28	113	142	46	5	33	51	29	40	9	23	16	28	36	19	17	12	11	37	30	12	21	14	12	14	8	18	80	15	11	23	41	7	4					
		11.99%	11.95%	14.38%	12.88%	14.62%	10.90%	16.26%	10.23%	11.38%	14.56%	5.45%	16.87%	12.97%	15.55%	11.25%	6.02%	10.19%	9.90%	11.98%	15.94%	5.81%	8.13%	10.39%	9.86%	9.30%	8.44%	5.38%	8.05%	15.49%	14.34%	18.52%	10.26%	14.19%	8.33%	6.86%	6.54%	8.33%	12.41%	12.07%	14.85%	14.67%	12.78%	13.36%	8.64%	5.41%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1965	151	132	123	194	60	47	16	20	10	19	13	151	199	82	11	13	103	50	27	14	21	30	27	28	18	11	28	17	20	24	7	21	5	10	11	20	23	88	15	22	21	57	4	2					
		14.98%	18.41%	17.74%	20.57%	21.82%	18.69%	12.74%	18.18%	11.98%	6.33%	9.41%	7.83%	17.34%	21.80%	20.05%	13.25%	4.01%	20.00%	20.66%	10.76%	9.03%	7.42%	19.48%	9.51%	7.24%	8.00%	3.48%	18.79%	23.94%	7.75%	14.81%	5.98%	14.19%	2.98%	5.71%	5.14%	20.83%	15.86%	13.27%	14.85%	29.33%	11.67%	18.57%	4.94%	2.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	133	9	4	6	10	3	3	1	0	1	3	2	6	6	8	2	4	4	1	2	3	5	3	3	3	0	2	1	0	3	2	0	2	4	2	2	2	0	5	1	4	1	7	2	1					
		1.01%	1.10%	0.54%	1.00%	1.12%	0.93%	0.81%	1.14%	0.00%	0.63%	1.49%	1.20%	0.69%	0.66%	1.96%	2.41%	1.23%	0.78%	0.41%	0.80%	1.94%	1.77%	1.95%	1.06%	0.78%	0.00%	0.63%	0.67%	0.00%	1.16%	1.23%	0.00%	1.35%	2.38%	1.14%	0.93%	2.08%	0.00%	0.75%	0.99%	5.33%	0.56%	2.28%	2.47%	1.35%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2674	202	138	115	150	72	75	15	30	19	46	31	166	190	49	13	51	81	40	25	49	64	49	96	78	56	100	47	9	59	18	10	10	63	37	102	11	30	114	20	3	38	58	27	18					
		20.38%	24.63%	18.55%	19.23%	16.87%	22.43%	20.33%	17.05%	17.96%	12.03%	22.77%	18.67%	19.06%	20.81%	11.98%	15.66%	15.74%	15.73%	16.53%	9.96%	31.61%	22.61%	31.82%	33.80%	20.16%	24.89%	31.65%	31.54%	12.68%	22.87%	11.11%	8.55%	6.76%	37.50%	21.14%	47.66%	11.46%	20.69%	17.19%	19.80%	4.00%	21.11%	18.89%	33.33%	24.32%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	206	17	22	17	32	5	8	5	0	1	6	1	12	14	1	0	5	4	3	1	2	1	2	4	3	6	4	1	2	3	1	0	1	2	1	1	0	6	4	0	0	2	5	0	1					
		1.57%	2.07%	2.96%	2.84%	3.60%	1.56%	2.17%	5.68%	0.00%	0.63%	2.97%	0.60%	1.38%	1.53%	0.24%	0.00%	1.54%	0.78%	1.24%	0.40%	1.29%	0.35%	1.30%	1.41%	0.78%	2.67%	1.27%	0.67%	2.82%	1.16%	0.62%	0.00%	0.68%	1.19%	0.57%	0.47%	0.00%	4.14%	0.60%	0.00%	0.00%	1.11%	1.63%	0.00%	1.35%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6231	322	325	242	348	138	172	40	96	103	107	88	399	346	217	52	192	272	112	153	65	160	50	124	210	121	169	59	31	130	82	87	90	78	109	80	54	68	347	47	33	93	132	41	47					
		47.50%	39.27%	43.68%	40.47%	39.15%	42.99%	46.61%	45.45%	57.49%	65.19%	52.97%	53.01%	45.81%	37.90%	53.06%	62.65%	59.26%	52.82%	46.28%	60.96%	41.94%	56.54%	32.47%	43.66%	54.26%	53.78%	53.48%	39.60%	43.66%	50.39%	50.62%	74.36%	60.81%	46.43%	62.29%	37.38%	56.25%	46.90%	52.34%	46.53%	44.00%	51.67%	42.99%	50.62%	63.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	63	5	4	5	12	2	0	0	0	0	1	0	4	2	0	0	5	0	1	1	3	3	0	0	1	1	1	0	1	2	0	0	1	0	1	0	0	0	3	1	0	1	2	0	0					
		0.48%	0.61%	0.54%	0.84%	1.35%	0.62%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.46%	0.22%	0.00%	0.00%	1.54%	0.00%	0.41%	0.40%	1.94%	1.06%	0.00%	0.00%	0.26%	0.44%	0.32%	0.00%	1.41%	0.78%	0.00%	0.00%	0.68%	0.00%	0.57%	0.00%	0.00%	0.00%	0.45%	0.99%	0.00%	0.56%	0.65%	0.00%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
