Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
Наименование Избирательной комиссии:    Новокубанская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261					
1	"Число избирателей, внесенных в списки избирателей"	65296	200	233	2120	2004	2326	403	137	1119	534	227	424	576	643	287	466	227	1563	1677	1576	1535	1537	1862	1521	1547	903	832	1615	1697	1716	1539	2324	873	1646	1191	336	303	1906	1723	1990	258	406	123	285	187	852	2632	422	601	56	1200	1192	1601	1501	1157	1148	925	191	1416	2053	919	833					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	64891	200	276	2100	2014	2301	380	129	1130	525	225	430	560	645	285	475	225	1586	1679	1576	1545	1536	1744	1608	1597	868	848	1590	1673	1700	1567	2348	864	1606	1153	347	304	1885	1711	1950	256	410	122	279	183	850	2550	414	590	52	1170	1170	1570	1475	1145	1105	915	194	1415	2070	915	856					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	40450	172	220	1334	1224	1357	231	111	757	367	179	291	394	487	238	440	133	1009	991	895	968	955	909	990	877	581	489	910	892	1018	921	1375	508	1010	821	145	202	1216	1030	1378	242	267	98	167	167	561	1884	189	328	51	637	630	794	779	652	544	598	148	985	1436	760	508					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3829	4	13	101	99	190	58	4	60	52	10	30	60	30	10	11	38	18	52	100	60	46	295	127	172	39	51	124	219	103	133	88	43	77	45	61	40	110	91	46	4	20	9	38	10	51	49	33	27	0	36	47	67	85	113	78	50	18	32	85	7	60					
6	Число погашенных избирательных бюллетеней	20612	24	43	665	691	754	91	14	313	106	36	109	106	128	37	24	54	559	636	581	517	535	540	491	548	248	308	556	562	579	513	885	313	519	287	141	62	559	590	526	10	123	15	74	6	238	617	192	235	1	497	493	709	611	380	483	267	28	398	549	148	288					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3829	4	13	101	99	190	58	4	60	52	10	30	60	30	10	11	38	18	52	100	60	46	295	127	172	39	51	124	219	103	133	88	43	77	45	61	40	110	91	46	4	20	9	38	10	51	49	33	27	0	36	47	67	85	113	78	50	18	32	85	7	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40443	172	220	1334	1224	1357	231	111	757	367	179	291	394	487	238	440	133	1009	991	895	968	953	909	987	877	581	489	910	892	1018	921	1375	508	1010	821	145	202	1216	1030	1378	242	267	98	167	167	559	1884	189	328	51	637	630	794	779	652	544	598	148	985	1436	760	508					
9	Число недействительных избирательных бюллетеней	844	0	0	23	23	15	8	4	19	12	4	12	9	14	8	8	6	14	21	12	23	14	9	22	19	12	10	14	25	14	14	17	8	29	25	3	7	44	32	30	13	10	4	1	0	26	36	4	19	0	10	13	18	14	4	15	8	7	8	19	22	10					
10	Число действительных избирательных бюллетеней	43428	176	233	1412	1300	1532	281	111	798	407	185	309	445	503	240	443	165	1013	1022	983	1005	985	1195	1092	1030	608	530	1020	1086	1107	1040	1446	543	1058	841	203	235	1282	1089	1394	233	277	103	204	177	584	1897	218	336	51	663	664	843	850	761	607	640	159	1009	1502	745	558					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	995	3	3	32	30	35	5	2	17	8	3	6	8	10	4	7	3	28	25	24	23	23	26	25	30	13	12	24	25	28	25	38	13	24	17	5	4	30	26	30	3	6	2	4	3	13	40	6	9	1	18	18	24	22	17	17	14	3	21	31	14	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	547	1	0	18	21	30	0	1	17	0	0	5	6	10	0	7	0	26	23	16	15	21	15	12	30	8	8	22	18	28	14	18	3	14	4	1	4	9	10	19	3	6	2	4	0	7	16	0	1	0	1	3	3	7	1	5	5	3	3	7	1	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	321	3	4	9	5	10	8	1	1	6	3	2	2	1	3	1	3	2	3	3	3	4	17	6	6	27	4	8	10	16	17	2	5	7	3	2	7	2	5	13	3	3	4	7	4	4	7	7	3	2	1	2	5	4	3	5	1	1	6	9	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	448	2	3	14	9	5	5	1	0	8	3	1	2	0	4	0	3	2	2	8	8	2	11	13	0	5	4	2	7	0	11	20	10	10	13	4	0	21	16	11	0	0	0	0	3	6	24	6	8	1	17	15	21	15	16	12	9	0	18	24	13	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
