Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Волжская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197					
1	"Число избирателей, внесенных в списки"	57372	1702	1554	970	125	168	2480	573	397	1507	1519	2106	374	1258	843	396	680	186	143	1886	1810	1643	1136	1013	319	279	646	1095	1139	354	503	1416	1541	2266	1617	1545	2354	1251	894	1148	1147	1663	1022	1917	1602	885	1515	1947	261	1459	341	777					
2	"Число бюллетеней, полученных участковыми комиссиями"	54000	1550	1450	900	130	170	2300	600	350	1350	1400	1900	350	1200	800	400	700	170	140	1750	1700	1550	2000	1000	300	250	560	1000	1030	350	450	1300	1300	2000	1500	1400	2000	1200	900	1000	1100	1500	1000	1800	1500	800	1500	1800	250	1350	300	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26462	627	561	275	85	63	1167	242	229	515	694	816	188	478	373	189	311	144	57	783	732	727	1115	462	167	146	255	380	436	124	189	686	955	1555	768	926	1351	338	342	524	374	709	458	814	607	498	794	945	131	603	170	384					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1643	11	105	66	16	73	65	14	12	16	23	8	0	27	9	4	21	21	32	39	25	28	21	42	15	7	25	9	16	18	21	9	11	160	7	36	56	71	20	13	34	22	30	30	31	44	75	45	35	54	12	59					
6	Число погашенных бюллетеней	25895	912	784	559	29	34	1068	344	109	819	683	1076	162	695	418	207	368	5	51	928	943	795	864	496	118	97	280	611	578	208	240	605	334	285	725	438	593	791	538	463	692	769	512	956	862	258	631	810	84	693	118	257					
7	Число бюллетеней в переносных ящиках для голосования	1643	11	105	66	16	73	65	14	12	16	23	8	0	27	9	4	21	21	32	39	25	28	21	42	15	7	25	9	16	18	21	9	11	160	7	36	56	71	20	13	34	22	30	30	31	44	75	45	35	54	12	59					
8	Число бюллетеней в стационарных ящиках для голосования	26451	627	561	275	85	63	1167	242	229	515	694	816	188	478	373	189	311	144	57	781	732	727	1113	462	167	146	255	380	436	124	189	686	955	1555	767	926	1348	338	342	524	374	709	458	813	607	498	794	945	131	601	170	384					
9	Число недействительных бюллетеней	652	23	17	17	0	0	33	18	2	4	9	9	9	15	8	10	10	1	0	21	10	12	7	8	10	10	4	3	10	9	9	8	16	29	8	8	14	14	5	5	13	15	18	26	12	13	18	43	10	16	11	52					
10	Число действительных бюллетеней	27442	615	649	324	101	136	1199	238	239	527	708	815	179	490	374	183	322	164	89	799	747	743	1127	496	172	143	276	386	442	133	201	687	950	1686	766	954	1390	395	357	532	395	716	470	817	626	529	851	947	156	639	171	391					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	550	10	20	10	5	5	10	10	10	10	10	10	10	10	10	10	10	5	5	30	10	10	30	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	130	5	0	1	0	0	2	0	0	2	5	3	0	0	3	2	0	3	0	3	3	6	2	0	0	0	0	2	3	2	1	1	7	5	10	8	13	1	2	1	2	3	4	4	0	6	2	7	0	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	150	3	0	0	0	4	4	3	2	6	3	0	7	1	1	2	0	4	0	4	0	2	8	1	0	0	2	5	3	5	1	5	0	0	3	2	4	3	2	2	6	6	5	3	1	5	4	4	9	6	4	5					
14	Число погашенных открепительных удостоверений	420	5	20	9	5	5	8	10	10	8	5	7	10	10	7	8	10	2	5	27	7	4	28	10	10	10	10	8	7	8	9	9	3	5	0	2	7	9	8	9	8	7	6	6	10	4	8	3	10	5	9	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
