Выборы Президента Российской Федерации																																																																																																															
Дата голосования: 18.03.2018																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования																																																																																																															
																																																																																																															
	Число участковых избирательных комиссий	100																																																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	100																																																																																																													
																																																																																																															
		Сумма	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №1187	УИК №1189	УИК №1190									
1	"Число избирателей, включенных в список избирателей"	181970	2412	2241	1718	1006	1286	1456	2018	2166	2385	2811	2356	1638	770	2369	2780	2352	1948	2074	2093	2294	2075	2286	1991	2224	2130	2365	2505	2542	2370	2425	2503	2039	2580	2193	1714	1453	1582	2144	1239	2000	912	2796	434	1506	3017	3310	2335	1633	182	2037	2889	1290	355	536	129	209	141	84	115	125	2431	2295	110	787	3025	1713	1831	487	1585	1881	1396	1743	2587	2229	1031	2532	1938	2210	1241	1690	2326	2307	2232	2111	1284	2578	2022	1391	1571	1635	2661	2608	2066	2855	2020	2198	1953	2461	1267	1114									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	151464	2000	1800	1400	800	1100	1200	1700	1800	2000	2400	1900	1400	500	2000	2200	2000	1700	1700	1800	1900	1700	1800	1700	1800	1800	2000	2100	2200	2000	2100	2100	1700	2200	1800	1300	1200	1400	1800	1100	1800	800	2300	350	1300	2300	2500	2000	1400	450	1700	2200	1000	394	552	140	213	153	102	160	141	2000	2000	159	650	2400	1400	1500	700	1300	1500	1200	1500	2200	1800	800	2100	1600	1800	1000	1400	1900	1900	1800	1700	1000	2100	1700	1100	1300	1400	2200	2200	1700	2500	1700	1900	1600	2000	900	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	104739	1379	1258	1104	576	750	831	1105	1299	1333	1442	1289	870	313	1228	1544	1447	1167	1297	1237	1368	1268	1371	1230	1270	1389	1422	1577	1456	1373	1471	1626	1067	1556	1353	993	845	735	1220	721	1224	480	1691	294	755	1557	1897	1439	976	130	1155	1558	721	291	380	123	179	77	66	109	79	1219	1432	89	485	1828	1082	1139	487	897	1086	744	1000	1400	1229	406	1334	914	1306	445	862	1332	1341	1095	1262	853	1518	1089	780	872	949	1590	1519	1261	1702	1145	1244	1110	1312	787	633									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2558	12	12	6	18	19	19	25	25	29	17	33	49	87	25	10	22	11	5	34	24	24	14	26	20	15	30	15	18	30	10	23	23	15	42	12	18	21	23	10	8	35	54	9	36	272	12	22	21	0	21	16	19	28	123	4	17	53	14	0	38	10	41	6	7	20	18	18	0	21	22	34	29	81	27	4	13	12	15	39	10	21	22	8	9	5	65	24	26	22	47	22	58	32	20	10	23	13	21	5	5									
6	Число погашенных избирательных бюллетеней	44167	609	530	290	206	331	350	570	476	638	941	578	481	100	747	646	531	522	398	529	508	408	415	444	510	396	548	508	726	597	619	451	610	629	405	295	337	644	557	369	568	285	555	47	509	471	591	539	403	320	524	626	260	75	49	13	17	23	22	51	24	771	527	64	158	552	300	343	213	382	392	422	471	719	544	390	753	674	479	516	528	547	537	697	429	142	517	587	294	406	404	588	623	407	778	545	633	477	667	108	162									
