Выборы Президента Российской Федерации																																																																																																							
Дата голосования: 02.03.2008																																																																																																							
																																																																																																							
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																							
																																																																																																							
Сводная таблица результатов выборов																																																																																																							
																																																																																																							
	Число участковых избирательных комиссий	96																																																																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	96																																																																																																					
																																																																																																							
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, включенных в списки избирателей"	173702	1366	1223	370	931	292	577	311	130	151	227	208	2187	1377	834	1933	1910	2188	334	2416	2132	2179	1813	2776	2247	1124	1306	1753	2326	1330	1008	2273	2435	2207	2383	1599	2003	2084	1780	1821	1822	2738	2715	1788	2126	2114	2547	1455	2222	1807	2568	2509	2512	2732	1132	1446	1718	2453	2168	2755	1602	2484	1244	386	2639	2624	2845	2438	2792	2620	2188	2876	2548	2488	2283	2434	2749	1404	2816	2004	2417	2491	2144	2356	2070	1635	1598	1419	2390	1436	1736	917	1989	484	1128	873	284					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	142000	1000	900	400	950	280	600	350	150	170	250	250	1850	1250	700	1550	1600	1800	400	1900	1750	1750	1500	2250	1800	900	1050	1400	1900	1300	800	1800	1900	1800	2000	1200	1600	1600	1500	1450	1700	2200	2200	1450	1750	1700	2050	1200	1850	1500	1850	2000	2000	2250	950	1150	1400	2000	1700	2250	1250	2000	1000	250	2150	2100	2300	1950	2250	2100	1800	2350	2100	2000	1850	1950	2200	1150	2200	1650	1950	2000	1650	1900	1700	1300	1350	1200	2000	1250	1450	800	1550	400	1000	750	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	97646	818	694	284	698	275	547	305	130	151	198	191	1252	1050	518	1127	1197	1305	334	1200	1282	1198	978	1344	1167	462	602	758	1264	632	534	1218	1232	1050	1306	1191	1257	1072	1041	1028	1133	1641	1543	943	1199	1218	1290	803	1360	1087	1442	1313	1471	1465	690	904	1054	1377	1203	1278	710	1377	636	176	1270	1365	1393	1276	1470	1454	1301	1466	1263	1465	1109	1470	1264	841	1454	1250	1394	1312	1298	1485	1224	863	954	814	1248	881	1208	574	1365	350	653	476	233					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3564	43	13	61	182	5	14	0	0	0	29	0	12	65	13	21	58	69	0	87	42	112	44	56	58	10	21	28	12	65	14	25	44	48	32	0	21	44	34	27	57	50	60	38	26	14	52	32	33	12	59	28	25	18	21	18	37	40	51	44	14	34	37	50	17	4	32	28	27	40	28	67	24	37	23	12	39	11	32	24	23	31	81	21	30	45	63	23	29	17	32	99	71	10	64	188	33					
6	Число погашенных избирательных бюллетеней	40790	139	193	55	70	0	39	45	20	19	23	59	586	135	169	402	345	426	66	613	426	440	478	850	575	428	427	614	624	603	252	557	624	702	662	9	322	484	425	395	510	509	597	469	525	468	708	365	457	401	349	659	504	767	239	228	309	583	446	928	526	589	327	24	863	731	875	646	753	606	471	817	813	498	718	468	897	298	714	376	533	657	271	394	446	392	333	363	723	352	210	127	114	40	283	86	134					
