Выборы Президента Российской Федерации																																																																																																												
Дата голосования: 04.03.2012																																																																																																												
																																																																																																												
Наименование Избирательной комиссии:    Киров, Ленинская																																																																																																												
																																																																																																												
Сводная таблица итогов голосования																																																																																																												
																																																																																																												
	Число участковых избирательных комиссий	97																																																																																																										
	Число участковых избирательных комиссий, приступивших к передаче сведений	97																																																																																																										
																																																																																																												
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403									
1	Число избирателей, включенных в список избирателей	176000	204	2248	2270	1168	228	453	198	244	125	55	123	117	93	2136	1996	1965	1786	2125	556	2186	2062	1990	1656	2838	2153	1144	2624	2538	2383	1589	1319	2342	2622	2225	2409	1490	2128	1903	1662	1702	1743	2668	2629	1684	2679	2131	2538	1386	2140	1785	2010	2200	2303	1609	1059	1353	1625	2360	2198	2731	1661	2395	1356	397	2626	2713	2720	2371	2650	2744	2101	2929	2698	2019	2674	2319	2670	2296	2147	1941	2287	2360	2603	2407	2205	1699	1577	1469	2381	1497	1829	955	2266	458	1356	1143	195									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	156800	250	2000	2000	1000	300	500	190	300	130	100	130	200	200	2000	1700	1600	1500	2000	600	2000	2000	2000	1500	2500	2000	1000	2000	2000	2000	1500	1100	2000	2000	2000	2200	1300	2000	1500	1500	1500	1500	2500	2500	1500	2500	2000	2000	1100	2000	1500	2000	2000	2000	1500	1000	1100	1500	2000	2000	2500	1500	2000	1100	300	2500	2500	2500	2000	2500	2500	2000	2500	2100	2000	2200	2000	2500	2000	2000	1600	2000	2000	2500	2000	2000	1500	1500	1200	2000	1500	1500	800	2000	600	1100	1000	300									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	104612	204	1296	1312	618	178	261	178	198	65	43	117	86	77	1411	1307	1144	1202	1369	556	1255	1374	1188	1029	1627	1202	446	1234	1206	1380	591	795	1353	1532	1026	1446	837	1357	1040	1049	998	1066	1697	1600	1045	1637	1335	1500	783	1360	1113	1065	1260	1429	978	674	890	1028	1444	1326	1710	904	1478	742	164	1556	1532	1670	1492	1747	1700	1285	1734	1496	1340	1437	1524	1560	1404	1346	1244	1457	1461	1529	1461	1519	810	859	695	1355	914	1150	523	1305	326	679	564	123									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2415	0	25	36	6	41	125	5	28	52	6	2	26	0	17	35	8	41	33	0	30	28	29	34	49	36	21	23	21	19	11	11	23	30	22	34	0	21	20	36	29	40	29	40	35	19	14	26	24	20	7	41	15	23	6	23	8	18	20	30	28	12	42	29	17	16	11	23	20	13	23	17	28	19	18	20	27	33	7	17	22	23	18	22	15	31	24	39	22	30	35	8	44	43	13	42	93	20									
6	Число погашенных избирательных бюллетеней	49773	46	679	652	376	81	114	7	74	13	51	11	88	123	572	358	448	257	598	44	715	598	783	437	824	762	533	743	773	601	898	294	624	438	952	720	463	622	440	415	473	394	774	860	420	844	651	474	293	620	380	894	725	548	516	303	202	454	536	644	762	584	480	329	119	928	957	807	488	740	777	698	738	585	642	743	449	907	589	637	334	520	521	949	524	450	666	602	483	615	551	342	233	652	261	379	343	157									
