Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Забайкальская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК  530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в список"	15496	2374	2214	2242	1431	789	1102	699	1421	978	394	81	127	488	466	690					
2	Число полученных избирательных бюллетеней	15958	2350	2121	2269	1430	828	1192	1073	1347	1078	382	83	117	488	458	742					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6316	944	802	631	427	308	362	271	932	366	240	50	79	274	252	378					
5	"Число избирательных бюллетеней, выданных вне помещения"	1077	26	13	257	36	57	120	37	128	171	31	14	3	53	25	106					
6	Число погашенных избирательных бюллетеней	8565	1380	1306	1381	967	463	710	765	287	541	111	19	35	161	181	258					
7	Число избирательных бюллетеней в переносных ящиках	1077	26	13	257	36	57	120	37	128	171	31	14	3	53	25	106					
8	Число бюллетеней в стационарных ящиках для голосования	6316	944	802	631	427	308	362	271	932	366	240	50	79	274	252	378					
9	Число недействительных избирательных бюллетеней	58	4	4	8	7	3	3	4	3	6	0	0	1	4	4	7					
10	Число действительных избирательных бюллетеней	7335	966	811	880	456	362	479	304	1057	531	271	64	81	323	273	477					
11	Число полученных открепительных  удостоверений	350	30	30	30	20	20	27	23	50	20	20	10	10	20	20	20					
12	Число выданных открепительных удостоверений	153	19	17	6	9	7	1	15	50	11	2	0	0	9	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	22	7	10	7	1	2	3	11	3	1	3	0	2	1	1					
14	Число неиспользованных открепительных удостоверений	197	11	13	24	11	13	26	8	0	9	18	10	10	11	20	13					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	110	25	13	8	8	5	6	10	15	7	5	0	0	4	3	1					
		1.49%	2.58%	1.60%	0.90%	1.73%	1.37%	1.24%	3.25%	1.42%	1.30%	1.85%	0.00%	0.00%	1.22%	1.08%	0.21%					
19	. Малышкин Олег Александрович	206	23	19	36	16	7	14	11	16	12	15	2	0	7	9	19					
		2.79%	2.37%	2.33%	4.05%	3.46%	1.92%	2.90%	3.57%	1.51%	2.23%	5.54%	3.12%	0.00%	2.14%	3.25%	3.93%					
20	. Миронов Сергей Михайлович	52	3	6	9	3	2	6	1	1	4	4	0	1	3	5	4					
		0.70%	0.31%	0.74%	1.01%	0.65%	0.55%	1.24%	0.32%	0.09%	0.74%	1.48%	0.00%	1.22%	0.92%	1.81%	0.83%					
21	. Путин Владимир Владимирович	5916	750	648	735	350	288	401	246	967	437	191	56	75	219	175	378					
		80.02%	77.32%	79.51%	82.77%	75.59%	78.90%	83.20%	79.87%	91.23%	81.38%	70.48%	87.50%	91.46%	66.97%	63.18%	78.10%					
22	. Хакамада Ирина Муцуовна	183	28	37	20	11	10	19	10	20	1	8	0	1	4	5	9					
		2.48%	2.89%	4.54%	2.25%	2.38%	2.74%	3.94%	3.25%	1.89%	0.19%	2.95%	0.00%	1.22%	1.22%	1.81%	1.86%					
23	. Харитонов Николай Михайлович	696	102	56	56	55	42	28	17	18	58	46	5	0	83	73	57					
		9.41%	10.52%	6.87%	6.31%	11.88%	11.51%	5.81%	5.52%	1.70%	10.80%	16.97%	7.81%	0.00%	25.38%	26.35%	11.78%					
																						
24	Против всех	172	35	32	16	13	8	5	9	20	12	2	1	4	3	3	9					
		2.33%	3.61%	3.93%	1.80%	2.81%	2.19%	1.04%	2.92%	1.89%	2.23%	0.74%	1.56%	4.88%	0.92%	1.08%	1.86%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
