Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Вагайская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16456	203	255	641	160	817	1265	1357	784	174	393	292	136	312	93	468	356	291	400	920	138	142	372	654	111	122	675	135	354	946	134	161	241	491	267	274	462	317	308	164	178	336	157									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16714	205	251	644	162	836	1278	1383	789	177	392	291	138	310	100	475	359	293	405	977	141	145	375	661	114	123	686	135	359	991	136	165	239	498	268	277	464	320	315	166	181	329	161									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	84	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13700	185	235	511	127	658	1179	1287	442	153	197	153	108	294	91	282	327	244	380	818	136	135	348	603	102	72	361	80	284	900	92	151	203	383	253	237	427	286	255	154	105	329	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	900	12	6	61	29	26	32	18	63	9	18	33	21	8	2	28	17	38	8	102	1	4	10	33	6	0	33	5	56	46	37	5	8	5	6	26	12	19	40	4	2	0	11									
6	Число погашенных избирательных бюллетеней	2017	8	10	72	6	152	67	78	284	15	177	105	9	8	7	165	15	11	17	57	4	6	17	25	6	51	292	50	19	45	7	9	15	26	9	14	25	15	20	8	74	0	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	997	12	6	61	29	26	32	18	63	9	18	33	21	8	2	28	17	38	8	102	1	4	10	33	6	0	33	5	56	46	37	5	21	89	6	26	12	19	40	4	2	0	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13695	185	235	511	127	658	1179	1287	442	153	192	153	108	294	91	282	327	244	380	818	136	135	348	603	102	72	361	80	284	900	92	151	203	383	253	237	427	286	255	154	105	329	133									
9	Число недействительных избирательных бюллетеней	40	0	0	1	0	0	0	0	1	2	8	0	1	2	0	0	3	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	6	5	1									
10	Число действительных избирательных бюллетеней	14652	197	241	571	156	684	1211	1305	504	160	202	186	128	300	93	310	341	281	388	920	137	137	358	636	108	72	394	84	340	946	129	156	224	472	259	263	439	299	295	158	101	324	143									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	870	20	20	60	20	60	60	60	30	15	15	10	10	10	8	20	15	15	15	30	10	10	30	50	7	15	30	10	14	20	5	10	20	20	25	5	20	18	25	10	8	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	136	1	0	7	0	16	17	16	9	2	3	0	0	0	0	2	1	0	6	11	0	0	1	6	1	1	8	0	3	6	1	2	0	5	0	1	3	3	1	0	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	0	1	0	0	4	0	5	2	1	5	2	1	2	1	3	1	3	2	3	0	0	1	0	0	2	0	4	1	1	0	0	2	0	1	1	0	1	0	1	2	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	734	19	20	53	20	44	43	44	21	13	12	10	10	10	8	18	14	15	9	19	10	10	29	44	6	14	22	10	11	14	4	8	20	15	25	4	17	15	24	10	6	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	2	0	2	3	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	0	0	4	0	2	1	2	0	3	3	0	0	1	0	4	0	2	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	2	2	1	1	0	0	0	0	1									
		0.25%	0.00%	0.00%	0.70%	0.00%	0.29%	0.08%	0.15%	0.00%	1.85%	1.43%	0.00%	0.00%	0.33%	0.00%	1.29%	0.00%	0.71%	0.26%	0.11%	0.00%	0.72%	0.00%	0.00%	0.00%	1.39%	0.25%	0.00%	0.00%	0.11%	0.78%	0.00%	0.00%	0.00%	0.77%	0.76%	0.23%	0.33%	0.00%	0.00%	0.00%	0.00%	0.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	120	5	0	9	0	0	1	2	0	2	15	0	1	1	1	5	1	1	1	1	0	3	0	2	0	3	30	4	1	0	1	1	5	1	5	2	2	6	1	0	1	1	5									
		0.82%	2.54%	0.00%	1.57%	0.00%	0.00%	0.08%	0.15%	0.00%	1.23%	7.14%	0.00%	0.78%	0.33%	1.08%	1.61%	0.29%	0.35%	0.26%	0.11%	0.00%	2.16%	0.00%	0.31%	0.00%	4.17%	7.61%	4.71%	0.29%	0.00%	0.78%	0.64%	2.23%	0.21%	1.93%	0.76%	0.46%	1.97%	0.34%	0.00%	0.93%	0.30%	3.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	1	0	15	3	0	1	2	0	2	7	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	5	0	1	1	1	5	0	2	1	2	0	4	0	1	1	0	1									
		0.42%	0.51%	0.00%	2.62%	1.92%	0.00%	0.08%	0.15%	0.00%	1.23%	3.33%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.26%	0.11%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	1.27%	0.00%	0.29%	0.11%	0.78%	3.21%	0.00%	0.42%	0.39%	0.76%	0.00%	1.31%	0.00%	0.63%	0.93%	0.00%	0.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12081	168	220	392	128	596	1020	1196	335	131	84	172	94	251	74	195	314	240	368	800	117	116	321	560	94	48	192	43	290	870	105	125	199	419	210	210	339	231	270	129	40	283	92									
		82.23%	85.28%	91.29%	68.53%	82.05%	87.13%	84.23%	91.65%	66.34%	80.86%	40.00%	92.47%	72.87%	83.11%	79.57%	62.90%	91.28%	85.11%	94.85%	86.96%	85.40%	83.45%	89.66%	88.05%	87.04%	66.67%	48.73%	50.59%	85.29%	91.97%	81.40%	80.13%	88.84%	88.77%	81.08%	79.85%	77.22%	75.74%	91.53%	81.65%	37.38%	86.02%	63.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	0	3	0	2	2	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1									
		0.14%	0.51%	0.00%	0.52%	0.00%	0.29%	0.17%	0.08%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	0	0	1	0	0	2	2	0	1	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	6	1									
		0.17%	0.00%	0.00%	0.17%	0.00%	0.00%	0.17%	0.15%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	2.58%	0.00%	0.00%	0.00%	0.00%	0.00%	1.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	724	12	6	73	10	12	37	18	68	7	36	3	8	15	6	62	18	17	6	50	0	3	2	12	0	1	9	3	18	31	10	7	3	12	9	21	43	29	11	10	17	0	9									
		4.93%	6.09%	2.49%	12.76%	6.41%	1.75%	3.06%	1.38%	13.47%	4.32%	17.14%	1.61%	6.20%	4.97%	6.45%	20.00%	5.23%	6.03%	1.55%	5.43%	0.00%	2.16%	0.56%	1.89%	0.00%	1.39%	2.28%	3.53%	5.29%	3.28%	7.75%	4.49%	1.34%	2.54%	3.47%	7.98%	9.79%	9.51%	3.73%	6.33%	15.89%	0.00%	6.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	1	0	1	0	1	1	1	0	0	2	1	0	0	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.51%	0.00%	0.17%	0.00%	0.15%	0.08%	0.08%	0.00%	0.00%	0.95%	0.54%	0.00%	0.00%	0.00%	0.32%	0.29%	0.71%	0.00%	0.11%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	0	0	2	0	1	1	1	3	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0	1									
		0.14%	0.00%	0.00%	0.35%	0.00%	0.15%	0.08%	0.08%	0.59%	0.00%	0.00%	0.00%	0.78%	0.33%	0.00%	0.00%	0.00%	0.00%	0.26%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	1.18%	0.00%	0.00%	0.00%	0.64%	0.00%	0.64%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	0	0	0	1	2	1	0	0	3	0	0	0	0	5	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.15%	0.17%	0.08%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	0.26%	0.11%	0.00%	2.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.33%	0.34%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	0	0	0	0	5	2	1	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	1	0	0	0	1	0	26	2									
		0.34%	0.00%	0.00%	0.00%	0.00%	0.73%	0.17%	0.08%	0.40%	0.00%	0.48%	0.00%	0.00%	0.33%	0.00%	0.00%	0.29%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.38%	0.00%	0.00%	0.00%	0.63%	0.00%	7.90%	1.39%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1065	4	8	48	6	51	102	60	84	12	39	10	8	10	6	20	5	15	5	40	19	7	35	35	14	18	149	33	14	12	8	12	13	10	24	20	10	23	7	6	36	0	27									
		7.25%	2.03%	3.32%	8.39%	3.85%	7.46%	8.42%	4.60%	16.63%	7.41%	18.57%	5.38%	6.20%	3.31%	6.45%	6.45%	1.45%	5.32%	1.29%	4.35%	13.87%	5.04%	9.78%	5.50%	12.96%	25.00%	37.82%	38.82%	4.12%	1.27%	6.20%	7.69%	5.80%	2.12%	9.27%	7.60%	2.28%	7.54%	2.37%	3.80%	33.64%	0.00%	18.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	3	0	2	0	1	2	1	2	0	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	2	0	0	0	2	0	0									
