Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Соболевская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №146	УИК №147	УИК №148	УИК №149									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1969	1362	313	273	21									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1940	1280	320	290	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	181	181	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1077	717	188	156	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	50	14	3	33	0									
6	Число погашенных избирательных бюллетеней	632	368	129	101	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	231	195	3	33	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1077	717	188	156	16									
9	Число недействительных избирательных бюллетеней	20	14	4	2	0									
10	Число действительных избирательных бюллетеней	1288	898	187	187	16									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	35	10	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3	3	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	34	9	10	10	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	16	5	1	0									
		1.68%	1.75%	2.62%	0.53%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	31	18	4	7	2									
		2.37%	1.97%	2.09%	3.70%	12.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	23	19	3	0	1									
		1.76%	2.08%	1.57%	0.00%	6.25%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	631	433	89	101	8									
		48.24%	47.48%	46.60%	53.44%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	2	2	0	0	0									
		0.15%	0.22%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	4	1	1	0									
		0.46%	0.44%	0.52%	0.53%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	345	217	65	59	4									
		26.38%	23.79%	34.03%	31.22%	25.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	4	0	0	0									
		0.31%	0.44%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	7	1	1	0									
		0.69%	0.77%	0.52%	0.53%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1	0	0	0									
		0.08%	0.11%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	8	1	0	0									
		0.69%	0.88%	0.52%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	129	101	13	14	1									
		9.86%	11.07%	6.81%	7.41%	6.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	6	0	1	0									
		0.54%	0.66%	0.00%	0.53%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	69	62	5	2	0									
		5.28%	6.80%	2.62%	1.06%	0.00%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
