Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Солнечная поселковая												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
1	"Число избирателей, внесенных в списки избирателей"	7255	1439	1421	1545	1475	1375					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6050	1150	1350	1250	1150	1150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1267	275	286	372	203	131					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4089	822	820	825	729	893					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	134	21	26	16	56	15					
6	Число погашенных избирательных бюллетеней	560	32	218	37	162	111					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1400	295	312	388	259	146					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4089	822	820	825	729	893					
9	Число недействительных избирательных бюллетеней	70	15	13	20	6	16					
10	Число действительных избирательных бюллетеней	5419	1102	1119	1193	982	1023					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	137	27	28	28	27	27					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	51	6	15	8	7	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	26	1	6	10	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	86	21	13	20	20	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	2	4	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	77	18	17	13	18	11					
		1.40%	1.61%	1.50%	1.07%	1.82%	1.06%					
19	2.Всероссийская политическая партия «Гражданская Сила»	34	4	4	11	6	9					
		0.62%	0.36%	0.35%	0.91%	0.61%	0.87%					
20	3.Политическая партия «Демократическая партия России»	9	3	1	3	2	0					
		0.16%	0.27%	0.09%	0.25%	0.20%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	337	54	59	69	87	68					
		6.14%	4.83%	5.21%	5.69%	8.81%	6.54%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	26	3	4	6	5	8					
		0.47%	0.27%	0.35%	0.49%	0.51%	0.77%					
23	6.Политическая партия «Партия социальной справедливости»	10	4	3	2	1	0					
		0.18%	0.36%	0.27%	0.16%	0.10%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	751	161	148	176	119	147					
		13.68%	14.41%	13.07%	14.51%	12.04%	14.15%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	323	50	77	60	63	73					
		5.88%	4.48%	6.80%	4.95%	6.38%	7.03%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	37	11	7	5	8	6					
		0.67%	0.98%	0.62%	0.41%	0.81%	0.58%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3796	787	796	845	671	697					
		69.16%	70.46%	70.32%	69.66%	67.91%	67.08%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	19	7	3	3	2	4					
		0.35%	0.63%	0.27%	0.25%	0.20%	0.38%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
