Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Юстинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7106	695	776	620	872	855	540	382	73	362	81	62	342	447	413	586									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7441	722	800	648	906	883	571	397	81	384	88	67	361	476	435	622									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5238	387	444	485	616	594	330	335	47	326	72	45	311	395	331	520									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	209	10	25	14	35	28	11	12	3	10	1	0	17	11	19	13									
6	Число погашенных избирательных бюллетеней	1994	325	331	149	255	261	230	50	31	48	15	22	33	70	85	89									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	209	10	25	14	35	28	11	12	3	10	1	0	17	11	19	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5238	387	444	485	616	594	330	335	47	326	72	45	311	395	331	520									
9	Число недействительных избирательных бюллетеней	50	0	4	12	0	19	1	9	1	0	0	2	0	0	0	2									
10	Число действительных избирательных бюллетеней	5397	397	465	487	651	603	340	338	49	336	73	43	328	406	350	531									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	15	20	20	22	20	20	20	5	21	5	5	17	20	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	245	15	20	20	22	20	20	20	5	21	5	5	17	20	15	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	5	8	6	5	12	4	8	2	3	1	3	2	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	9	2	4	10	6	9	1	2	1	0	0	0	1	7	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	1	2	1	0	1	1	1	0	0	0	0	0	0	0	0									
		0.13%	0.25%	0.43%	0.20%	0.00%	0.16%	0.29%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	85	11	16	9	13	7	2	9	1	6	3	0	3	5	0	0									
