Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Тимская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9707	1407	1535	271	184	126	320	305	220	409	213	188	416	140	406	102	450	226	287	244	852	282	134	312	327	351									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7900	1150	1250	200	150	100	250	250	170	350	170	150	330	120	320	100	350	180	230	200	700	230	100	250	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3799	655	680	119	80	46	100	169	112	158	79	80	145	52	108	32	169	44	101	77	311	105	33	109	95	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1178	32	27	23	29	30	51	26	32	41	45	36	60	41	109	28	47	73	43	45	58	60	43	72	59	68									
6	Число погашенных избирательных бюллетеней	2923	463	543	58	41	24	99	55	26	151	46	34	125	27	103	40	134	63	86	78	331	65	24	69	146	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1178	32	27	23	29	30	51	26	32	41	45	36	60	41	109	28	47	73	43	45	58	60	43	72	59	68									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3796	653	679	119	80	46	100	169	112	158	79	80	145	52	108	32	169	44	101	77	311	105	33	109	95	140									
9	Число недействительных избирательных бюллетеней	109	11	20	2	4	0	3	3	5	9	2	2	3	0	1	0	12	2	4	3	12	1	3	1	2	4									
10	Число действительных избирательных бюллетеней	4865	674	686	140	105	76	148	192	139	190	122	114	202	93	216	60	204	115	140	119	357	164	73	180	152	204									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	30	15	5	5	3	5	5	3	5	2	3	5	7	5	3	18	5	5	3	16	5	2	7	7	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	23	9	0	2	0	4	5	0	3	1	0	1	2	4	0	8	0	0	2	15	4	0	0	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	6	7	3	2	0	3	3	1	0	2	1	2	0	1	2	1	0	0	0	3	1	1	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	87	7	6	5	3	3	1	0	3	2	1	3	4	5	1	3	10	5	5	1	1	1	2	7	2	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	8	3	0	0	1	1	0	0	2	0	0	0	0	0	0	1	2	2	0	3	0	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
