Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Мелекесская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370					
1	"Число избирателей, внесенных в списки"	31532	722	175	288	533	224	301	467	538	242	233	2513	244	253	798	68	812	219	171	213	1176	2418	1732	1535	408	96	2366	1511	1608	273	172	867	77	132	254	351	806	1239	570	970	126	72	860	433	228	993	372	286	587					
2	"Число бюллетеней, полученных участковыми комиссиями"	28839	650	158	268	486	204	281	424	495	220	213	2274	222	229	729	60	719	188	151	190	1027	2192	1547	1392	376	86	2119	1351	1465	244	159	799	74	121	229	324	723	1117	522	910	110	66	791	397	204	1214	338	259	522					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17072	450	127	154	347	156	231	236	313	191	144	1181	171	157	433	49	458	157	98	151	579	1329	855	757	221	48	944	574	745	77	144	575	57	101	136	224	410	849	289	495	80	62	518	262	126	658	213	211	329					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1049	19	15	25	45	9	19	60	51	3	0	26	0	7	21	4	58	9	4	0	31	36	20	103	12	29	66	20	10	19	0	24	0	8	11	28	19	43	28	45	7	4	19	9	5	31	30	0	17					
6	Число погашенных бюллетеней	10718	181	16	89	94	39	31	128	131	26	69	1067	51	65	275	7	203	22	49	39	417	827	672	532	143	9	1109	757	710	148	15	200	17	12	82	72	294	225	205	370	23	0	254	126	73	525	95	48	176					
7	Число бюллетеней в переносных ящиках для голосования	1049	19	15	25	45	9	19	60	51	3	0	26	0	7	21	4	58	9	4	0	31	36	20	103	12	29	66	20	10	19	0	24	0	8	11	28	19	43	28	45	7	4	19	9	5	31	30	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	17070	450	127	154	347	156	231	236	313	191	144	1181	171	157	433	49	458	157	98	151	579	1329	855	757	221	48	944	574	745	77	144	575	57	101	136	224	410	849	289	495	80	62	518	262	126	658	213	209	329					
9	Число недействительных бюллетеней	772	22	10	12	51	5	7	41	13	9	3	31	2	5	36	1	28	9	6	8	12	39	20	12	8	1	16	46	44	13	7	20	4	9	14	3	28	25	12	16	14	4	13	8	4	26	19	16	20					
10	Число действительных бюллетеней	17347	447	132	167	341	160	243	255	351	185	141	1176	169	159	418	52	488	157	96	143	598	1326	855	848	225	76	994	548	711	83	137	579	53	100	133	249	401	867	305	524	73	62	524	263	127	663	224	193	326					
