Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Усть-Цилемская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700					
1	"Число избирателей, внесенных в списки"	10692	215	613	537	2111	1573	151	299	366	614	310	514	542	188	234	302	321	515	202	666	194	225					
2	"Число бюллетеней, полученных участковыми комиссиями"	11029	220	605	525	2090	1558	153	297	383	640	333	555	620	233	245	340	335	535	220	695	204	243					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6095	143	357	325	1211	819	93	192	152	344	175	181	337	148	147	226	128	283	126	418	140	150					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	757	10	47	4	49	24	13	2	94	68	61	103	21	0	37	13	53	52	14	34	8	50					
6	Число погашенных бюллетеней	4173	67	201	196	830	715	47	103	133	228	97	271	262	85	61	101	154	200	80	243	56	43					
7	Число бюллетеней в переносных ящиках для голосования	761	10	47	4	49	24	13	2	98	68	61	103	21	0	37	13	53	52	14	34	8	50					
8	Число бюллетеней в стационарных ящиках для голосования	6095	143	357	325	1211	819	93	192	152	344	175	181	337	148	147	226	128	283	126	418	140	150					
9	Число недействительных бюллетеней	81	4	2	2	17	11	0	1	5	3	2	3	6	0	1	4	1	7	2	7	1	2					
10	Число действительных бюллетеней	6775	149	402	327	1243	832	106	193	245	409	234	281	352	148	183	235	180	328	138	445	147	198					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	5	10	10	20	20	5	5	10	10	5	10	10	5	5	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	1	0	1	13	1	3	2	2	1	3	0	1	0	3	4	0	0	0	10	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	0	2	1	7	4	0	4	0	2	0	0	0	1	0	1	0	1	0	1	0	1					
14	Число погашенных открепительных удостоверений	149	4	10	9	7	19	2	3	8	9	2	10	9	5	2	6	10	10	10	0	10	4					
