Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Горьковская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18180	235	121	241	1034	733	197	238	95	123	734	1304	1271	954	1210	409	204	162	169	97	81	88	568	128	719	71	184	794	127	874	115	590	155	459	110	217	768	183	134	114	947	317	382	105	229	190									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18274	238	122	238	1030	740	199	240	99	123	731	1307	1293	966	1219	411	208	163	175	99	78	86	581	128	720	73	183	796	127	883	116	593	150	458	110	217	765	181	139	115	948	318	384	105	229	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7255	41	50	75	380	312	128	102	48	44	243	527	496	357	484	100	84	68	76	49	33	56	192	78	305	34	87	297	79	415	70	273	50	192	41	97	319	86	45	54	347	93	168	35	84	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	926	25	4	23	39	67	2	19	3	11	51	34	25	19	20	47	8	10	9	5	1	7	32	5	60	5	5	63	6	40	0	23	8	35	4	15	40	20	0	11	35	31	17	6	18	18									
6	Число погашенных избирательных бюллетеней	10093	172	68	140	611	361	69	119	48	68	437	746	772	590	715	264	116	85	90	45	44	23	357	45	355	34	91	436	42	428	46	297	92	231	65	105	406	75	94	50	566	194	199	64	127	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	926	25	4	23	39	67	2	19	3	11	51	34	25	19	20	47	8	10	9	5	1	7	32	5	60	5	5	63	6	40	0	23	8	35	4	15	40	20	0	11	35	31	17	6	18	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7255	41	50	75	380	312	128	102	48	44	243	527	496	357	484	100	84	68	76	49	33	56	192	78	305	34	87	297	79	415	70	273	50	192	41	97	319	86	45	54	347	93	168	35	84	61									
9	Число недействительных избирательных бюллетеней	239	1	1	2	10	3	0	4	0	0	8	31	25	12	11	5	13	1	8	0	0	2	6	0	9	0	2	4	1	24	4	2	0	19	1	0	7	0	2	0	12	2	2	4	0	1									
10	Число действительных избирательных бюллетеней	7942	65	53	96	409	376	130	117	51	55	286	530	496	364	493	142	79	77	77	54	34	61	218	83	356	39	90	356	84	431	66	294	58	208	44	112	352	106	43	65	370	122	183	37	102	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	284	3	3	3	10	10	3	3	3	3	10	20	20	20	20	5	3	3	3	3	3	3	10	3	10	3	3	10	3	10	3	10	3	10	3	3	10	3	3	3	10	3	5	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	76	0	0	0	2	1	0	0	3	0	1	11	6	9	6	0	3	0	0	1	0	0	6	1	0	0	0	2	1	10	0	2	0	1	0	0	1	0	0	0	3	3	0	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	0	1	0	3	2	0	0	0	1	1	2	3	3	0	1	1	0	0	1	4	1	0	1	1	0	0	2	0	3	0	0	1	1	1	0	5	1	0	0	2	1	1	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	208	3	3	3	8	9	3	3	0	3	9	9	14	11	14	5	0	3	3	2	3	3	4	2	10	3	3	8	2	0	3	8	3	9	3	3	9	3	3	3	7	0	5	3	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	1	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
