Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Махачкала, Кировская"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1914									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	92202	1727	2173	2023	1815	2103	1669	1627	1565	1248	1562	2026	2032	2589	2598	1934	2211	1373	2073	1486	1878	2348	1808	1999	2193	2355	1943	1981	2056	2147	2157	1748	1698	1844	2110	1010	2356	1864	1631	1750	1622	1598	895	1381	1836	1483	2044	1887	1287	92	2775	592									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87653	1641	2065	1922	1725	1998	1587	1546	1492	1207	1483	1925	1931	2460	2481	1835	2100	1304	1969	1412	1784	2231	1718	1899	2083	2237	1846	1882	1953	2039	2049	1661	1613	1752	2004	960	2238	1771	1549	1662	1541	1518	870	1312	1744	1409	1942	1793	1223	87	2635	565									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	83871	1366	2027	1843	1626	1975	1554	1483	1439	1133	1450	1873	1920	2351	2281	1749	2058	1277	1921	1351	1685	2206	1662	1828	1959	2162	1749	1822	1886	1951	1946	1641	1603	1681	1939	904	2124	1665	1431	1607	1481	1465	865	1213	1621	1375	1832	1718	1171	87	2350	565									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	122	0	0	0	0	10	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	44	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	30	0	9	0	0	0	5	0									
6	Число погашенных избирательных бюллетеней	3660	275	38	79	99	13	28	53	53	74	33	52	11	109	200	86	42	27	48	61	99	25	54	71	80	75	97	60	63	88	103	20	10	71	65	56	114	106	118	52	60	53	5	99	93	34	101	75	52	0	280	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	122	0	0	0	0	10	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	44	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	30	0	9	0	0	0	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	83871	1366	2027	1843	1626	1975	1554	1483	1439	1133	1450	1873	1920	2351	2281	1749	2058	1277	1921	1351	1685	2206	1662	1828	1959	2162	1749	1822	1886	1951	1946	1641	1603	1681	1939	904	2124	1665	1431	1607	1481	1465	865	1213	1621	1375	1832	1718	1171	87	2350	565									
9	Число недействительных избирательных бюллетеней	42	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	83951	1366	2027	1843	1626	1985	1559	1493	1439	1133	1450	1873	1920	2351	2249	1749	2058	1277	1921	1351	1685	2206	1664	1828	2003	2162	1749	1822	1890	1951	1946	1641	1603	1681	1939	904	2124	1665	1431	1610	1481	1465	865	1213	1641	1375	1841	1718	1171	87	2355	565									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	420	8	9	9	8	9	8	9	9	9	9	9	9	8	8	9	9	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	2	1	0	4	0	3	0	5	3	4	0	0	6	0	0	0	0	0	1	2	6	0	0	1	2	1	2	8	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	361	6	8	9	4	9	5	9	4	6	5	9	9	2	8	9	9	8	8	7	6	2	8	9	7	6	7	6	0	7	7	7	8	8	7	8	8	8	8	8	7	8	8	8	7	8	7	8	8	8	7	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	0	1	0	1	0	0	0	1	0	1	0	8	2	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	3	0	0	0	0	3	1	1	0	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	287	2	12	9	3	10	7	2	2	6	2	2	6	6	6	2	4	5	7	5	8	12	5	3	5	4	5	6	8	13	6	3	12	3	8	6	5	9	6	7	3	12	8	8	8	6	2	2	3	0	2	1									
		0.34%	0.15%	0.59%	0.49%	0.18%	0.50%	0.45%	0.13%	0.14%	0.53%	0.14%	0.11%	0.31%	0.26%	0.26%	0.11%	0.19%	0.39%	0.36%	0.37%	0.47%	0.54%	0.30%	0.16%	0.25%	0.19%	0.29%	0.33%	0.42%	0.67%	0.31%	0.18%	0.75%	0.18%	0.41%	0.66%	0.24%	0.54%	0.42%	0.43%	0.20%	0.82%	0.92%	0.66%	0.48%	0.44%	0.11%	0.12%	0.26%	0.00%	0.08%	0.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	3	13	2	2	1	1	3	2	3	4	3	3	3	3	3	3	6	6	4	4	3	3	4	4	6	4	4	4	5	2	4	3	1	4	2	4	3	5	5	4	5	5	6	7	4	4	3	3	0	3	3									
		0.23%	0.22%	0.64%	0.11%	0.12%	0.05%	0.06%	0.20%	0.14%	0.26%	0.28%	0.16%	0.16%	0.13%	0.13%	0.17%	0.15%	0.47%	0.31%	0.30%	0.24%	0.14%	0.18%	0.22%	0.20%	0.28%	0.23%	0.22%	0.21%	0.26%	0.10%	0.24%	0.19%	0.06%	0.21%	0.22%	0.19%	0.18%	0.35%	0.31%	0.27%	0.34%	0.58%	0.49%	0.42%	0.29%	0.22%	0.17%	0.26%	0.00%	0.13%	0.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	185	5	6	2	4	2	1	5	3	2	3	3	2	4	3	2	3	5	8	3	4	3	4	3	3	5	4	3	5	4	4	4	5	2	2	2	5	5	6	4	3	4	2	6	7	4	4	3	4	0	3	2									
		0.22%	0.37%	0.30%	0.11%	0.25%	0.10%	0.06%	0.33%	0.21%	0.18%	0.21%	0.16%	0.10%	0.17%	0.13%	0.11%	0.15%	0.39%	0.42%	0.22%	0.24%	0.14%	0.24%	0.16%	0.15%	0.23%	0.23%	0.16%	0.26%	0.21%	0.21%	0.24%	0.31%	0.12%	0.10%	0.22%	0.24%	0.30%	0.42%	0.25%	0.20%	0.27%	0.23%	0.49%	0.42%	0.29%	0.22%	0.17%	0.34%	0.00%	0.13%	0.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	75183	1286	1367	1642	1524	1853	1465	1410	1354	1068	1374	1724	1775	1458	1976	1640	1907	1134	1732	1243	1528	2077	1557	1645	1879	2038	1584	1711	1718	1686	1830	1521	1492	1619	1711	796	1890	1452	1224	1393	1405	1247	683	1055	1363	1282	1695	1556	1062	87	2063	402									
		89.51%	94.14%	67.44%	89.09%	93.73%	93.35%	93.97%	94.44%	94.09%	94.26%	94.76%	92.04%	92.45%	62.02%	86.63%	93.77%	92.66%	88.80%	90.16%	92.01%	90.68%	94.15%	93.57%	89.99%	93.81%	94.26%	90.57%	93.91%	90.90%	86.42%	94.04%	92.69%	93.08%	96.31%	88.24%	88.05%	88.98%	87.21%	85.53%	86.52%	94.87%	85.12%	78.96%	86.97%	82.56%	93.24%	92.07%	90.57%	90.69%	100.00%	87.60%	71.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	179	3	4	2	2	4	2	1	7	2	3	2	4	4	3	2	4	4	5	5	6	3	4	3	6	2	3	3	3	3	2	4	6	2	2	7	3	4	4	3	3	4	6	6	4	6	3	4	3	0	3	1									
		0.21%	0.22%	0.20%	0.11%	0.12%	0.20%	0.13%	0.07%	0.49%	0.18%	0.21%	0.11%	0.21%	0.17%	0.13%	0.11%	0.19%	0.31%	0.26%	0.37%	0.36%	0.14%	0.24%	0.16%	0.30%	0.09%	0.17%	0.16%	0.16%	0.15%	0.10%	0.24%	0.37%	0.12%	0.10%	0.77%	0.14%	0.24%	0.28%	0.19%	0.20%	0.27%	0.69%	0.49%	0.24%	0.44%	0.16%	0.23%	0.26%	0.00%	0.13%	0.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	181	3	1	3	2	1	2	4	2	4	3	3	3	4	4	3	5	6	6	3	3	4	3	5	4	5	3	4	3	4	2	3	4	1	4	3	4	3	4	5	2	4	6	5	3	3	4	4	5	0	2	10									
