Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Промышленновская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34166	837	780	834	941	846	848	834	889	1020	280	715	467	140	136	178	536	512	498	1021	59	626	708	806	342	355	80	520	510	789	437	785	1185	1237	878	127	150	566	206	74	316	318	309	302	292	581	319	317	62	284	638	339	416	748	800	855	918	923	841	920	916									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34189	850	800	850	950	840	850	830	950	1000	280	700	480	140	140	180	530	500	510	1000	62	620	730	800	360	350	86	520	520	800	430	800	1150	1250	900	135	155	550	215	77	310	310	310	310	290	590	310	310	69	290	630	330	410	750	800	850	900	900	830	900	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30418	742	708	731	852	692	704	723	811	886	266	652	410	125	125	165	494	456	465	929	59	565	628	704	264	324	80	462	480	711	417	744	1077	1144	805	121	148	505	193	73	278	287	283	270	274	456	256	295	55	259	595	255	378	694	741	720	800	831	713	718	820									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2213	31	33	61	33	46	79	46	55	90	12	48	46	12	8	11	36	22	27	59	0	52	49	77	68	22	0	47	10	48	6	33	42	19	51	2	0	36	11	1	32	23	20	29	16	114	50	11	7	23	18	70	26	33	19	81	43	44	56	125	44									
6	Число погашенных избирательных бюллетеней	1558	77	59	58	65	102	67	61	84	24	2	0	24	3	7	4	0	22	18	12	3	3	53	19	28	4	6	11	30	41	7	23	31	87	44	12	7	9	11	3	0	0	7	11	0	20	4	4	7	8	17	5	6	23	40	49	57	25	61	57	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2213	31	33	61	33	46	79	46	55	90	12	48	46	12	8	11	36	22	27	59	0	52	49	77	68	22	0	47	10	48	6	33	42	19	51	2	0	36	11	1	32	23	20	29	16	114	50	11	7	23	18	70	26	33	19	81	43	44	56	125	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30418	742	708	731	852	692	704	723	811	886	266	652	410	125	125	165	494	456	465	929	59	565	628	704	264	324	80	462	480	711	417	744	1077	1144	805	121	148	505	193	73	278	287	283	270	274	456	256	295	55	259	595	255	378	694	741	720	800	831	713	718	820									
9	Число недействительных избирательных бюллетеней	49	2	13	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	32582	771	728	792	885	738	771	769	866	976	278	700	456	137	133	176	530	478	492	988	59	617	668	778	332	346	80	509	490	759	423	777	1113	1163	856	123	148	541	200	74	310	310	303	299	290	570	306	306	62	282	613	325	404	727	760	801	843	875	769	843	864									
