Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Горячеключевская городская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017	УИК  1018	УИК  1019	УИК  1020	УИК  1021	УИК  1022	УИК  1023	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1099					
1	"Число избирателей, внесенных в списки"	42821	2680	1190	1573	2545	1596	2299	2903	2469	2296	3008	621	141	897	179	293	606	346	1352	1078	1991	1261	1623	892	1689	960	874	496	1688	174	274	621	2206					
2	"Число бюллетеней, полученных участковыми комиссиями"	40010	2400	1100	1500	2300	1500	2100	2600	2300	2000	2800	600	120	850	180	300	550	350	1250	950	1800	1200	1450	850	1600	1000	850	500	1600	160	250	500	2500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22356	1183	584	681	1208	788	1184	1469	1151	1029	1436	361	109	379	92	203	323	223	686	611	791	602	812	542	796	544	421	316	1020	110	136	360	2206					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1179	75	24	77	45	67	35	44	83	141	70	5	0	34	25	19	30	26	42	15	55	36	35	33	27	26	16	30	31	13	20	0	0					
6	Число погашенных бюллетеней	16475	1142	492	742	1047	645	881	1087	1066	830	1294	234	11	437	63	78	197	101	522	324	954	562	603	275	777	430	413	154	549	37	94	140	294					
7	Число бюллетеней в переносных ящиках для голосования	1179	75	24	77	45	67	35	44	83	141	70	5	0	34	25	19	30	26	42	15	55	36	35	33	27	26	16	30	31	13	20	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	22345	1181	584	681	1208	788	1184	1469	1151	1029	1436	361	109	379	92	203	323	223	684	611	789	602	812	542	796	544	421	312	1019	110	136	360	2206					
9	Число недействительных бюллетеней	251	20	8	1	19	6	0	17	1	10	24	1	4	3	1	6	3	10	16	18	9	4	6	7	15	8	10	7	13	2	0	2	0					
10	Число действительных бюллетеней	23273	1236	600	757	1234	849	1219	1496	1233	1160	1482	365	105	410	116	216	350	239	710	608	835	634	841	568	808	562	427	335	1037	121	156	358	2206					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	450	26	11	16	25	15	22	28	25	21	30	6	2	9	2	3	6	4	13	10	19	13	16	9	17	10	9	5	17	2	3	6	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	155	9	2	8	9	1	12	7	8	6	8	5	1	3	0	0	0	2	2	1	2	3	2	1	5	1	2	1	6	1	0	3	44					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	214	8	40	16	2	2	9	15	0	3	6	3	7	8	7	1	3	1	3	2	1	3	1	5	2	0	3	3	4	5	1	50	0					
14	Число погашенных открепительных удостоверений	295	17	9	8	16	14	10	21	17	15	22	1	1	6	2	3	6	2	11	9	17	10	14	8	12	9	7	4	11	1	3	3	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
