Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Параньгинская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446					
1	"Число избирателей, внесенных в списки"	13373	1648	1598	2028	777	896	448	576	629	453	975	512	734	696	195	725	483					
2	"Число бюллетеней, полученных участковыми комиссиями"	13400	1650	1585	2005	775	905	450	580	630	460	990	520	750	690	195	735	480					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7887	934	868	1275	473	503	240	279	361	369	522	319	423	501	131	367	322					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1063	69	110	91	123	84	51	54	71	41	59	92	43	46	8	94	27					
6	Число погашенных бюллетеней	4450	647	607	639	179	318	159	247	198	50	409	109	284	143	56	274	131					
7	Число бюллетеней в переносных ящиках для голосования	1063	69	110	91	123	84	51	54	71	41	59	92	43	46	8	94	27					
8	Число бюллетеней в стационарных ящиках для голосования	7887	934	868	1275	473	503	240	279	361	369	522	319	423	501	131	367	322					
9	Число недействительных бюллетеней	226	33	16	27	17	17	10	10	13	8	19	9	6	8	13	8	12					
10	Число действительных бюллетеней	8724	970	962	1339	579	570	281	323	419	402	562	402	460	539	126	453	337					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	342	30	30	45	15	15	10	15	21	20	21	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	12	15	22	0	10	10	3	6	9	10	5	6	6	2	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	3	2	20	1	4	1	3	3	6	0	1	1	3	2	2	6					
14	Число погашенных открепительных удостоверений	213	18	15	23	15	5	0	12	15	11	11	15	14	14	18	8	19					
15	Число открепительных удостоверений выданных ТИК	8	0	1	1	0	0	0	0	0	0	0	0	1	1	1	3	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	214	22	13	25	14	20	7	13	12	8	9	12	13	16	5	13	12					
		2.39%	2.19%	1.32%	1.83%	2.34%	3.40%	2.40%	3.90%	2.77%	1.95%	1.54%	2.91%	2.78%	2.92%	3.59%	2.81%	3.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	187	21	15	39	5	3	0	7	9	1	50	0	16	6	1	1	13					
		2.08%	2.09%	1.53%	2.85%	0.83%	0.51%	0.0%	2.10%	2.08%	0.24%	8.60%	0.0%	3.43%	1.09%	0.71%	0.21%	3.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	126	14	14	25	6	10	1	7	5	4	8	3	9	9	2	8	1					
		1.40%	1.39%	1.43%	1.83%	1.00%	1.70%	0.34%	2.10%	1.15%	0.97%	1.37%	0.72%	1.93%	1.64%	1.43%	1.73%	0.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	62	11	16	12	3	1	3	2	1	2	1	0	3	6	0	1	0					
		0.69%	1.09%	1.63%	0.87%	0.50%	0.17%	1.03%	0.60%	0.23%	0.48%	0.17%	0.0%	0.64%	1.09%	0.0%	0.21%	0.0%					
22	"5. ""За Русь Святую"""	16	1	1	2	2	0	1	0	1	0	2	1	0	1	0	2	2					
		0.17%	0.09%	0.10%	0.14%	0.33%	0.0%	0.34%	0.0%	0.23%	0.0%	0.34%	0.24%	0.0%	0.18%	0.0%	0.43%	0.57%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	3	1	2	0	0	2	3	2	6	0	3	1	0	1	3	0					
		0.30%	0.29%	0.10%	0.14%	0.0%	0.0%	0.68%	0.90%	0.46%	1.46%	0.0%	0.72%	0.21%	0.0%	0.71%	0.65%	0.0%					
