Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курган, Западная"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, внесенных в список"	144986	2737	1927	2088	2634	2301	2126	1220	2275	2367	2110	1904	2532	2086	2084	2581	2562	1890	2073	1807	1891	1784	1890	273	1862	2418	2304	2563	2174	2377	2311	2062	1598	1688	2408	2740	2451	2308	1982	1963	2037	2385	2423	2545	1899	2585	2615	2348	2224	2238	2023	2475	2419	2099	2157	2079	2239	2239	2247	2464	2016	1708	1558	2576	2298	1481	1278	1252	1199	1047	482					
2	Число полученных избирательных бюллетеней	131795	2510	1765	1905	2425	2110	1950	1110	2060	2155	1915	1715	2310	1890	1900	2345	2350	1705	1900	1635	1720	1610	1725	250	1685	2205	2105	2325	1975	2170	2105	1880	1470	1540	2190	2480	2265	2105	1795	1805	1860	2185	2205	2325	1730	2370	2390	2105	2025	2060	1820	2250	2155	1920	1890	1880	1990	2035	2060	2150	1845	1540	1350	2340	2110	1300	1155	1135	1105	950	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	78087	1520	1118	1158	1426	1323	1127	741	1271	1420	1271	760	1289	923	1098	1222	1377	758	902	624	766	714	574	138	901	945	1068	1379	1177	1151	1334	834	935	1019	1026	1343	1353	1264	1059	1124	1171	1462	1539	1560	1124	1559	1549	1367	1337	1251	1229	1476	1275	1155	1225	1169	1356	1363	1336	1417	1259	991	976	1480	1185	831	718	600	657	556	482					
5	"Число избирательных бюллетеней, выданных вне помещения"	2770	45	34	30	50	24	23	7	15	39	36	10	38	33	43	48	21	23	23	50	27	78	34	13	62	30	59	44	40	12	16	28	6	6	48	21	39	35	44	43	41	34	49	48	23	25	41	47	61	47	57	59	64	30	34	35	59	85	64	148	52	65	29	64	46	79	9	34	47	17	0					
6	Число погашенных избирательных бюллетеней	50938	945	613	717	949	763	800	362	774	696	608	945	983	934	759	1075	952	924	975	961	927	818	1117	99	722	1230	978	902	758	1007	755	1018	529	515	1116	1116	873	806	692	638	648	689	617	717	583	786	800	691	627	762	534	715	816	735	631	676	575	587	660	585	534	484	345	796	879	390	428	501	401	377	18					
7	Число избирательных бюллетеней в переносных ящиках	2770	45	34	30	50	24	23	7	15	39	36	10	38	33	43	48	21	23	23	50	27	78	34	13	62	30	59	44	40	12	16	28	6	6	48	21	39	35	44	43	41	34	49	48	23	25	41	47	61	47	57	59	64	30	34	35	59	85	64	148	52	65	29	64	46	79	9	34	47	17	0					
8	Число бюллетеней в стационарных ящиках для голосования	78038	1520	1118	1158	1426	1323	1127	741	1271	1420	1271	760	1289	923	1098	1222	1377	758	902	624	766	714	574	138	901	943	1066	1379	1177	1151	1334	832	935	1019	1026	1341	1353	1264	1059	1124	1169	1462	1538	1559	1124	1542	1549	1366	1337	1251	1229	1476	1274	1155	1225	1168	1344	1363	1336	1417	1259	991	975	1476	1185	831	718	600	657	556	482					
9	Число недействительных избирательных бюллетеней	422	8	3	9	4	5	3	0	3	10	3	5	7	5	8	11	4	6	3	7	3	5	5	3	7	8	7	4	5	13	7	4	9	4	8	9	7	6	8	13	4	8	8	10	1	6	9	3	2	5	7	4	7	7	0	5	10	7	6	8	6	1	2	7	7	7	7	9	7	3	10					
10	Число действительных избирательных бюллетеней	80386	1557	1149	1179	1472	1342	1147	748	1283	1449	1304	765	1320	951	1133	1259	1394	775	922	667	790	787	603	148	956	965	1118	1419	1212	1150	1343	856	932	1021	1066	1353	1385	1293	1095	1154	1206	1488	1579	1597	1146	1561	1581	1410	1396	1293	1279	1531	1331	1178	1259	1198	1393	1441	1394	1557	1305	1055	1002	1533	1224	903	720	625	697	570	472					
11	Число полученных открепительных  удостоверений	3425	55	50	50	55	50	50	40	50	50	50	50	55	50	55	55	55	50	50	50	50	50	50	20	50	50	50	55	50	50	50	50	50	50	50	55	55	50	50	50	50	50	50	55	50	55	55	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	55	50	40	40	40	40	40	0					
12	Число выданных открепительных удостоверений	1338	26	14	16	26	17	18	12	25	20	16	7	23	16	18	11	21	6	14	7	8	7	8	6	7	13	18	18	17	21	34	14	18	12	20	26	27	18	14	26	24	24	21	26	24	26	26	18	31	35	24	20	20	19	20	23	18	34	21	33	32	24	24	31	34	12	17	5	15	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1249	9	5	12	11	16	10	12	24	15	12	10	17	17	13	7	18	12	7	16	8	12	12	8	6	20	15	14	16	17	15	14	8	6	14	17	15	13	22	10	21	10	26	22	12	7	19	24	16	7	45	16	16	9	18	23	53	15	9	32	34	34	24	28	13	52	6	17	6	18	112					
14	Число неиспользованных открепительных удостоверений	2087	29	36	34	29	33	32	28	25	30	34	43	32	34	37	44	34	44	36	43	42	43	42	14	43	37	32	37	33	29	16	36	32	38	30	29	28	32	36	24	26	26	29	29	26	29	29	32	19	15	26	30	30	31	30	27	32	16	29	17	18	26	26	24	16	28	23	35	25	28	0					
15	"Число открепительных удостоверений, выданных в ТИК"	120	1	1	4	2	2	5	1	1	3	2	2	2	1	2	1	2	1	3	4	1	2	3	0	2	2	4	0	1	2	3	2	2	3	2	3	1	2	4	1	0	2	2	3	3	0	2	2	1	1	0	1	4	1	0	2	3	1	2	1	0	2	0	0	1	1	2	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	4086	73	62	81	82	64	49	45	56	51	70	28	67	39	41	46	69	24	34	38	38	36	15	6	34	48	33	99	55	51	77	39	47	52	48	63	73	70	61	65	57	65	83	96	57	112	112	87	71	45	85	81	72	71	83	74	65	87	87	68	78	59	57	65	65	56	34	24	38	18	5					
		5.06%	4.66%	5.38%	6.82%	5.56%	4.75%	4.26%	6.02%	4.35%	3.50%	5.36%	3.64%	5.05%	4.08%	3.59%	3.62%	4.94%	3.07%	3.68%	5.64%	4.79%	4.55%	2.47%	3.97%	3.53%	4.93%	2.93%	6.96%	4.52%	4.39%	5.70%	4.53%	4.99%	5.07%	4.47%	4.63%	5.24%	5.39%	5.53%	5.57%	4.71%	4.34%	5.23%	5.97%	4.97%	7.15%	7.04%	6.16%	5.08%	3.47%	6.61%	5.28%	5.38%	5.99%	6.59%	6.15%	4.63%	6.01%	6.21%	4.35%	5.95%	5.59%	5.68%	4.22%	5.28%	6.15%	4.68%	3.79%	5.40%	3.14%	1.04%					
