Выборы Президента Российской Федерации																																																																												
Дата голосования: 02.03.2008																																																																												
																																																																												
"Наименование Избирательной комиссии:    Курган, Западная"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
	Число участковых избирательных комиссий	69																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																										
																																																																												
		Сумма	УИК №31	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №130	УИК №133	УИК №135	УИК №136	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, включенных в списки избирателей"	142633	2262	317	2438	2585	2212	2088	2101	2718	2285	1683	1926	2826	2762	2400	2372	1299	2311	2352	2077	2149	2774	2416	2680	2207	2354	2352	2183	1980	2128	282	2038	2682	2313	2568	2148	2353	2116	2081	1570	1850	2523	1535	2405	2404	2015	2571	1951	1627	2737	2704	1975	2629	2499	2014	1362	1765	1873	2440	2242	2034	1981	2359	376	2088	1375	2004	1156	1038	713					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	139220	2200	300	2400	2500	2200	2100	2100	2700	2300	1600	1900	2800	2700	2200	2400	1300	2300	2300	2000	2000	2800	2400	2700	2100	2300	2300	2100	1900	2000	250	2000	2600	2300	2500	2100	2300	2100	2000	1500	1800	2500	1500	2400	2300	1900	2500	1900	1600	2700	2600	1900	2600	2500	2000	1300	1700	1800	2400	2200	2000	1900	2300	350	2000	1300	1900	1100	1000	720					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	73059	1115	129	1294	1282	1060	1150	1047	1469	1223	939	1046	1531	1487	1298	1173	725	1296	1339	1202	805	1338	1149	1283	829	927	752	797	759	657	122	955	1173	1061	1351	1034	1067	1241	836	829	1097	1028	676	1305	1264	1068	1418	1075	941	1630	1558	1157	1507	1459	1134	772	991	1101	1341	1215	1159	1200	1220	183	1051	841	1069	611	521	697					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2332	71	6	25	23	34	39	62	33	35	25	36	56	54	28	29	9	20	31	14	81	33	37	37	15	28	45	16	72	19	7	46	21	53	47	39	15	22	24	6	3	55	12	31	90	65	40	41	16	72	46	19	34	28	50	28	27	40	52	41	18	33	48	14	33	19	12	44	12	16					
6	Число погашенных избирательных бюллетеней	63829	1014	165	1081	1195	1106	911	991	1198	1042	636	818	1213	1159	874	1198	566	984	930	784	1114	1429	1214	1380	1256	1345	1503	1287	1069	1324	121	999	1406	1186	1102	1027	1218	837	1140	665	700	1417	812	1064	946	767	1042	784	643	998	996	724	1059	1013	816	500	682	659	1007	944	823	667	1032	153	916	440	819	445	467	7					
