Выборы Президента Российской Федерации																																																																																				
Дата голосования: 04.03.2012																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Курган, Западная																																																																																				
																																																																																				
Сводная таблица итогов голосования																																																																																				
																																																																																				
	Число участковых избирательных комиссий	73																																																																																		
	Число участковых избирательных комиссий, приступивших к передаче сведений	73																																																																																		
																																																																																				
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №130	УИК №133	УИК №135	УИК №136	УИК №138	УИК №139	УИК №140	УИК №290	УИК №291	УИК №910	УИК №911	УИК №912									
1	Число избирателей, включенных в список избирателей	140590	1744	2322	1473	2126	2015	1997	2586	2166	2141	2435	2523	2281	2300	1899	2107	2274	2522	2066	1943	2074	2124	1707	2656	2217	1631	2113	2309	1895	231	2249	2741	2266	2476	1996	2285	2070	2033	1532	1884	2222	1451	2333	2392	1974	1857	1881	2177	2594	2575	1712	2178	1665	1897	1981	1643	1920	2270	2165	1880	1835	2426	440	1974	1579	2381	1102	928	393	73	22	1709	1691	1861									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	136595	1700	2200	1400	2000	1900	1900	2500	2100	2100	2300	2400	2200	2000	1800	2000	2100	2400	1900	1800	2000	2000	1600	2700	2200	1600	2000	2200	1900	250	2100	2500	2200	2300	1900	2100	2000	2000	1400	1800	2200	1400	2200	2300	1900	1700	1800	2100	2400	2400	1600	2100	1600	1800	1900	1600	1700	2200	2100	1800	1750	2300	400	1900	1500	2300	1000	900	395	1500	1500	1592	1608	1700									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	81567	1005	1342	875	1228	1233	1212	1601	1312	1317	1472	1626	1362	1502	1207	1331	1407	1510	1347	826	1203	1042	958	1138	1096	717	955	923	714	122	1120	1442	1095	1418	1093	1192	1274	1008	965	1231	1110	729	1389	1383	1156	1094	1110	1343	1661	1717	1151	1384	1082	1158	1236	949	1260	1357	1262	1138	1204	1420	228	1161	1009	1479	644	538	393	73	22	1121	1020	1165									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2708	40	34	23	47	23	42	37	51	42	41	31	31	30	29	21	37	41	33	55	44	39	37	25	60	23	15	139	44	10	53	29	78	68	52	48	26	38	7	5	36	16	37	33	64	23	46	56	57	37	22	27	21	52	64	47	62	55	89	47	28	49	12	54	18	20	30	10	0	0	0	31	16	21									
6	Число погашенных избирательных бюллетеней	52320	655	824	502	725	644	646	862	737	741	787	743	807	468	564	648	656	849	520	919	753	919	605	1537	1044	860	1030	1138	1142	118	927	1029	1027	814	755	860	700	954	428	564	1054	655	774	884	680	583	644	701	682	646	427	689	497	590	600	604	378	788	749	615	518	831	160	685	473	801	326	352	2	1427	1478	440	572	514									
