Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Красноармейская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32062	1457	1077	1221	1234	1101	1145	1335	782	1261	1055	841	682	1188	1162	1142	1128	598	714	266	294	564	222	274	385	206	637	752	397	230	180	413	355	592	352	654	575	557	318	556	566	162	536	268	735	566	610	587	130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31685	1350	1000	1200	1200	1200	1100	1300	750	1200	1000	810	680	1200	1100	1200	1100	600	700	220	300	550	220	280	400	200	650	750	420	220	190	400	350	600	360	670	630	580	320	550	550	170	540	270	720	560	600	590	135									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20487	789	705	500	557	397	733	947	408	722	632	391	450	651	734	484	557	489	568	212	193	422	175	233	309	170	380	385	304	179	142	307	184	503	256	528	554	527	273	406	442	111	343	223	544	472	529	467	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3417	53	48	123	159	163	77	81	32	67	105	224	55	104	73	147	109	35	40	8	50	82	20	15	15	11	171	260	40	22	27	66	138	39	53	60	21	30	13	98	40	27	28	14	126	39	37	42	130									
6	Число погашенных избирательных бюллетеней	7781	508	247	577	484	640	290	272	310	411	263	195	175	445	293	569	434	76	92	0	57	46	25	32	76	19	99	105	76	19	21	27	28	58	51	82	55	23	34	46	68	32	169	33	50	49	34	81	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3417	53	48	123	159	163	77	81	32	67	105	224	55	104	73	147	109	35	40	8	50	82	20	15	15	11	171	260	40	22	27	66	138	39	53	60	21	30	13	98	40	27	28	14	126	39	37	42	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20486	789	705	500	557	397	733	947	408	722	632	391	450	651	734	484	557	489	568	212	193	422	175	233	309	170	380	385	304	179	142	307	184	503	256	528	554	527	273	406	442	111	343	223	544	471	529	467	0									
9	Число недействительных избирательных бюллетеней	325	6	33	13	19	5	12	17	3	26	8	20	8	16	8	11	5	4	0	5	6	4	2	0	1	2	7	1	3	14	1	2	1	6	4	9	4	5	4	3	5	3	8	2	2	4	2	0	1									
10	Число действительных избирательных бюллетеней	23578	836	720	610	697	555	798	1011	437	763	729	595	497	739	799	620	661	520	608	215	237	500	193	248	323	179	544	644	341	187	168	371	321	536	305	579	571	552	282	501	477	135	363	235	668	506	564	509	129									
