Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Красносельская №6																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891					
1	"Число избирателей, внесенных в список"	127368	2269	2492	2315	2245	2106	1577	1672	2154	2031	1968	1932	2243	2406	2773	3000	2135	2286	2749	2301	2091	2208	2501	1242	2175	2191	2046	2165	2334	2026	2269	2474	2222	2362	1960	2099	1981	2790	2243	2558	1963	2106	2399	2406	2787	1758	2352	2049	2033	2125	1817	1703	2526	2045	2128	2652	2569	2050	1309					
2	Число полученных избирательных бюллетеней	123200	2100	2500	2200	2200	2000	1500	1500	2100	2000	1900	1900	2200	2400	2800	2800	2000	2100	2500	2200	2000	2100	2300	1200	2000	2000	2200	2000	2300	2000	2200	2400	2200	2300	2000	2000	1900	2800	2100	2500	1900	2000	2400	2400	2900	1600	2300	2000	2000	2100	1800	1600	2500	2000	2000	2600	2500	2000	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72775	1270	1424	1297	1198	1208	840	921	1201	1175	1191	1138	1253	1413	1534	1653	1180	1304	1523	1270	1151	1262	1305	736	1315	1294	1148	1274	1303	1148	1425	1425	1275	1320	1097	1268	1210	1655	1261	1552	1174	1253	1267	1346	2017	999	1366	1111	1033	1220	978	904	1475	1171	1139	1511	1493	1079	822					
5	"Число избирательных бюллетеней, выданных вне помещения"	1558	15	41	27	24	19	12	19	14	12	21	18	16	13	18	26	66	22	29	27	24	13	169	9	35	22	9	27	16	14	23	19	15	24	17	23	42	22	97	26	12	20	18	45	80	25	18	19	36	27	29	18	29	16	18	23	5	30	5					
6	Число погашенных избирательных бюллетеней	48867	815	1035	876	978	773	648	560	885	813	688	744	931	974	1248	1121	754	774	948	903	825	825	826	455	650	684	1043	699	981	838	752	956	910	956	886	709	648	1123	742	922	714	727	1115	1009	803	576	916	870	931	853	793	678	996	813	843	1066	1002	891	373					
7	Число избирательных бюллетеней в переносных ящиках	1557	15	41	27	24	19	12	19	14	12	21	18	16	13	18	26	66	22	29	27	24	13	169	9	35	22	9	27	16	14	23	18	15	24	17	23	42	22	97	26	12	20	18	45	80	25	18	19	36	27	29	18	29	16	18	23	5	30	5					
8	Число бюллетеней в стационарных ящиках для голосования	72631	1270	1420	1297	1196	1208	839	921	1201	1173	1189	1136	1250	1412	1531	1623	1180	1301	1521	1269	1151	1258	1305	736	1312	1290	1145	1273	1300	1144	1423	1424	1270	1315	1094	1267	1207	1652	1259	1549	1173	1251	1263	1343	2014	996	1365	1111	1033	1217	976	904	1472	1171	1138	1508	1491	1077	817					
9	Число недействительных избирательных бюллетеней	814	3	7	3	8	6	4	4	6	12	7	106	5	3	8	13	5	7	71	5	10	8	8	3	7	7	27	4	31	7	12	6	8	6	3	6	16	6	9	4	6	3	98	15	5	6	9	25	36	13	5	0	13	1	7	7	61	27	6					
10	Число действительных избирательных бюллетеней	73374	1282	1454	1321	1212	1221	847	936	1209	1173	1203	1048	1261	1422	1541	1636	1241	1316	1479	1291	1165	1263	1466	742	1340	1305	1127	1296	1285	1151	1434	1436	1277	1333	1108	1284	1233	1668	1347	1571	1179	1268	1183	1373	2089	1015	1374	1105	1033	1231	1000	922	1488	1186	1149	1524	1435	1080	816					
11	Число полученных открепительных  удостоверений	3860	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	80	60	65	60	60	60	60	60	60	75	60	60	60	60	350	60	60	60	60	60	60	60	80	60	60	75	75	60	60					
12	Число выданных открепительных удостоверений	2763	33	49	37	40	45	42	22	50	31	24	34	27	35	43	59	39	28	36	30	27	58	53	25	48	44	36	32	44	43	59	49	57	55	30	46	43	54	44	55	32	30	60	35	343	33	50	43	53	48	32	28	67	42	40	61	65	39	56					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1602	18	30	11	14	21	17	33	12	7	16	21	20	20	18	24	15	68	38	13	42	20	27	10	36	28	42	75	24	24	40	41	41	43	21	25	21	33	14	23	20	35	30	24	18	42	24	28	40	42	14	26	32	39	23	31	37	21	30					
14	Число неиспользованных открепительных удостоверений	1097	27	11	23	20	15	18	38	10	29	36	26	33	25	17	1	21	32	24	30	33	2	7	35	12	16	24	28	16	17	21	11	8	5	30	14	17	6	16	20	28	30	0	25	7	27	10	17	7	12	28	32	13	18	20	14	10	21	4					
15	"Число открепительных удостоверений, выданных в ТИК"	37	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	2	0	2	0	1	0	0	1	3	0	2	0	0	0	3	2	0	0	0	2	1	1	0	2	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	2914	54	60	70	53	46	28	45	36	53	73	45	56	45	63	62	54	46	52	52	51	39	60	30	60	48	36	56	44	43	48	64	22	67	39	45	49	61	48	65	46	50	42	60	49	29	89	47	39	52	55	26	77	59	28	51	50	56	41					
		3.93%	4.20%	4.11%	5.29%	4.34%	3.75%	3.29%	4.79%	2.96%	4.47%	6.03%	3.90%	4.42%	3.16%	4.07%	3.76%	4.33%	3.48%	3.35%	4.01%	4.34%	3.07%	4.07%	4.03%	4.45%	3.66%	3.12%	4.31%	3.34%	3.71%	3.32%	4.44%	1.71%	5.00%	3.51%	3.49%	3.92%	3.64%	3.54%	4.13%	3.88%	3.93%	3.28%	4.32%	2.34%	2.84%	6.44%	4.16%	3.65%	4.18%	5.47%	2.82%	5.13%	4.97%	2.42%	3.33%	3.34%	5.06%	4.99%					
19	. Малышкин Олег Александрович	652	5	10	16	5	8	4	9	6	11	6	7	9	14	10	20	12	14	6	14	12	13	17	4	11	14	8	10	11	10	11	15	9	9	7	10	11	16	11	10	20	9	3	16	36	8	10	11	8	12	10	17	9	10	10	13	19	20	6					
		0.88%	0.39%	0.68%	1.21%	0.41%	0.65%	0.47%	0.96%	0.49%	0.93%	0.50%	0.61%	0.71%	0.98%	0.65%	1.21%	0.96%	1.06%	0.39%	1.08%	1.02%	1.02%	1.15%	0.54%	0.82%	1.07%	0.69%	0.77%	0.84%	0.86%	0.76%	1.04%	0.70%	0.67%	0.63%	0.78%	0.88%	0.96%	0.81%	0.63%	1.69%	0.71%	0.23%	1.15%	1.72%	0.78%	0.72%	0.97%	0.75%	0.96%	1.00%	1.84%	0.60%	0.84%	0.87%	0.85%	1.27%	1.81%	0.73%					
20	. Миронов Сергей Михайлович	1091	15	16	34	11	16	14	11	20	11	19	21	16	24	19	25	14	15	22	20	13	27	17	11	20	25	13	19	25	15	23	21	15	21	22	11	24	21	32	27	17	14	13	23	30	11	21	17	15	12	21	14	21	26	20	22	20	14	15					
		1.47%	1.17%	1.10%	2.57%	0.90%	1.30%	1.65%	1.17%	1.65%	0.93%	1.57%	1.82%	1.26%	1.68%	1.23%	1.52%	1.12%	1.13%	1.42%	1.54%	1.11%	2.12%	1.15%	1.48%	1.48%	1.91%	1.13%	1.46%	1.90%	1.30%	1.59%	1.46%	1.17%	1.57%	1.98%	0.85%	1.92%	1.25%	2.36%	1.71%	1.43%	1.10%	1.01%	1.66%	1.43%	1.08%	1.52%	1.50%	1.40%	0.96%	2.09%	1.52%	1.40%	2.19%	1.73%	1.44%	1.34%	1.26%	1.82%					
21	. Путин Владимир Владимирович	56386	999	1084	998	948	945	671	715	934	910	862	800	995	1078	1182	1251	968	1009	1166	978	900	964	1145	552	1058	988	862	962	993	898	1083	1078	1015	1023	864	1012	934	1277	994	1164	885	990	922	1066	1739	792	1025	864	814	957	751	726	1091	871	936	1163	1123	821	591					
		76.00%	77.74%	74.20%	75.38%	77.70%	77.02%	78.85%	76.06%	76.87%	76.79%	71.24%	69.32%	78.59%	75.65%	76.31%	75.86%	77.69%	76.27%	75.23%	75.46%	76.60%	75.85%	77.68%	74.09%	78.54%	75.30%	74.70%	74.00%	75.46%	77.55%	74.90%	74.76%	78.99%	76.40%	77.77%	78.45%	74.78%	76.28%	73.30%	73.90%	74.68%	77.89%	71.98%	76.80%	83.05%	77.57%	74.11%	76.46%	76.15%	76.93%	74.73%	78.74%	72.68%	73.38%	80.97%	75.96%	75.07%	74.16%	71.90%					
22	. Хакамада Ирина Муцуовна	4253	73	85	67	50	58	50	49	70	59	105	62	83	119	98	120	69	101	85	106	81	79	72	53	62	79	86	87	76	62	85	95	77	72	47	70	83	105	105	98	95	83	54	54	71	51	60	54	52	49	43	31	69	94	52	79	83	50	46					
		5.73%	5.68%	5.82%	5.06%	4.10%	4.73%	5.88%	5.21%	5.76%	4.98%	8.68%	5.37%	6.56%	8.35%	6.33%	7.28%	5.54%	7.63%	5.48%	8.18%	6.89%	6.22%	4.88%	7.11%	4.60%	6.02%	7.45%	6.69%	5.78%	5.35%	5.88%	6.59%	5.99%	5.38%	4.23%	5.43%	6.65%	6.27%	7.74%	6.22%	8.02%	6.53%	4.22%	3.89%	3.39%	5.00%	4.34%	4.78%	4.86%	3.94%	4.28%	3.36%	4.60%	7.92%	4.50%	5.16%	5.55%	4.52%	5.60%					
23	. Харитонов Николай Михайлович	5136	95	135	97	108	103	43	59	88	69	87	65	64	71	85	104	79	84	89	72	60	81	79	60	85	104	68	105	78	77	124	99	93	94	83	78	92	105	92	118	64	75	110	105	80	99	108	75	73	101	88	74	164	87	59	159	82	90	71					
