Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Кабанская																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45833	245	351	78	107	362	643	307	123	504	628	466	496	366	142	115	172	440	205	210	141	117	1070	816	403	1490	1478	1776	1469	1863	1487	1631	280	212	351	368	753	639	1014	1025	997	450	553	232	540	440	170	410	261	249	1150	1087	1214	1620	922	212	118	433	540	182	556	214	105	1055	1326	1309	936	89	87	704	74	677	1348	1176	54									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44832	240	350	60	90	350	630	300	120	490	600	450	450	350	140	110	170	440	200	200	130	110	1050	810	400	1450	1450	1550	1450	1860	1480	1630	280	210	340	360	750	640	1000	950	1000	430	550	220	550	430	170	410	250	240	1150	1080	1200	1600	900	260	100	430	530	170	530	200	90	1050	1300	1290	930	80	80	690	70	670	1340	1150	52									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14618	78	91	44	54	121	181	66	47	136	236	106	239	127	79	55	87	197	103	100	112	44	334	195	82	447	443	452	493	509	432	357	59	75	104	80	243	223	345	299	282	150	180	61	201	180	69	158	90	77	374	372	393	452	257	83	59	140	127	76	291	96	29	341	471	445	334	33	60	197	25	192	410	393	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1232	13	16	0	5	22	11	14	9	50	22	29	37	27	13	10	18	33	27	17	9	10	3	5	8	11	4	50	9	4	5	15	11	2	10	6	15	22	25	37	11	14	5	12	28	17	2	14	8	12	33	10	35	10	19	17	3	37	47	35	34	9	5	13	29	23	38	5	8	32	0	14	7	12	0									
6	Число погашенных избирательных бюллетеней	28982	149	243	16	31	207	438	220	64	304	342	315	174	196	48	45	65	210	70	83	9	56	713	610	310	992	1003	1048	948	1347	1043	1258	210	133	226	274	492	395	630	614	707	266	365	147	321	233	99	238	152	151	743	698	772	1138	624	160	38	253	356	59	205	95	56	696	800	822	558	42	12	461	45	464	923	745	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1232	13	16	0	5	22	11	14	9	50	22	29	37	27	13	10	18	33	27	17	9	10	3	5	8	11	4	50	9	4	5	15	11	2	10	6	15	22	25	37	11	14	5	12	28	17	2	14	8	12	33	10	35	10	19	17	3	37	47	35	34	9	5	13	29	23	38	5	8	32	0	14	7	12	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14616	78	91	44	54	121	181	66	47	136	236	106	239	127	79	55	87	197	103	100	112	44	334	195	82	447	443	450	493	509	432	357	59	75	104	80	243	223	345	299	282	150	180	61	201	180	69	158	90	77	374	372	393	452	257	83	59	140	127	76	291	96	29	341	471	445	334	33	60	197	25	192	410	393	45									
9	Число недействительных избирательных бюллетеней	481	1	3	0	0	1	4	4	0	4	5	8	13	4	3	3	3	3	6	1	9	1	10	4	0	8	17	13	15	21	12	6	1	2	4	8	6	7	8	11	12	3	14	5	6	8	1	6	7	0	11	15	17	18	6	4	1	0	0	8	12	11	1	9	11	17	10	0	0	7	0	8	8	12	4									
10	Число действительных избирательных бюллетеней	15367	90	104	44	59	142	188	76	56	182	253	127	263	150	89	62	102	227	124	116	112	53	327	196	90	450	430	487	487	492	425	366	69	75	110	78	252	238	362	325	281	161	171	68	223	189	70	166	91	89	396	367	411	444	270	96	61	177	174	103	313	94	33	345	489	451	362	38	68	222	25	198	409	393	41									
