Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Исилькульская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
1	"Число избирателей, внесенных в список"	33567	1043	1259	1040	1526	697	996	857	966	648	811	919	971	923	857	1500	1082	726	1592	779	664	147	58	117	227	73	1160	58	321	246	126	267	198	300	262	661	309	140	1016	210	165	310	240	742	245	154	106	589	207	495	563	107	31	1190	435	194	249	263	191	209	1042	88					
2	Число полученных избирательных бюллетеней	33231	1011	1242	987	1523	695	898	857	989	647	808	956	952	918	834	1502	1069	700	1523	781	660	142	57	120	237	75	1144	58	311	251	121	256	215	298	258	655	309	143	1010	204	165	311	241	750	242	155	104	578	204	488	565	111	31	1190	431	194	252	256	191	200	1061	95					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22739	587	679	543	960	360	521	538	658	407	491	607	571	461	456	819	611	363	1003	418	528	140	55	102	173	55	835	56	283	246	118	251	188	251	201	521	263	105	746	184	147	281	218	595	151	112	91	448	167	392	417	99	31	983	401	164	220	188	166	187	840	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	1406	20	123	75	29	26	87	12	76	45	24	42	32	55	48	77	80	35	100	30	14	0	0	0	5	2	56	0	0	0	3	0	10	0	0	10	3	9	43	0	0	0	3	28	20	12	0	30	11	16	21	0	0	53	0	12	6	12	0	0	10	1					
6	Число погашенных избирательных бюллетеней	9086	404	440	369	534	309	290	307	255	195	293	307	349	402	330	606	378	302	420	333	118	2	2	18	59	18	253	2	28	5	0	5	17	47	57	124	43	29	221	20	18	30	20	127	71	31	13	100	26	80	127	12	0	154	30	18	26	56	25	13	211	7					
7	Число избирательных бюллетеней в переносных ящиках	1406	20	123	75	29	26	87	12	76	45	24	42	32	55	48	77	80	35	100	30	14	0	0	0	5	2	56	0	0	0	3	0	10	0	0	10	3	9	43	0	0	0	3	28	20	12	0	30	11	16	21	0	0	53	0	12	6	12	0	0	10	1					
8	Число бюллетеней в стационарных ящиках для голосования	22739	587	679	543	960	360	521	538	658	407	491	607	571	461	456	819	611	363	1003	418	528	140	55	102	173	55	835	56	283	246	118	251	188	251	201	521	263	105	746	184	147	281	218	595	151	112	91	448	167	392	417	99	31	983	401	164	220	188	166	187	840	87					
9	Число недействительных избирательных бюллетеней	203	7	5	5	7	3	3	2	1	6	3	4	3	0	7	8	1	7	8	4	11	1	0	1	2	0	15	1	5	6	0	3	6	1	0	0	3	0	6	0	0	0	1	3	2	2	0	1	3	5	4	0	0	13	4	5	1	0	0	2	10	2					
10	Число действительных избирательных бюллетеней	23942	600	797	613	982	383	605	548	733	446	512	645	600	516	497	888	690	391	1095	444	531	139	55	101	176	57	876	55	278	240	121	248	192	250	201	531	263	114	783	184	147	281	220	620	169	122	91	477	175	403	434	99	31	1023	397	171	225	200	166	185	840	86					
