Выборы Президента Российской Федерации																																																																						
																																																																						
"Наименование Избирательной комиссии:    Краснодар, Центральная"																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
1	"Число избирателей, внесенных в список"	120165	2060	1755	2388	1688	1927	2459	1893	2244	2464	2340	1781	1763	2277	1831	2279	2253	2211	1797	1957	2577	2368	2313	1802	2448	2246	2319	1903	1968	2170	1809	1664	1678	2010	2457	2170	2250	2192	2215	1968	1771	1679	1735	2598	2363	2205	1679	2424	2507	2453	2299	2192	2237	2348	2519	2528	352	1400	79	138	207	243	126	189					
2	Число полученных избирательных бюллетеней	111850	1850	1600	2100	1500	1900	2200	1800	2050	2250	2100	1650	1600	2150	1650	2050	2050	1950	1600	1800	2300	2450	2100	1650	2200	2050	2100	1850	1750	1850	1650	1550	1550	1900	2200	2100	2050	2000	2000	1800	1650	1550	1750	2350	2150	2000	1450	2250	2300	2200	2100	2150	2000	2100	2300	2300	400	2000	200	300	300	600	300	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	70691	1149	1059	1569	935	1120	1378	1204	1336	1379	1471	1076	1063	1425	982	1275	1241	1181	1037	1065	1554	1518	1156	856	1547	1328	1322	1174	1272	1333	881	920	912	1099	1366	1285	1346	1358	1278	1254	1069	973	1062	1520	1375	1239	1073	1473	1477	1351	1293	1279	1197	1346	1428	1477	256	1400	5	10	186	204	105	189					
5	"Число избирательных бюллетеней, выданных вне помещения"	3129	65	52	80	31	70	47	43	63	66	55	54	65	54	27	34	41	71	36	88	52	63	73	76	56	37	61	68	79	42	41	32	36	51	55	63	42	42	60	46	45	53	7	28	47	39	14	22	41	46	46	38	44	79	78	66	47	0	74	128	12	37	21	0					
6	Число погашенных избирательных бюллетеней	38030	636	489	451	534	710	775	553	651	805	574	520	472	671	641	741	768	698	527	647	694	869	871	718	597	685	717	608	399	475	728	598	602	750	779	752	662	600	662	500	536	524	681	802	728	722	363	755	782	803	761	833	759	675	794	757	97	600	121	162	102	359	174	11					
7	Число избирательных бюллетеней в переносных ящиках	3129	65	52	80	31	70	47	43	63	66	55	54	65	54	27	34	41	71	36	88	52	63	73	76	56	37	61	68	79	42	41	32	36	51	55	63	42	42	60	46	45	53	7	28	47	39	14	22	41	46	46	38	44	79	78	66	47	0	74	128	12	37	21	0					
8	Число бюллетеней в стационарных ящиках для голосования	70544	1149	1059	1569	935	1119	1378	1204	1336	1379	1471	1076	1061	1425	982	1275	1238	1181	1037	1065	1554	1455	1156	856	1547	1328	1315	1169	1272	1291	881	920	912	1099	1366	1285	1346	1355	1278	1254	1069	973	1059	1520	1375	1239	1073	1473	1476	1351	1293	1279	1197	1346	1428	1477	256	1383	5	10	186	204	105	189					
9	Число недействительных избирательных бюллетеней	574	13	6	15	5	5	8	14	8	4	11	6	5	11	17	14	4	14	14	11	6	18	25	12	2	9	8	5	8	7	11	10	7	10	2	6	10	5	12	12	10	13	4	7	10	17	8	7	13	12	14	4	3	8	12	13	11	28	2	1	5	1	0	1					
10	Число действительных избирательных бюллетеней	73099	1201	1105	1634	961	1184	1417	1233	1391	1441	1515	1124	1121	1468	992	1295	1275	1238	1059	1142	1600	1500	1204	920	1601	1356	1368	1232	1343	1326	911	942	941	1140	1419	1342	1378	1392	1326	1288	1104	1013	1062	1541	1412	1261	1079	1488	1504	1385	1325	1313	1238	1417	1494	1530	292	1355	77	137	193	240	126	188					
