Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Молодежная поселковая								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №1434					
1	"Число избирателей, внесенных в списки"	2135	2135					
2	"Число бюллетеней, полученных участковыми комиссиями"	2050	2050					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1274	1274					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	8	8					
6	Число погашенных бюллетеней	768	768					
7	Число бюллетеней в переносных ящиках для голосования	8	8					
8	Число бюллетеней в стационарных ящиках для голосования	1272	1272					
9	Число недействительных бюллетеней	12	12					
10	Число действительных бюллетеней	1268	1268					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	40	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	31	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	4					
14	Число погашенных открепительных удостоверений	9	9					
15	Число открепительных удостоверений выданных ТИК	3	3					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	12	12					
		0.93%	0.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	43	43					
		3.35%	3.35%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	41	41					
		3.20%	3.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	28	28					
		2.18%	2.18%					
22	"5. ""За Русь Святую"""	5	5					
		0.39%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	9					
		0.70%	0.70%					
24	"7. ""Новый курс - Автомобильная Россия"""	27	27					
		2.10%	2.10%					
25	"8. ""Народно-республиканская партия России"""	1	1					
		0.07%	0.07%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	15					
		1.17%	1.17%					
27	"10. ""Аграрная партия России"""	22	22					
		1.71%	1.71%					
28	"11. ""Истинные патриоты России"""	2	2					
		0.15%	0.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	21	21					
		1.64%	1.64%					
30	"13. ""Демократическая партия России"""	3	3					
		0.23%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	1	1					
		0.07%	0.07%					
32	"15. ""Партия СЛОН"""	2	2					
		0.15%	0.15%					
33	"16. ""Родина"" (народно-патриотический союз)"""	178	178					
		13.90%	13.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	6					
		0.46%	0.46%					
35	"18. ""ЛДПР"""	158	158					
		12.34%	12.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	25					
		1.95%	1.95%					
37	"20. ""Политическая партия ""Единая Россия"""	428	428					
		33.43%	33.43%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	1					
		0.07%	0.07%					
39	"22. ""Развитие предпринимательства"""	4	4					
		0.31%	0.31%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	135	135					
		10.54%	10.54%					
								
41	Против всех	101	101					
		7.89%	7.89%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
