Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Салехардская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178					
1	"Число избирателей, внесенных в списки избирателей"	24353	2275	2148	2181	2832	2745	2271	2227	1229	2210	1542	2358	335					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22524	2084	2026	2061	2720	2527	2135	2120	1130	1918	1295	2158	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20812	2029	1849	1889	2597	2322	1953	2043	1067	1861	1266	1936	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	826	26	34	120	31	58	33	31	10	33	15	100	335					
6	Число погашенных избирательных бюллетеней	886	29	143	52	92	147	149	46	53	24	14	122	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	826	26	34	120	31	58	33	31	10	33	15	100	335					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20811	2029	1849	1889	2596	2322	1953	2043	1067	1861	1266	1936	0					
9	Число недействительных избирательных бюллетеней	281	31	15	17	24	40	27	25	19	31	18	30	4					
10	Число действительных избирательных бюллетеней	21356	2024	1868	1992	2603	2340	1959	2049	1058	1863	1263	2006	331					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	387	45	45	30	61	61	25	30	15	30	15	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	276	35	40	16	47	47	17	18	8	19	11	18	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	165	7	14	44	25	11	5	13	7	15	3	15	6					
14	Число погашенных неиспользованных открепительных удостоверений	111	10	5	14	14	14	8	12	7	11	4	12	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	8	9	7	6	9	13	6	2	4	0	8	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	386	28	37	38	48	51	37	35	15	31	22	41	3					
		1.78%	1.36%	1.96%	1.89%	1.83%	2.14%	1.86%	1.69%	1.39%	1.64%	1.72%	2.01%	0.90%					
19	2.Всероссийская политическая партия «Гражданская Сила»	344	18	41	29	41	34	47	29	26	31	13	28	7					
		1.59%	0.88%	2.18%	1.44%	1.56%	1.43%	2.37%	1.40%	2.41%	1.64%	1.01%	1.38%	2.09%					
20	3.Политическая партия «Демократическая партия России»	21	2	4	3	0	4	3	1	0	1	1	2	0					
		0.10%	0.10%	0.21%	0.15%	0.00%	0.17%	0.15%	0.05%	0.00%	0.05%	0.08%	0.10%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	925	84	79	82	118	114	88	90	36	70	56	101	7					
		4.28%	4.09%	4.20%	4.08%	4.49%	4.79%	4.43%	4.34%	3.34%	3.70%	4.37%	4.96%	2.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	141	24	25	18	19	8	7	11	6	5	8	7	3					
		0.65%	1.17%	1.33%	0.90%	0.72%	0.34%	0.35%	0.53%	0.56%	0.26%	0.62%	0.34%	0.90%					
23	6.Политическая партия «Партия социальной справедливости»	41	2	1	2	12	9	3	3	0	2	1	6	0					
		0.19%	0.10%	0.05%	0.10%	0.46%	0.38%	0.15%	0.14%	0.00%	0.11%	0.08%	0.29%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2240	197	146	207	246	250	209	222	124	226	131	252	30					
		10.35%	9.59%	7.75%	10.30%	9.36%	10.50%	10.52%	10.70%	11.51%	11.93%	10.23%	12.38%	8.96%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1817	175	195	144	223	188	186	183	70	144	111	175	23					
		8.40%	8.52%	10.36%	7.17%	8.49%	7.90%	9.37%	8.82%	6.50%	7.60%	8.67%	8.60%	6.87%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	100	11	15	9	13	11	10	7	3	6	6	9	0					
		0.46%	0.54%	0.80%	0.45%	0.49%	0.46%	0.50%	0.34%	0.28%	0.32%	0.47%	0.44%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	15067	1469	1279	1435	1851	1633	1340	1448	771	1334	897	1355	255					
		69.64%	71.48%	67.92%	71.43%	70.46%	68.61%	67.47%	69.82%	71.59%	70.43%	70.02%	66.55%	76.12%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	274	14	46	25	32	38	29	20	7	13	17	30	3					
		1.27%	0.68%	2.44%	1.24%	1.22%	1.60%	1.46%	0.96%	0.65%	0.69%	1.33%	1.47%	0.90%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
