Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Сунская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5781	1595	714	748	303	289	150	158	430	362	169	119	198	116	115	315									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5600	1600	700	730	290	280	150	160	400	350	150	100	190	100	100	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2066	646	236	288	113	101	51	60	119	110	66	33	82	32	48	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	334	28	21	57	40	24	11	26	29	3	7	10	8	14	8	48									
6	Число погашенных избирательных бюллетеней	3200	926	443	385	137	155	88	74	252	237	77	57	100	54	44	171									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	334	28	21	57	40	24	11	26	29	3	7	10	8	14	8	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2065	646	236	287	113	101	51	60	119	110	66	33	82	32	48	81									
9	Число недействительных избирательных бюллетеней	50	14	2	7	13	0	1	2	3	1	3	0	1	2	0	1									
10	Число действительных избирательных бюллетеней	2349	660	255	337	140	125	61	84	145	112	70	43	89	44	56	128									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	199	29	20	20	10	10	10	10	20	10	5	5	10	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	30	8	2	4	1	1	0	4	2	3	1	1	0	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	3	2	7	1	0	1	1	2	1	2	0	1	1	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	169	21	18	16	9	9	10	6	18	7	4	4	10	8	9	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	20	10	3	2	2	1	0	0	1	0	0	0	1	0	0	0									
