Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Назрановская городская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44684	1528	1762	1934	2900	2537	2459	2674	1333	2178	2604	2337	1989	2643	2977	2555	2789	2766	2140	2579									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43700	1500	1700	1900	2900	2500	2400	2600	1300	2100	2600	2300	1900	2600	2900	2500	2700	2700	2100	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36960	1221	1383	1761	2184	2231	2100	2106	1172	1711	2249	2011	1560	2243	2372	2219	2365	2204	1819	2049									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	100	3	0	0	0	0	0	67	0	0	0	0	0	0	3	0	0	0	13	14									
6	Число погашенных избирательных бюллетеней	6640	276	317	139	716	269	300	427	128	389	351	289	340	357	525	281	335	496	268	437									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	100	3	0	0	0	0	0	67	0	0	0	0	0	0	3	0	0	0	13	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36960	1221	1383	1761	2184	2231	2100	2106	1172	1711	2249	2011	1560	2243	2372	2219	2365	2204	1819	2049									
9	Число недействительных избирательных бюллетеней	267	0	84	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	36793	1224	1299	1761	2184	2231	2100	2173	1172	1711	2066	2011	1560	2243	2375	2219	2365	2204	1832	2063									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	228	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	20	0	0	1	0	0	1	1	0	0	1	0	0	0	2	1	0	0	11	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	2	21	2									
14	Число погашенных неиспользованных открепительных удостоверений	208	12	12	11	12	12	11	11	12	12	11	12	12	12	10	11	12	12	1	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1711	41	47	56	80	64	72	150	288	61	54	66	68	100	148	73	87	58	136	62									
		4.62%	3.35%	3.40%	3.18%	3.66%	2.87%	3.43%	6.90%	24.57%	3.57%	2.40%	3.28%	4.36%	4.46%	6.23%	3.29%	3.68%	2.63%	7.42%	3.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.05%	0.04%	0.05%	0.05%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.05%	0.04%	0.05%	0.05%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26668	909	958	1285	1597	1643	1542	1507	635	1239	1524	1472	1150	1598	1734	1651	1750	1640	1299	1535									
		71.96%	74.26%	69.27%	72.97%	73.12%	73.64%	73.43%	69.35%	54.18%	72.41%	67.76%	73.20%	73.72%	71.24%	73.01%	74.40%	73.99%	74.41%	70.91%	74.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	1	1	0	0									
