Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Аксайская 																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1612	УИК №2167	УИК №2195	УИК №2493	УИК №2494	УИК №2549	УИК №2563	УИК №2564	УИК №2624	УИК №2625					
1	"Число избирателей, внесенных в список избирателей"	74399	1145	2508	1327	1386	1420	1425	1088	1271	1713	1322	1473	1251	2223	2116	1599	2172	1539	1256	343	1426	1574	524	1048	379	322	1063	258	1911	1899	636	1393	1469	878	506	312	215	724	1157	356	638	1118	679	183	80	912	944	506	819	1860	2452	515	1955	1223	74	352	238	1316	1027	798	408	1840	1967	2201	1741	1006	920					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59569	881	1766	983	1023	1078	1086	888	1020	1313	1014	1178	987	1771	1655	1212	1559	1206	1012	281	1217	1137	489	742	360	248	773	200	1518	1530	527	1338	1147	676	394	250	166	584	954	287	518	916	556	144	112	828	816	452	812	1498	2017	523	1657	948	112	279	238	952	791	646	340	1447	1421	1657	1969	805	665					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45095	580	1247	679	745	877	751	827	696	763	878	605	589	770	895	728	1152	1156	905	182	1134	943	453	631	274	191	472	200	1383	1028	460	849	1036	518	320	218	153	294	696	149	490	875	529	133	74	798	735	399	721	1421	1535	423	1591	626	66	251	24	609	595	591	313	1004	1053	1293	1326	641	552					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3912	7	39	57	84	25	77	22	65	171	28	50	70	210	115	15	385	50	99	27	33	34	2	33	9	36	14	0	62	150	30	304	20	26	22	0	0	107	54	131	28	20	20	11	4	19	24	27	46	15	56	11	38	81	4	11	214	33	58	41	15	36	205	10	171	44	7					
6	Число погашенных избирательных бюллетеней	10538	294	478	247	194	176	258	39	259	379	108	523	328	791	645	469	22	0	8	72	50	160	34	75	77	21	287	0	73	352	37	185	91	132	52	32	13	183	204	7	0	21	7	0	34	11	57	26	45	62	426	89	28	241	42	17	0	310	138	14	12	407	144	354	472	120	106					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3912	7	39	57	84	25	77	22	65	171	28	50	70	210	115	15	385	50	99	27	33	34	2	33	9	36	14	0	62	150	30	304	20	26	22	0	0	107	54	131	28	20	20	11	4	19	24	27	46	15	56	11	38	81	4	11	214	33	58	41	15	36	205	10	171	44	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45011	578	1247	679	745	877	750	827	696	763	878	604	589	769	895	715	1152	1156	905	182	1132	909	453	631	274	191	472	200	1383	1027	460	849	1036	518	320	218	153	294	696	149	490	875	529	133	74	798	735	399	721	1421	1535	423	1591	626	66	251	24	608	567	591	313	1004	1053	1293	1326	641	552					
9	Число недействительных избирательных бюллетеней	1740	6	38	14	7	11	192	5	95	46	28	16	150	45	0	12	11	0	0	0	8	11	0	11	5	6	6	0	30	19	63	18	8	0	3	0	0	3	4	1	0	3	0	2	0	41	57	22	57	22	65	6	1	11	0	10	30	4	26	3	0	0	305	0	188	15	0					
10	Число действительных избирательных бюллетеней	47183	579	1248	722	822	891	635	844	666	888	878	638	509	934	1010	718	1526	1206	1004	209	1157	932	455	653	278	221	480	200	1415	1158	427	1135	1048	544	339	218	153	398	746	279	518	892	549	142	78	776	702	404	710	1414	1526	428	1628	696	70	252	208	637	599	629	328	1040	953	1303	1309	670	559					
