Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Павловская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1245	УИК №1246	УИК №1247									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34031	1837	1736	2119	1636	1517	1778	1623	284	663	231	760	762	858	311	387	133	111	234	1161	191	1354	1606	915	1057	328	2735	1753	390	175	1343	50	2122	534	164	941	232									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29762	1500	1500	1800	1500	1300	1500	1400	250	600	200	650	650	750	300	350	120	100	200	1000	190	1200	1400	800	900	300	2400	1500	350	150	1200	52	1900	500	150	900	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12263	796	685	704	624	700	660	593	93	273	98	257	280	267	101	162	74	57	64	281	102	318	482	141	352	102	957	855	158	62	389	22	779	161	89	412	113									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	972	42	34	75	115	32	66	35	8	5	7	52	14	39	9	13	4	0	8	101	8	10	16	31	30	16	27	37	13	0	19	5	20	50	3	20	8									
6	Число погашенных избирательных бюллетеней	16527	662	781	1021	761	568	774	772	149	322	95	341	356	444	190	175	42	43	128	618	80	872	902	628	518	182	1416	608	179	88	792	25	1101	289	58	468	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	972	42	34	75	115	32	66	35	8	5	7	52	14	39	9	13	4	0	8	101	8	10	16	31	30	16	27	37	13	0	19	5	20	50	3	20	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12250	791	684	702	624	700	660	593	93	273	98	257	280	267	101	162	74	57	64	281	102	318	482	141	352	102	955	855	158	62	389	22	778	161	89	411	112									
9	Число недействительных избирательных бюллетеней	359	13	17	14	23	9	13	20	7	12	1	5	14	8	6	10	1	1	1	6	3	13	11	1	14	3	36	26	11	5	17	0	14	6	6	10	2									
10	Число действительных избирательных бюллетеней	12863	820	701	763	716	723	713	608	94	266	104	304	280	298	104	165	77	56	71	376	107	315	487	171	368	115	946	866	160	57	391	27	784	205	86	421	118									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	236	15	13	16	19	13	12	10	1	5	2	5	5	5	2	2	0	0	0	1	0	2	10	2	10	1	20	8	3	0	15	0	18	3	1	17	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	216	15	13	16	15	13	12	8	1	5	2	4	2	5	1	2	0	0	0	1	0	2	10	0	10	1	20	8	3	0	10	0	18	1	1	17	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	127	5	4	4	10	4	4	5	3	1	4	5	4	4	1	1	2	2	2	5	1	1	2	2	4	3	9	1	3	1	4	2	8	3	2	6	5									
14	Число погашенных неиспользованных открепительных удостоверений	20	0	0	0	4	0	0	2	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	0	3	0	2	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	139	13	5	13	18	5	7	9	1	2	0	1	4	0	0	2	0	1	0	6	0	1	2	1	2	1	8	14	1	0	8	1	5	1	0	5	2									
		1.05%	1.56%	0.70%	1.67%	2.44%	0.68%	0.96%	1.43%	0.99%	0.72%	0.00%	0.32%	1.36%	0.00%	0.00%	1.14%	0.00%	1.75%	0.00%	1.57%	0.00%	0.30%	0.40%	0.58%	0.52%	0.85%	0.81%	1.57%	0.58%	0.00%	1.96%	3.70%	0.63%	0.47%	0.00%	1.16%	1.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	595	32	30	33	37	35	29	22	7	21	5	21	12	9	7	6	3	3	6	53	10	9	12	9	28	3	37	38	4	5	6	4	16	3	3	31	6									
