Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Фатежская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16410	1800	2248	464	139	178	146	543	314	626	900	301	321	1334	316	277	221	506	367	610	745	369	479	805	147	367	448	608	138	133	266	294									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13610	1500	1850	370	120	160	130	480	260	500	750	250	250	1100	250	230	200	420	300	500	600	330	400	650	120	300	370	500	120	120	230	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6055	724	850	107	47	66	64	223	132	174	242	80	60	548	132	58	44	169	156	168	323	204	156	243	47	163	121	409	59	57	83	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2890	71	131	125	37	43	46	75	57	175	157	72	99	114	43	63	95	136	77	245	127	106	101	147	43	79	92	80	54	46	91	63									
6	Число погашенных избирательных бюллетеней	4665	705	869	138	36	51	20	182	71	151	351	98	91	438	75	109	61	115	67	87	150	20	143	260	30	58	157	11	7	17	56	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2890	71	131	125	37	43	46	75	57	175	157	72	99	114	43	63	95	136	77	245	127	106	101	147	43	79	92	80	54	46	91	63									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6054	724	849	107	47	66	64	223	132	174	242	80	60	548	132	58	44	169	156	168	323	204	156	243	47	163	121	409	59	57	83	146									
9	Число недействительных избирательных бюллетеней	149	10	22	5	2	0	2	5	4	0	10	0	6	21	4	3	3	1	7	1	11	3	2	10	0	2	4	6	1	0	2	2									
10	Число действительных избирательных бюллетеней	8795	785	958	227	82	109	108	293	185	349	389	152	153	641	171	118	136	304	226	412	439	307	255	380	90	240	209	483	112	103	172	207									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	258	20	20	5	5	5	5	20	7	5	8	5	5	20	10	20	5	10	10	5	10	3	3	10	5	5	10	10	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	109	16	17	2	1	0	0	16	7	1	6	0	0	12	0	0	1	5	5	1	7	0	0	0	5	2	1	2	0	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	6	15	1	2	3	3	1	2	12	6	1	4	8	3	1	2	1	1	1	4	1	1	1	1	2	1	0	1	1	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	149	4	3	3	4	5	5	4	0	4	2	5	5	8	10	20	4	5	5	4	3	3	3	10	0	3	9	8	3	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	19	29	1	0	2	0	1	1	1	2	0	0	5	2	0	0	0	4	1	2	0	2	4	0	3	3	2	0	0	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	77	11	20	1	0	1	0	4	0	2	3	0	2	14	1	1	0	0	3	0	1	2	0	3	0	0	3	2	1	0	0	2									
