Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Омсукчанская												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90					
1	"Число избирателей, внесенных в списки"	4635	1602	1692	1101	113	127					
2	"Число бюллетеней, полученных участковыми комиссиями"	4544	1558	1729	1042	98	117					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	352	7	278	67	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2385	894	879	431	91	90					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	127	92	11	17	0	7					
6	Число погашенных бюллетеней	1680	565	561	527	7	20					
7	Число бюллетеней в переносных ящиках для голосования	479	99	289	84	0	7					
8	Число бюллетеней в стационарных ящиках для голосования	2380	893	875	431	91	90					
9	Число недействительных бюллетеней	28	9	10	8	1	0					
10	Число действительных бюллетеней	2831	983	1154	507	90	97					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	157	35	35	40	17	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	10	11	4	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	3	4	0	1	6					
14	Число погашенных открепительных удостоверений	128	25	24	36	17	26					
15	Число открепительных удостоверений выданных ТИК	3	1	1	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	48	21	19	5	1	2					
		1.67%	2.11%	1.63%	0.97%	1.09%	2.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	50	14	25	11	0	0					
		1.74%	1.41%	2.14%	2.13%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	109	36	33	31	5	4					
		3.81%	3.62%	2.83%	6.01%	5.49%	4.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	71	29	30	10	0	2					
		2.48%	2.92%	2.57%	1.94%	0.0%	2.06%					
22	"5. ""За Русь Святую"""	18	5	8	3	0	2					
		0.62%	0.50%	0.68%	0.58%	0.0%	2.06%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	2	3	2	0	4					
		0.38%	0.20%	0.25%	0.38%	0.0%	4.12%					
24	"7. ""Новый курс - Автомобильная Россия"""	12	3	6	3	0	0					
		0.41%	0.30%	0.51%	0.58%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	0	2	0	0	1					
		0.10%	0.0%	0.17%	0.0%	0.0%	1.03%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	4	2	3	0	0					
		0.31%	0.40%	0.17%	0.58%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	44	15	19	7	2	1					
		1.53%	1.51%	1.63%	1.35%	2.19%	1.03%					
28	"11. ""Истинные патриоты России"""	7	3	1	3	0	0					
		0.24%	0.30%	0.08%	0.58%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	20	5	7	4	2	2					
		0.69%	0.50%	0.60%	0.77%	2.19%	2.06%					
30	"13. ""Демократическая партия России"""	10	1	3	2	0	4					
		0.34%	0.10%	0.25%	0.38%	0.0%	4.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	2	1	4	0	0					
		0.24%	0.20%	0.08%	0.77%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	1	4	2	0	0					
		0.24%	0.10%	0.34%	0.38%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	163	59	68	28	2	6					
		5.70%	5.94%	5.84%	5.43%	2.19%	6.18%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	6	0	1	0	1					
		0.27%	0.60%	0.0%	0.19%	0.0%	1.03%					
35	"18. ""ЛДПР"""	602	202	231	115	30	24					
		21.05%	20.36%	19.84%	22.33%	32.96%	24.74%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	38	11	13	12	1	1					
		1.32%	1.10%	1.11%	2.33%	1.09%	1.03%					
37	"20. ""Политическая партия ""Единая Россия"""	1173	427	496	188	37	25					
		41.02%	43.04%	42.61%	36.50%	40.65%	25.77%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	1	4	0	0	0					
		0.17%	0.10%	0.34%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	17	9	5	2	1	0					
		0.59%	0.90%	0.42%	0.38%	1.09%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	233	84	99	36	5	9					
		8.14%	8.46%	8.50%	6.99%	5.49%	9.27%					
												
41	Против всех	166	43	75	35	4	9					
		5.80%	4.33%	6.44%	6.79%	4.39%	9.27%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
