Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Малгобекская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53					
1	"Число избирателей, внесенных в список избирателей"	28784	1568	1434	2256	1149	1022	815	1435	1613	1187	1135	365	793	1453	1490	1320	1227	1444	1160	984	1593	2775	566					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28217	1534	1374	2238	1134	972	817	1425	1593	1150	1139	325	789	1439	1483	1297	1211	1422	1143	973	1593	2606	560					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23897	1320	1191	2044	930	780	639	1213	1380	941	920	316	692	1253	1242	1048	1072	1197	918	782	1320	2247	452					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	168	9	10	12	6	5	5	7	8	7	9	0	6	10	11	4	8	10	7	4	9	15	6					
6	Число погашенных избирательных бюллетеней	4152	205	173	182	198	187	173	205	205	202	210	9	91	176	230	245	131	215	218	187	264	344	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	168	9	10	12	6	5	5	7	8	7	9	0	6	10	11	4	8	10	7	4	9	15	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23897	1320	1191	2044	930	780	639	1213	1380	941	920	316	692	1253	1242	1048	1072	1197	918	782	1320	2247	452					
9	Число недействительных избирательных бюллетеней	38	2	1	3	1	2	2	4	1	0	1	4	2	3	1	3	1	2	1	0	4	0	0					
10	Число действительных избирательных бюллетеней	24027	1327	1200	2053	935	783	642	1216	1387	948	928	312	696	1260	1252	1049	1079	1205	924	786	1325	2262	458					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	10	10	15	8	8	8	9	9	6	6	5	8	9	9	9	9	9	9	9	9	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	32	2	3	2	0	0	2	1	0	2	0	0	0	2	2	1	7	4	1	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0					
