Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Волчанская городская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233					
1	"Число избирателей, внесенных в список избирателей"	8504	1843	1890	1521	1590	1660					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8600	1900	1900	1550	1600	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	129	0	90	39	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4228	1022	790	756	791	869					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	224	69	12	33	45	65					
6	Число погашенных избирательных бюллетеней	4019	809	1008	722	764	716					
7	Число избирательных бюллетеней в переносных ящиках для голосования	353	69	102	72	45	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4228	1022	790	756	791	869					
9	Число недействительных избирательных бюллетеней	133	32	24	24	24	29					
10	Число действительных избирательных бюллетеней	4448	1059	868	804	812	905					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	143	29	30	28	29	27					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	84	23	18	12	17	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	13	13	9	8	15					
14	Число погашенных неиспользованных открепительных удостоверений	59	6	12	16	12	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	2	1	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1047	297	183	214	161	192					
		22.86%	27.22%	20.52%	25.85%	19.26%	20.56%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1030	217	188	159	236	230					
		22.48%	19.89%	21.08%	19.20%	28.23%	24.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	15	6	7	6	7					
		0.90%	1.37%	0.67%	0.85%	0.72%	0.75%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	841	171	165	150	152	203					
		18.36%	15.67%	18.50%	18.12%	18.18%	21.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	17	16	19	12	15					
		1.72%	1.56%	1.79%	2.29%	1.44%	1.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1350	331	305	242	230	242					
		29.47%	30.34%	34.19%	29.23%	27.51%	25.91%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	60	11	5	13	15	16					
		1.31%	1.01%	0.56%	1.57%	1.79%	1.71%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
