Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Волжская городская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44728	1890	852	1866	1125	1979	982	1158	946	2038	1932	2056	932	1159	2005	915	945	2129	1234	1286	1869	869	2168	843	2000	2194	2380	998	1874	650	1454									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44200	1850	850	1800	1100	2000	950	1100	950	2050	1900	2050	900	1150	2000	900	900	2150	1200	1250	1850	850	2200	800	2000	2200	2350	1000	1850	600	1450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23572	916	383	971	534	1114	619	542	478	1015	1018	940	491	634	1039	522	543	1155	658	726	1195	464	1001	381	1162	1146	1257	603	993	291	781									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	830	17	5	65	25	36	45	40	15	46	27	69	15	14	51	9	15	83	21	2	13	12	10	45	36	42	25	5	14	17	11									
6	Число погашенных избирательных бюллетеней	19798	917	462	764	541	850	286	518	457	989	855	1041	394	502	910	369	342	912	521	522	642	374	1189	374	802	1012	1068	392	843	292	658									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	830	17	5	65	25	36	45	40	15	46	27	69	15	14	51	9	15	83	21	2	13	12	10	45	36	42	25	5	14	17	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23569	916	383	971	534	1114	619	542	478	1015	1018	940	491	634	1039	522	543	1155	658	726	1195	464	1001	381	1162	1146	1257	603	993	291	778									
9	Число недействительных избирательных бюллетеней	413	15	9	19	10	24	9	3	3	27	22	13	11	15	9	6	13	15	7	15	21	11	17	4	5	22	22	4	26	8	28									
10	Число действительных избирательных бюллетеней	23986	918	379	1017	549	1126	655	579	490	1034	1023	996	495	633	1081	525	545	1223	672	713	1187	465	994	422	1193	1166	1260	604	981	300	761									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	705	25	15	25	20	35	15	20	25	30	40	30	15	20	30	15	15	30	20	20	25	15	30	15	30	40	30	20	25	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	490	15	6	15	10	33	11	8	16	24	33	23	9	20	19	7	12	25	12	9	11	15	25	6	16	36	25	17	12	3	17									
