Выборы Президента Российской Федерации																																																																																
Дата голосования: 02.03.2008																																																																																
																																																																																
Наименование Избирательной комиссии:    Фрунзенская N29																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
	Число участковых избирательных комиссий	73																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																														
																																																																																
		Сумма	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714					
1	"Число избирателей, включенных в списки избирателей"	136555	2390	2002	1289	2070	1595	1856	1700	1850	1994	2040	1924	2126	1950	2204	1897	2122	1795	2150	2159	2142	2184	1832	1903	1941	754	2017	1890	2361	2097	2368	1529	2260	1202	1649	1861	1099	1529	1614	1546	1940	2140	2090	2062	1850	1932	2247	2099	2136	1671	1784	1560	1630	1820	1839	1630	1612	1617	1852	1740	1595	1776	2022	1754	1654	1865	1932	1798	2066	2114	1847	2051	1910	2029					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	131200	2000	2000	1500	2000	1500	2000	1500	1500	2000	2000	2000	2000	2000	2000	1900	2000	1500	2000	2000	2000	2000	1900	1800	2000	700	2000	2000	2400	2000	2000	1500	2000	1300	1500	1500	1200	1500	1500	1500	2000	2000	1900	2000	1900	2000	2000	2000	2000	1500	1500	1500	1500	1500	1900	1500	1500	1500	1800	1700	1500	1900	2000	1500	1700	1900	2000	2000	2000	2000	1900	2000	1900	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	91874	1528	1247	1049	1302	1028	1341	1158	1394	1244	1353	1330	1475	1156	1315	1213	1504	1242	1423	1512	1346	1402	1194	1266	1289	573	1296	1142	1496	1484	1471	952	1477	914	1124	1293	845	990	1050	1034	1227	1597	1357	1260	1263	1287	1548	1387	1372	1353	1158	1017	1267	1416	1316	1323	1052	979	1198	1087	1026	1217	1295	1190	1160	1171	1378	1301	1258	1212	1133	1540	1440	1637					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1713	26	46	36	32	19	20	27	15	44	28	17	31	143	47	14	25	30	64	72	16	20	11	20	27	0	19	28	34	29	27	24	16	28	10	22	13	6	6	7	11	8	11	11	5	12	7	21	17	10	19	10	17	19	14	16	12	13	14	21	21	9	11	12	17	15	46	56	100	14	16	9	10	10					
6	Число погашенных избирательных бюллетеней	37613	446	707	415	666	453	639	315	91	712	619	653	494	701	638	673	471	228	513	416	638	578	695	514	684	127	685	830	870	487	502	524	507	358	366	185	342	504	444	459	762	395	532	729	632	701	445	592	611	137	323	473	216	65	570	161	436	508	588	592	453	674	694	298	523	714	576	643	642	774	751	451	450	353					
