Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Троснянская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688					
1	"Число избирателей, внесенных в список избирателей"	8591	2446	287	521	738	190	398	523	188	339	393	415	191	683	207	377	394	301					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8774	2514	291	528	756	192	406	544	197	351	399	402	191	704	208	384	406	301					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4490	1470	104	209	265	147	229	303	77	186	209	223	71	377	145	160	212	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1544	163	95	122	193	20	112	104	59	53	75	165	64	16	43	113	79	68					
6	Число погашенных избирательных бюллетеней	2740	881	92	197	298	25	65	137	61	112	115	14	56	311	20	111	115	130					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1544	163	95	122	193	20	112	104	59	53	75	165	64	16	43	113	79	68					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4490	1470	104	209	265	147	229	303	77	186	209	223	71	377	145	160	212	103					
9	Число недействительных избирательных бюллетеней	76	24	1	3	0	0	17	4	0	8	1	4	0	4	0	7	1	2					
10	Число действительных избирательных бюллетеней	5958	1609	198	328	458	167	324	403	136	231	283	384	135	389	188	266	290	169					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	170	65	5	10	15	5	5	10	5	5	5	5	5	10	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	77	32	0	1	15	0	3	6	5	3	3	2	0	6	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	13	0	2	3	1	1	1	1	2	5	3	3	1	1	5	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	93	33	5	9	0	5	2	4	0	2	2	3	5	4	5	5	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	375	109	9	24	46	12	19	19	5	15	16	17	5	32	6	17	16	8					
		6.21%	6.67%	4.52%	7.25%	10.04%	7.19%	5.57%	4.67%	3.68%	6.28%	5.63%	4.38%	3.70%	8.14%	3.19%	6.23%	5.50%	4.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	546	190	9	66	45	10	34	24	4	24	35	28	4	37	3	5	17	11					
		9.05%	11.64%	4.52%	19.94%	9.83%	5.99%	9.97%	5.90%	2.94%	10.04%	12.32%	7.22%	2.96%	9.41%	1.60%	1.83%	5.84%	6.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	23	0	1	1	1	1	1	0	0	3	2	0	3	0	1	1	0					
		0.63%	1.41%	0.00%	0.30%	0.22%	0.60%	0.29%	0.25%	0.00%	0.00%	1.06%	0.52%	0.00%	0.76%	0.00%	0.37%	0.34%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1206	453	22	76	83	12	22	92	14	47	54	59	23	85	23	60	19	62					
		19.99%	27.74%	11.06%	22.96%	18.12%	7.19%	6.45%	22.60%	10.29%	19.67%	19.01%	15.21%	17.04%	21.63%	12.23%	21.98%	6.53%	36.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	11	2	0	5	1	0	0	4	2	1	4	0	0	1	2	1	1					
		0.58%	0.67%	1.01%	0.00%	1.09%	0.60%	0.00%	0.00%	2.94%	0.84%	0.35%	1.03%	0.00%	0.00%	0.53%	0.73%	0.34%	0.58%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3725	812	155	159	276	129	248	266	109	143	172	268	103	231	155	180	235	84					
		61.73%	49.72%	77.89%	48.04%	60.26%	77.25%	72.73%	65.36%	80.15%	59.83%	60.56%	69.07%	76.30%	58.78%	82.45%	65.93%	80.76%	49.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	33	11	1	2	2	2	0	1	0	0	2	6	0	1	0	1	1	3					
		0.55%	0.67%	0.50%	0.60%	0.44%	1.20%	0.00%	0.25%	0.00%	0.00%	0.70%	1.55%	0.00%	0.25%	0.00%	0.37%	0.34%	1.75%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
