Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Армавирская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №498	УИК №499					
1	"Число избирателей, внесенных в список избирателей"	125882	1694	1476	1777	1364	1970	1244	1304	2085	1227	2146	1609	1472	1856	603	1023	1946	2058	2258	1885	2076	1677	2814	2116	1748	1910	2016	2196	1554	2268	2038	2300	1865	1687	2037	2335	1462	2235	2401	2274	2643	2330	2177	2452	2756	1796	1801	2075	1770	1787	1494	1519	2124	1650	2163	1128	2430	2240	1735	1581	1267	1780	513	1744	622	1139	441	145	1977	493	481	1458	1187	628	350					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	123145	1800	1500	1800	1400	2000	1000	1200	2000	1400	2000	1500	1500	1900	600	1000	1900	2000	2400	1900	1900	1600	2800	2000	1700	1900	1900	2000	1600	2300	2000	2300	1800	1700	2000	2300	1400	2000	2600	2300	2600	2300	2200	2400	2800	1700	1800	2000	1700	1700	1500	1600	2000	1500	2000	1000	2400	2000	1700	1600	1300	1700	500	1500	600	1200	440	150	1900	490	480	1400	1100	635	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80635	1071	995	854	723	1165	907	900	1603	823	1449	955	879	1150	331	580	1024	1328	1189	1632	1329	1186	1670	1211	994	978	952	1770	902	1684	1174	1601	968	1088	1090	1506	922	1558	1427	1380	1813	1366	1458	1647	2153	1390	1253	1400	1218	1242	935	1306	1219	1032	1321	777	1377	1529	857	975	807	1335	403	1326	412	627	331	131	1178	284	313	880	564	478	350					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	9992	132	85	161	223	120	87	78	44	80	68	169	147	136	83	132	186	295	148	70	161	111	181	292	163	178	229	65	187	212	114	90	157	166	113	73	47	115	368	142	135	188	198	233	123	71	97	154	156	121	113	111	244	79	107	37	588	52	245	198	103	67	55	50	30	158	7	4	72	45	41	182	170	150	0					
6	Число погашенных избирательных бюллетеней	32518	597	420	785	454	715	6	222	353	497	483	376	474	614	186	288	690	377	1063	198	410	303	949	497	543	744	719	165	511	404	712	609	675	446	797	721	431	327	805	778	652	746	544	520	524	239	450	446	326	337	452	183	537	389	572	186	435	419	598	427	390	298	42	124	158	415	102	15	650	161	126	338	366	7	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	9992	132	85	161	223	120	87	78	44	80	68	169	147	136	83	132	186	295	148	70	161	111	181	292	163	178	229	65	187	212	114	90	157	166	113	73	47	115	368	142	135	188	198	233	123	71	97	154	156	121	113	111	244	79	107	37	588	52	245	198	103	67	55	50	30	158	7	4	72	45	41	182	170	150	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80618	1071	995	854	723	1165	907	900	1603	823	1449	955	879	1150	331	580	1024	1327	1189	1632	1329	1186	1664	1211	994	978	952	1770	902	1684	1174	1601	968	1088	1090	1506	922	1556	1427	1380	1813	1366	1458	1647	2153	1390	1253	1400	1218	1238	933	1306	1218	1032	1321	777	1377	1529	857	975	807	1335	403	1325	412	627	331	131	1178	284	313	880	564	478	350					
9	Число недействительных избирательных бюллетеней	1925	28	76	21	23	21	2	13	22	15	29	26	18	18	6	11	15	32	29	33	27	15	38	26	14	18	20	0	10	18	18	229	23	11	27	40	16	34	42	26	33	33	36	29	84	21	21	62	25	19	25	20	25	23	36	18	41	45	13	21	19	19	5	35	3	18	12	0	22	10	8	10	10	31	3					
10	Число действительных избирательных бюллетеней	88685	1175	1004	994	923	1264	992	965	1625	888	1488	1098	1008	1268	408	701	1195	1590	1308	1669	1463	1282	1807	1477	1143	1138	1161	1835	1079	1878	1270	1462	1102	1243	1176	1539	953	1637	1753	1496	1915	1521	1620	1851	2192	1440	1329	1492	1349	1340	1021	1397	1437	1088	1392	796	1924	1536	1089	1152	891	1383	453	1340	439	767	326	135	1228	319	346	1052	724	597	347					
