Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Вавожская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13173	1857	1044	1742	115	156	142	836	977	453	294	191	79	146	390	234	179	729	214	193	288	171	583	393	467	346	190	358	191	215									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1800	1000	1700	110	150	140	850	970	450	290	190	90	150	410	230	180	730	200	190	290	170	580	380	460	350	190	350	190	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7479	1034	574	851	78	81	75	387	552	285	180	123	69	94	300	183	133	318	108	89	146	91	426	264	338	209	129	112	94	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	450	11	15	16	0	9	8	25	13	5	23	8	0	4	8	9	9	25	14	27	17	15	8	45	15	39	21	46	5	10									
6	Число погашенных избирательных бюллетеней	5071	755	411	833	32	60	57	438	405	160	87	59	21	52	102	38	38	387	78	74	127	64	146	71	107	102	40	192	91	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	450	11	15	16	0	9	8	25	13	5	23	8	0	4	8	9	9	25	14	27	17	15	8	45	15	39	21	46	5	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7475	1030	574	851	78	81	75	387	552	285	180	123	69	94	300	183	133	318	108	89	146	91	426	264	338	209	129	112	94	156									
9	Число недействительных избирательных бюллетеней	211	29	13	32	5	14	0	6	23	6	4	4	0	2	10	2	2	13	2	0	6	1	4	8	5	4	4	4	0	8									
10	Число действительных избирательных бюллетеней	7714	1012	576	835	73	76	83	406	542	284	199	127	69	96	298	190	140	330	120	116	157	105	430	301	348	244	146	154	99	158									
