Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Чаунская														
														
Сводная таблица итогов голосования  по федеральному округу														
														
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56					
1	"Число избирателей, внесенных в списки"	5581	1224	1688	1452	161	325	206	525					
2	"Число бюллетеней, полученных участковыми комиссиями"	5656	1237	1676	1491	155	311	243	543					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	97	7	0	0	0	40	24	26					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2384	526	674	573	127	202	140	142					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	77	24	25	28	0	0	0	0					
6	Число погашенных бюллетеней	3098	680	977	890	28	69	79	375					
7	Число бюллетеней в переносных ящиках для голосования	150	31	25	28	0	40	0	26					
8	Число бюллетеней в стационарных ящиках для голосования	2405	525	673	572	127	202	164	142					
9	Число недействительных бюллетеней	14	0	5	1	7	0	1	0					
10	Число действительных бюллетеней	2541	556	693	599	120	242	163	168					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	44	62	52	5	10	8	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	8	2	0	1	2	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	5	1	1	0	0	0					
14	Число погашенных открепительных удостоверений	190	42	62	51	3	7	8	17					
15	Число открепительных удостоверений выданных ТИК	12	4	1	0	0	0	0	7					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	52	7	11	12	7	6	3	6					
		2.03%	1.25%	1.57%	2.0%	5.51%	2.47%	1.82%	3.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	58	14	16	6	5	8	4	5					
		2.27%	2.51%	2.29%	1.0%	3.93%	3.30%	2.43%	2.97%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	84	16	27	18	5	11	1	6					
		3.28%	2.87%	3.86%	3.0%	3.93%	4.54%	0.60%	3.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	80	29	28	14	2	5	1	1					
		3.13%	5.21%	4.01%	2.33%	1.57%	2.06%	0.60%	0.59%					
22	"5. ""За Русь Святую"""	7	2	3	0	1	1	0	0					
