Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Татышлинская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150					
1	"Число избирателей, внесенных в списки"	18853	349	113	363	554	152	210	227	295	386	390	151	130	514	363	810	1424	781	610	801	501	248	94	392	442	79	385	287	657	302	520	380	195	228	104	243	339	111	626	225	266	152	488	203	359	380	383	443	391	396	206	205					
2	"Число бюллетеней, полученных участковыми комиссиями"	19245	351	117	360	573	154	211	227	301	395	394	155	133	525	373	804	1456	765	786	798	503	241	96	465	442	81	391	285	680	306	518	373	198	228	105	245	341	112	699	228	271	152	486	203	344	376	376	431	390	396	203	202					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15052	281	108	292	447	131	175	167	210	276	319	113	111	396	286	608	1082	617	606	551	389	185	83	357	353	61	289	226	477	217	408	299	148	177	92	190	248	92	607	201	188	126	387	172	311	306	321	376	312	346	178	154					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	868	12	0	13	9	4	0	23	9	41	18	19	5	22	10	5	13	5	4	27	20	19	7	35	13	3	21	19	28	25	28	35	13	25	4	16	34	11	19	9	39	15	59	6	10	19	18	0	17	29	19	14					
6	Число погашенных бюллетеней	3325	58	9	55	117	19	36	37	82	78	57	23	17	107	77	191	361	143	176	220	94	37	6	73	76	17	81	40	175	64	82	39	37	26	9	39	59	9	73	18	44	11	40	25	23	51	37	55	61	21	6	34					
7	Число бюллетеней в переносных ящиках для голосования	868	12	0	13	9	4	0	23	9	41	18	19	5	22	10	5	13	5	4	27	20	19	7	35	13	3	21	19	28	25	28	35	13	25	4	16	34	11	19	9	39	15	59	6	10	19	18	0	17	29	19	14					
8	Число бюллетеней в стационарных ящиках для голосования	15050	281	108	292	447	131	175	167	210	276	319	113	111	395	286	608	1082	617	606	550	389	185	83	357	353	61	289	226	477	217	408	299	148	177	92	190	248	92	607	201	188	126	387	172	311	306	321	376	312	346	178	154					
9	Число недействительных бюллетеней	811	17	1	9	34	4	7	11	8	13	2	20	1	15	14	21	46	40	26	33	35	8	4	0	15	3	17	14	19	22	20	18	10	11	16	24	5	2	31	5	16	10	46	10	16	16	17	31	20	16	2	10					
10	Число действительных бюллетеней	15107	276	107	296	422	131	168	179	211	304	335	112	115	402	282	592	1049	582	584	544	374	196	86	392	351	61	293	231	486	220	416	316	151	191	80	182	277	101	595	205	211	131	400	168	305	309	322	345	309	359	195	158					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	5	2	6	9	2	3	4	5	6	6	2	2	8	5	13	23	12	12	13	8	4	2	7	7	1	6	4	11	5	8	5	3	4	2	4	5	2	11	3	4	3	8	3	5	6	6	7	6	6	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	61	1	0	0	6	0	0	1	0	3	0	0	0	0	5	13	8	10	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	1	0	1	0	3	2	2	2	1	1	0	0	2	1	0	5	1	1	0	2	1	0	1	3	0	1	0	2	0	4	2	0	1	0	1	0	0	10	0	2	1	3	1	0	1	1	2	0	0	3	2					
14	Число погашенных открепительных удостоверений	239	4	2	6	3	2	3	3	5	3	6	2	2	8	0	0	15	2	6	13	8	4	2	7	7	1	6	4	11	5	7	5	2	4	2	4	5	2	11	2	4	3	8	3	5	5	5	6	6	6	1	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	683	19	9	18	24	7	7	14	14	0	13	4	6	14	9	29	46	24	31	24	21	9	3	0	10	2	9	14	30	6	20	23	5	3	4	13	20	0	18	9	6	4	18	7	3	22	24	34	10	13	9	2					
		4.29%	6.48%	8.33%	5.90%	5.26%	5.18%	4.0%	7.36%	6.39%	0.0%	3.85%	3.03%	5.17%	3.35%	3.04%	4.73%	4.20%	3.85%	5.08%	4.15%	5.13%	4.41%	3.33%	0.0%	2.73%	3.12%	2.90%	5.71%	5.94%	2.47%	4.58%	6.88%	3.10%	1.48%	4.16%	6.31%	7.09%	0.0%	2.87%	4.28%	2.64%	2.83%	4.03%	3.93%	0.93%	6.76%	7.07%	9.04%	3.03%	3.46%	4.56%	1.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	225	2	0	0	5	0	0	1	2	2	1	2	1	3	3	14	27	12	10	11	6	3	0	22	5	0	2	2	13	4	5	6	1	2	2	0	5	2	6	2	7	0	14	1	3	1	1	4	2	5	1	2					
		1.41%	0.68%	0.0%	0.0%	1.09%	0.0%	0.0%	0.52%	0.91%	0.63%	0.29%	1.51%	0.86%	0.71%	1.01%	2.28%	2.46%	1.92%	1.63%	1.90%	1.46%	1.47%	0.0%	5.61%	1.36%	0.0%	0.64%	0.81%	2.57%	1.65%	1.14%	1.79%	0.62%	0.99%	2.08%	0.0%	1.77%	1.94%	0.95%	0.95%	3.08%	0.0%	3.13%	0.56%	0.93%	0.30%	0.29%	1.06%	0.60%	1.33%	0.50%	1.19%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	378	6	0	2	19	1	2	9	7	9	2	1	0	5	9	12	34	14	10	20	9	11	4	5	4	1	8	4	16	10	8	6	6	2	2	4	14	0	11	1	11	7	9	9	9	6	8	10	6	11	2	2					
		2.37%	2.04%	0.0%	0.65%	4.16%	0.74%	1.14%	4.73%	3.19%	2.83%	0.59%	0.75%	0.0%	1.19%	3.04%	1.95%	3.10%	2.25%	1.63%	3.46%	2.20%	5.39%	4.44%	1.27%	1.09%	1.56%	2.58%	1.63%	3.16%	4.13%	1.83%	1.79%	3.72%	0.99%	2.08%	1.94%	4.96%	0.0%	1.75%	0.47%	4.84%	4.96%	2.01%	5.05%	2.80%	1.84%	2.35%	2.65%	1.82%	2.93%	1.01%	1.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	219	8	4	0	6	5	4	4	3	5	0	1	3	1	10	4	11	7	7	7	2	1	2	5	5	0	12	2	2	2	7	15	2	1	0	8	23	0	1	0	8	0	3	2	3	4	6	6	1	3	0	3					
		1.37%	2.73%	3.70%	0.0%	1.31%	3.70%	2.28%	2.10%	1.36%	1.57%	0.0%	0.75%	2.58%	0.23%	3.37%	0.65%	1.00%	1.12%	1.14%	1.21%	0.48%	0.49%	2.22%	1.27%	1.36%	0.0%	3.87%	0.81%	0.39%	0.82%	1.60%	4.49%	1.24%	0.49%	0.0%	3.88%	8.15%	0.0%	0.15%	0.0%	3.52%	0.0%	0.67%	1.12%	0.93%	1.23%	1.76%	1.59%	0.30%	0.8%	0.0%	1.78%					
22	"5. ""За Русь Святую"""	54	5	0	0	4	0	0	0	1	1	1	0	1	2	0	0	2	2	5	1	2	0	1	1	1	1	0	0	2	0	1	1	1	0	0	2	2	0	1	0	0	1	2	1	0	0	0	1	3	4	1	0					
		0.33%	1.70%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.45%	0.31%	0.29%	0.0%	0.86%	0.47%	0.0%	0.0%	0.18%	0.32%	0.81%	0.17%	0.48%	0.0%	1.11%	0.25%	0.27%	1.56%	0.0%	0.0%	0.39%	0.0%	0.22%	0.29%	0.62%	0.0%	0.0%	0.97%	0.70%	0.0%	0.15%	0.0%	0.0%	0.70%	0.44%	0.56%	0.0%	0.0%	0.0%	0.26%	0.91%	1.06%	0.50%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	74	0	1	2	9	3	0	0	1	4	1	0	0	1	1	3	1	4	0	4	4	4	3	0	1	0	3	1	4	2	1	0	0	0	0	0	2	0	0	5	0	2	0	0	0	1	2	1	0	0	2	1					
		0.46%	0.0%	0.92%	0.65%	1.97%	2.22%	0.0%	0.0%	0.45%	1.26%	0.29%	0.0%	0.0%	0.23%	0.33%	0.48%	0.09%	0.64%	0.0%	0.69%	0.97%	1.96%	3.33%	0.0%	0.27%	0.0%	0.96%	0.40%	0.79%	0.82%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	2.38%	0.0%	1.41%	0.0%	0.0%	0.0%	0.30%	0.58%	0.26%	0.0%	0.0%	1.01%	0.59%					
24	"7. ""Новый курс - Автомобильная Россия"""	108	2	1	0	4	1	1	2	2	1	3	0	0	0	0	2	11	10	15	6	0	1	0	4	0	1	0	3	6	3	4	3	0	3	0	3	1	0	1	0	2	0	1	2	1	0	1	1	2	2	0	2					
		0.67%	0.68%	0.92%	0.0%	0.87%	0.74%	0.57%	1.05%	0.91%	0.31%	0.89%	0.0%	0.0%	0.0%	0.0%	0.32%	1.00%	1.60%	2.45%	1.03%	0.0%	0.49%	0.0%	1.02%	0.0%	1.56%	0.0%	1.22%	1.18%	1.23%	0.91%	0.89%	0.0%	1.48%	0.0%	1.45%	0.35%	0.0%	0.15%	0.0%	0.88%	0.0%	0.22%	1.12%	0.31%	0.0%	0.29%	0.26%	0.60%	0.53%	0.0%	1.19%					
25	"8. ""Народно-республиканская партия России"""	67	0	0	2	1	0	5	1	2	1	3	2	1	1	1	3	1	0	2	2	1	0	1	4	0	0	3	0	0	4	4	0	1	1	1	1	1	0	2	0	1	1	2	1	0	0	2	3	3	2	0	0					
