Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    территориальная избирательная комиссия Муромского района																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036					
1	"Число избирателей, внесенных в списки избирателей"	12996	187	275	116	361	296	181	271	527	225	351	329	359	222	413	187	606	485	245	632	136	795	362	175	195	492	719	210	562	406	348	180	310	268	264	381	160	765					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12755	170	280	120	360	290	170	260	500	230	350	330	340	200	400	200	600	480	250	630	140	800	350	180	190	480	700	200	520	410	350	170	300	250	260	380	155	760					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7957	63	190	70	192	221	116	126	369	162	194	243	219	127	229	146	353	252	140	389	103	505	206	124	117	271	454	120	312	251	219	103	199	141	139	237	119	536					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1770	92	44	28	82	15	32	66	35	19	51	26	44	39	38	16	77	78	48	87	10	74	51	16	46	68	42	32	95	44	48	31	43	57	68	47	25	56					
6	Число погашенных избирательных бюллетеней	3028	15	46	22	86	54	22	68	96	49	105	61	77	34	133	38	170	150	62	154	27	221	93	40	27	141	204	48	113	115	83	36	58	52	53	96	11	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1770	92	44	28	82	15	32	66	35	19	51	26	44	39	38	16	77	78	48	87	10	74	51	16	46	68	42	32	95	44	48	31	43	57	68	47	25	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7956	63	190	70	192	221	116	126	369	162	194	243	219	127	229	146	353	252	140	389	103	505	206	124	117	270	454	120	312	251	219	103	199	141	139	237	119	536					
9	Число недействительных избирательных бюллетеней	156	3	1	0	3	3	0	6	3	3	9	1	5	3	5	1	9	6	4	5	4	5	7	6	0	8	10	3	11	1	1	3	7	2	8	2	0	8					
10	Число действительных избирательных бюллетеней	9570	152	233	98	271	233	148	186	401	178	236	268	258	163	262	161	421	324	184	471	109	574	250	134	163	330	486	149	396	294	266	131	235	196	199	282	144	584					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	217	4	4	4	10	1	4	6	7	5	6	5	5	4	7	5	12	4	5	12	4	8	5	4	2	7	7	4	7	10	5	5	5	4	4	13	4	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	157	1	2	4	7	1	1	3	5	4	5	0	1	0	2	5	12	1	5	12	4	8	5	4	1	0	5	4	7	10	5	1	1	1	4	13	4	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	124	3	3	2	5	5	3	1	6	1	2	1	1	4	4	3	5	3	1	7	1	5	6	4	4	6	4	3	4	5	0	3	5	1	0	3	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	60	3	2	0	3	0	3	3	2	1	1	5	4	4	5	0	0	3	0	0	0	0	0	0	1	7	2	0	0	0	0	4	4	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	1.Политическая партия «Аграрная партия России»	376	8	8	1	9	4	1	6	12	5	13	19	5	3	4	9	18	12	9	26	14	23	5	2	4	21	21	19	30	18	5	1	2	3	8	5	3	20					
		3.87%	5.16%	3.42%	1.02%	3.28%	1.69%	0.68%	3.13%	2.97%	2.76%	5.31%	7.06%	1.90%	1.81%	1.50%	5.56%	4.19%	3.64%	4.79%	5.46%	12.39%	3.97%	1.95%	1.43%	2.45%	6.21%	4.23%	12.50%	7.37%	6.10%	1.87%	0.75%	0.83%	1.52%	3.86%	1.76%	2.08%	3.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	24	1	0	0	0	0	1	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	2	0	1	0	3	0	1	2	0	2					
		0.25%	0.65%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	1.22%	0.37%	0.38%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.21%	0.00%	0.00%	0.39%	0.71%	0.00%	0.30%	0.20%	0.00%	0.49%	0.00%	0.37%	0.00%	1.24%	0.00%	0.48%	0.70%	0.00%	0.34%					
20	3.Политическая партия «Демократическая партия России»	8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.37%	0.00%	0.23%	0.00%	0.00%	0.21%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1129	31	49	35	24	21	10	17	72	21	22	39	30	23	45	21	59	39	38	27	11	58	14	17	22	25	70	19	38	19	12	19	26	16	35	28	13	64					
		11.61%	20.00%	20.94%	35.71%	8.76%	8.90%	6.76%	8.85%	17.82%	11.60%	8.98%	14.50%	11.41%	13.86%	16.85%	12.96%	13.72%	11.82%	20.21%	5.67%	9.73%	10.02%	5.45%	12.14%	13.50%	7.40%	14.11%	12.50%	9.34%	6.44%	4.49%	14.18%	10.74%	8.08%	16.91%	9.86%	9.03%	10.81%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	7	0	0	0	3	0	0	0	0	0	1	2	2	0	1	0	0					
		0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.41%	0.37%	0.38%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.21%	0.00%	1.21%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.83%	1.01%	0.00%	0.35%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	20	0	1	0	1	0	0	0	0	0	2	1	0	1	0	1	0	1	0	0	0	1	0	0	0	2	2	1	1	1	0	0	0	0	0	1	1	2					
		0.21%	0.00%	0.43%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.37%	0.00%	0.60%	0.00%	0.62%	0.00%	0.30%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.59%	0.40%	0.66%	0.25%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.69%	0.34%					
24	7.Политическая партия «Либерально-демократическая партия России»	814	8	24	10	13	18	8	8	32	15	16	29	27	15	17	13	34	35	10	58	13	42	19	8	13	32	57	12	40	21	14	5	14	13	21	26	15	59					
		8.37%	5.16%	10.26%	10.20%	4.74%	7.63%	5.41%	4.17%	7.92%	8.29%	6.53%	10.78%	10.27%	9.04%	6.37%	8.02%	7.91%	10.61%	5.32%	12.18%	11.50%	7.25%	7.39%	5.71%	7.98%	9.47%	11.49%	7.89%	9.83%	7.12%	5.24%	3.73%	5.79%	6.57%	10.14%	9.15%	10.42%	9.97%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	621	8	16	15	19	15	3	9	22	9	14	19	17	8	10	12	28	25	2	35	8	33	11	5	8	32	52	3	21	22	18	8	18	4	17	15	18	42					
		6.38%	5.16%	6.84%	15.31%	6.93%	6.36%	2.03%	4.69%	5.45%	4.97%	5.71%	7.06%	6.46%	4.82%	3.75%	7.41%	6.51%	7.58%	1.06%	7.35%	7.08%	5.70%	4.28%	3.57%	4.91%	9.47%	10.48%	1.97%	5.16%	7.46%	6.74%	5.97%	7.44%	2.02%	8.21%	5.28%	12.50%	7.09%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	87	2	1	1	2	2	1	4	4	1	1	6	4	1	5	3	7	6	1	3	2	8	2	0	1	3	1	1	2	0	0	0	2	2	0	1	0	7					
		0.89%	1.29%	0.43%	1.02%	0.73%	0.85%	0.68%	2.08%	0.99%	0.55%	0.41%	2.23%	1.52%	0.60%	1.87%	1.85%	1.63%	1.82%	0.53%	0.63%	1.77%	1.38%	0.78%	0.00%	0.61%	0.89%	0.20%	0.66%	0.49%	0.00%	0.00%	0.00%	0.83%	1.01%	0.00%	0.35%	0.00%	1.18%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6418	94	133	35	202	172	123	142	257	127	162	152	169	112	180	99	269	205	124	317	61	399	197	99	115	210	279	91	258	210	214	97	167	156	115	199	94	383					
		65.99%	60.65%	56.84%	35.71%	73.72%	72.88%	83.11%	73.96%	63.61%	70.17%	66.12%	56.51%	64.26%	67.47%	67.42%	61.11%	62.56%	62.12%	65.96%	66.60%	53.98%	68.91%	76.65%	70.71%	70.55%	62.13%	56.25%	59.87%	63.39%	71.19%	80.15%	72.39%	69.01%	78.79%	55.56%	70.07%	65.28%	64.70%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	51	0	1	1	1	1	0	0	2	0	2	0	4	0	0	2	4	1	0	2	0	2	1	2	0	1	3	1	4	3	2	0	1	0	2	4	0	4					
		0.52%	0.00%	0.43%	1.02%	0.36%	0.42%	0.00%	0.00%	0.50%	0.00%	0.82%	0.00%	1.52%	0.00%	0.00%	1.23%	0.93%	0.30%	0.00%	0.42%	0.00%	0.35%	0.39%	1.43%	0.00%	0.30%	0.60%	0.66%	0.98%	1.02%	0.75%	0.00%	0.41%	0.00%	0.97%	1.41%	0.00%	0.68%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
