Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Уфимская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК  3320					
1	"Число избирателей, внесенных в список"	39732	1145	1384	1156	2534	2183	465	559	1090	838	782	337	399	376	487	1092	196	395	267	969	1226	442	325	570	487	953	382	531	884	1902	1118	2370	96	1720	1221	632	584	277	220	861	469	176	467	1439	759	476	102	130	155	1187	497	420					
2	Число полученных избирательных бюллетеней	39250	1100	1350	1100	2500	2100	450	550	1200	850	750	330	420	450	450	1100	192	380	270	950	1300	440	310	570	480	950	380	550	870	1800	1100	2200	98	1700	1200	620	560	340	220	870	459	181	480	1330	770	467	104	132	157	1200	500	420					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34313	1075	1320	1084	2264	1619	431	364	988	765	690	269	341	274	436	994	180	302	226	865	1044	344	283	468	364	892	329	458	748	1635	1029	1987	89	1554	1017	552	423	238	200	686	392	153	372	1283	694	400	99	106	150	1051	432	354					
5	"Число избирательных бюллетеней, выданных вне помещения"	2014	7	5	14	47	81	10	38	4	15	23	44	31	65	14	21	4	60	17	26	86	11	20	50	87	29	42	73	71	111	0	174	0	44	27	38	130	18	3	117	39	12	42	36	29	67	3	18	5	37	31	38					
6	Число погашенных избирательных бюллетеней	2923	18	25	2	189	400	9	148	208	70	37	17	48	111	0	85	8	18	27	59	170	85	7	52	29	29	9	19	51	54	71	39	9	102	156	30	7	84	17	67	28	16	66	11	47	0	2	8	2	112	37	28					
7	Число избирательных бюллетеней в переносных ящиках	2014	7	5	14	47	81	10	38	4	15	23	44	31	65	14	21	4	60	17	26	86	11	20	50	87	29	42	73	71	111	0	174	0	44	27	38	130	18	3	117	39	12	42	36	29	67	3	18	5	37	31	38					
8	Число бюллетеней в стационарных ящиках для голосования	34313	1075	1320	1084	2264	1619	431	364	988	765	690	269	341	274	436	994	180	302	226	865	1044	344	283	468	364	892	329	458	748	1635	1029	1987	89	1554	1017	552	423	238	200	686	392	153	372	1283	694	400	99	106	150	1051	432	354					
9	Число недействительных избирательных бюллетеней	138	3	4	7	1	6	4	4	12	1	0	0	2	0	0	0	0	0	0	1	8	13	0	1	1	2	0	7	0	5	0	10	1	12	6	2	6	2	1	5	1	1	5	3	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	36189	1079	1321	1091	2310	1694	437	398	980	779	713	313	370	339	450	1015	184	362	243	890	1122	342	303	517	450	919	371	524	819	1741	1029	2151	88	1586	1038	588	547	254	202	798	430	164	409	1316	723	466	102	124	155	1088	463	392					
11	Число полученных открепительных  удостоверений	735	30	25	30	50	35	10	10	20	15	15	5	10	10	10	20	2	10	3	15	25	10	5	10	10	15	5	10	10	35	15	40	5	30	15	10	10	8	2	15	10	3	10	20	15	5	3	4	5	35	10	5					
12	Число выданных открепительных удостоверений	440	24	22	30	50	22	2	5	15	3	3	2	2	2	5	12	0	2	3	5	15	6	1	7	3	7	2	7	10	28	9	14	0	17	4	8	10	2	2	15	5	1	4	15	10	5	1	0	0	11	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	283	5	5	8	12	28	0	9	8	3	5	2	2	1	4	5	0	0	3	5	9	5	3	0	1	5	2	4	7	17	2	5	0	0	12	3	5	5	0	4	2	1	1	0	1	0	1	0	0	37	9	37					
14	Число неиспользованных открепительных удостоверений	295	6	3	0	0	13	8	5	5	12	12	3	8	8	5	8	2	8	0	10	10	4	4	3	7	8	3	3	0	7	6	26	5	13	11	2	0	6	0	0	5	2	6	5	5	0	2	4	5	24	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	309	14	14	15	6	37	1	11	8	6	6	3	6	1	0	0	0	4	0	7	17	2	3	8	4	0	2	11	0	12	9	0	1	15	3	2	12	2	0	4	2	3	19	8	2	8	0	0	0	15	3	3					
		0.85%	1.29%	1.06%	1.37%	0.26%	2.18%	0.23%	2.74%	0.81%	0.77%	0.84%	0.96%	1.61%	0.29%	0.00%	0.00%	0.00%	1.10%	0.00%	0.79%	1.50%	0.56%	0.99%	1.54%	0.89%	0.00%	0.54%	2.07%	0.00%	0.69%	0.87%	0.00%	1.12%	0.94%	0.29%	0.34%	2.17%	0.78%	0.00%	0.50%	0.46%	1.82%	4.59%	0.61%	0.28%	1.71%	0.00%	0.00%	0.00%	1.38%	0.65%	0.77%					
19	. Малышкин Олег Александрович	188	5	10	8	0	17	1	5	9	2	3	0	3	1	2	9	0	2	4	8	6	0	0	0	2	1	1	6	1	9	1	0	1	10	3	1	6	1	0	12	4	2	5	3	3	4	3	3	0	7	2	2					
