Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
"Наименование Избирательной комиссии:    Улан-Удэ, Советская"																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765					
1	"Число избирателей, внесенных в списки"	54557	1236	1337	1665	978	2185	1892	2239	2083	2255	1688	838	1730	2472	2349	1717	2673	2109	1909	2930	2947	3221	2375	2848	2843	824	1017	1210	15	72	10	68	21	801					
2	"Число бюллетеней, полученных участковыми комиссиями"	56210	1275	1395	1715	1015	2265	2025	2615	2545	2345	1765	815	1805	2575	2445	1745	2545	2045	1945	2945	3045	3045	2245	2845	2845	845	1045	1245	20	70	15	75	20	1025					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20204	343	417	661	509	857	804	773	621	925	683	441	752	974	485	718	1160	501	589	885	965	1659	561	1056	1056	242	185	401	15	70	10	67	18	801					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	586	46	23	54	8	60	39	26	19	43	24	0	31	17	10	12	38	16	6	14	21	11	27	15	9	4	7	4	0	0	0	0	2	0					
6	Число погашенных бюллетеней	35420	886	955	1000	498	1348	1182	1816	1905	1377	1058	374	1022	1584	1950	1015	1347	1528	1350	2046	2059	1375	1657	1774	1780	599	853	840	5	0	5	8	0	224					
7	Число бюллетеней в переносных ящиках для голосования	586	46	23	54	8	60	39	26	19	43	24	0	31	17	10	12	38	16	6	14	21	11	27	15	9	4	7	4	0	0	0	0	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	20180	343	417	661	509	844	804	773	621	924	683	441	752	974	485	718	1160	500	589	885	962	1654	560	1056	1056	242	185	401	15	70	10	67	18	801					
9	Число недействительных бюллетеней	392	10	13	14	8	12	7	17	19	16	3	4	8	15	10	11	25	5	12	11	20	32	12	25	10	13	4	2	3	13	0	0	1	37					
10	Число действительных бюллетеней	20374	379	427	701	509	892	836	782	621	951	704	437	775	976	485	719	1173	511	583	888	963	1633	575	1046	1055	233	188	403	12	57	10	67	19	764					
