Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Моршанская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404					
1	"Число избирателей, внесенных в списки избирателей"	27744	1003	787	80	412	284	333	258	305	286	115	575	280	346	539	732	287	122	228	114	361	109	213	632	484	1065	1188	1449	215	358	984	383	376	621	395	58	100	380	94	158	105	60	170	64	748	516	390	308	447	597	108	258	1277	1434	541	1131	1061	389	86	489	404	158	294					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25360	850	700	82	370	250	300	220	280	250	114	550	280	330	500	700	270	119	210	115	320	118	207	600	460	1000	1100	1200	207	330	900	350	350	600	360	56	99	350	84	156	105	61	169	68	700	500	360	280	420	550	106	250	1100	1200	500	1000	900	350	100	490	390	154	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14158	564	413	30	197	150	269	165	174	154	58	429	114	129	334	436	209	66	58	57	188	59	71	258	216	567	582	573	158	198	573	200	231	286	216	33	65	264	59	95	30	56	123	52	374	245	217	182	211	282	56	145	639	630	328	435	421	201	54	219	228	38	94					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3968	64	113	29	56	64	0	43	48	70	36	73	77	115	67	115	44	25	92	33	102	43	75	105	74	191	93	142	37	82	60	86	63	175	92	21	26	29	25	56	43	0	27	0	122	87	38	68	85	83	41	67	78	16	10	59	41	34	4	129	22	61	112					
6	Число погашенных избирательных бюллетеней	7234	222	174	23	117	36	31	12	58	26	20	48	89	86	99	149	17	28	60	25	30	16	61	237	170	242	425	485	12	50	267	64	56	139	52	2	8	57	0	5	32	5	19	16	204	168	105	30	124	185	9	38	383	554	162	506	438	115	42	142	140	55	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3968	64	113	29	56	64	0	43	48	70	36	73	77	115	67	115	44	25	92	33	102	43	75	105	74	191	93	142	37	82	60	86	63	175	92	21	26	29	25	56	43	0	27	0	122	87	38	68	85	83	41	67	78	16	10	59	41	34	4	129	22	61	112					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14158	564	413	30	197	150	269	165	174	154	58	429	114	129	334	436	209	66	58	57	188	59	71	258	216	567	582	573	158	198	573	200	231	286	216	33	65	264	59	95	30	56	123	52	374	245	217	182	211	282	56	145	639	630	328	435	421	201	54	219	228	38	94					
9	Число недействительных избирательных бюллетеней	142	8	9	0	0	2	0	0	3	0	0	1	1	1	3	0	1	1	1	0	0	0	0	0	0	5	6	8	1	0	4	1	4	7	5	0	0	1	2	2	0	0	0	0	5	2	3	2	2	5	0	1	2	9	0	5	3	0	0	21	3	1	1					
10	Число действительных избирательных бюллетеней	17984	620	517	59	253	212	269	208	219	224	94	501	190	243	398	551	252	90	149	90	290	102	146	363	290	753	669	707	194	280	629	285	290	454	303	54	91	292	82	149	73	56	150	52	491	330	252	248	294	360	97	211	715	637	338	489	459	235	58	327	247	98	205					
