Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Моршанская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
1	"Число избирателей, внесенных в список избирателей"	26510	1130	847	393	377	220	193	390	346	295	267	529	551	542	303	789	314	365	98	178	625	487	1083	1196	1442	202	337	1033	388	365	572	383	491	703	478	362	299	394	515	315	206	1280	1285	576	1056	1060	382	464	404					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25110	1100	800	350	350	200	190	380	340	290	250	500	550	500	300	750	300	350	90	160	600	450	1000	1000	1300	200	340	1000	370	350	550	350	450	690	450	350	280	400	500	300	200	1150	1250	650	1000	1000	350	450	380					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15711	722	512	233	297	92	43	107	172	192	127	422	333	338	169	494	243	205	46	103	401	356	636	775	869	152	223	412	248	231	387	191	314	307	291	155	225	117	190	225	190	870	868	483	368	780	262	191	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3947	83	133	109	0	60	95	81	120	71	93	57	158	55	79	160	38	96	42	46	100	88	183	73	126	11	58	137	68	64	65	92	120	131	72	26	32	124	151	72	8	78	45	22	66	116	24	197	22					
6	Число погашенных избирательных бюллетеней	5452	295	155	8	53	48	52	192	48	27	30	21	59	107	52	96	19	49	2	11	99	6	181	152	305	37	59	451	54	55	98	67	16	252	87	169	23	159	159	3	2	202	337	145	566	104	64	62	214					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3945	83	133	109	0	60	95	81	120	71	93	57	158	55	79	160	38	96	42	46	98	88	183	73	126	11	58	137	68	64	65	92	120	131	72	26	32	124	151	72	8	78	45	22	66	116	24	197	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15710	722	512	233	297	92	43	107	172	192	127	422	333	338	169	494	243	205	46	103	401	356	636	775	869	152	223	412	248	231	387	191	314	307	291	155	225	117	190	225	190	870	868	483	367	780	262	191	144					
9	Число недействительных избирательных бюллетеней	314	17	5	0	0	3	0	2	1	3	0	9	0	10	3	3	1	0	27	0	9	6	32	7	56	0	0	11	0	0	1	7	35	8	7	4	8	2	5	8	3	6	4	1	2	1	7	0	0					
10	Число действительных избирательных бюллетеней	19341	788	640	342	297	149	138	186	291	260	220	470	491	383	245	651	280	301	61	149	490	438	787	841	939	163	281	538	316	295	451	276	399	430	356	177	249	239	336	289	195	942	909	504	431	895	279	388	166					
