Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Кизилюртовская городская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485					
1	"Число избирателей, внесенных в списки"	24368	1205	1202	1238	288	934	888	1036	743	1152	1089	1211	1081	951	1063	1229	912	1677	868	1365	922	1997	1317					
2	"Число бюллетеней, полученных участковыми комиссиями"	24110	1173	1176	1210	285	902	888	1025	723	1138	1075	1211	1056	951	1053	1219	912	1677	868	1365	904	1997	1302					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23051	1121	1124	1157	272	862	849	981	691	1089	1029	1158	1010	910	1007	1166	872	1603	829	1302	865	1909	1245					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	0					
6	Число погашенных бюллетеней	1037	52	52	53	13	40	39	44	32	49	46	53	46	41	46	53	40	74	39	60	39	69	57					
7	Число бюллетеней в переносных ящиках для голосования	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	0					
8	Число бюллетеней в стационарных ящиках для голосования	23032	1121	1124	1157	272	862	849	981	691	1089	1029	1158	1010	910	1007	1166	872	1603	829	1302	865	1890	1245					
9	Число недействительных бюллетеней	11	0	2	1	0	0	1	0	0	2	1	0	0	0	2	0	0	0	0	1	0	1	0					
10	Число действительных бюллетеней	23043	1121	1122	1156	272	862	848	981	691	1087	1028	1158	1010	910	1005	1166	872	1603	829	1304	865	1908	1245					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	10	10	9	8	9	9	9	8	8	9	9	9	9	8	9	9	10	9	10	9	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	192	10	10	9	8	9	9	9	8	8	9	9	10	9	8	9	9	10	9	10	0	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2288	111	113	115	27	85	84	97	69	108	102	115	100	90	100	116	87	159	82	129	86	189	124					
		9.92%	9.90%	10.05%	9.93%	9.92%	9.86%	9.89%	9.88%	9.98%	9.91%	9.91%	9.93%	9.90%	9.89%	9.93%	9.94%	9.97%	9.91%	9.89%	9.88%	9.94%	9.90%	9.95%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	91	6	0	5	0	6	0	0	0	11	10	0	0	5	0	8	0	15	4	0	10	11	0					
		0.39%	0.53%	0.0%	0.43%	0.0%	0.69%	0.0%	0.0%	0.0%	1.01%	0.97%	0.0%	0.0%	0.54%	0.0%	0.68%	0.0%	0.93%	0.48%	0.0%	1.15%	0.57%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	941	46	46	47	11	35	34	40	28	45	42	47	41	37	41	48	36	66	34	53	35	78	51					
		4.08%	4.10%	4.09%	4.06%	4.04%	4.06%	4.00%	4.07%	4.05%	4.13%	4.08%	4.05%	4.05%	4.06%	4.07%	4.11%	4.12%	4.11%	4.10%	4.06%	4.04%	4.08%	4.09%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	134	6	10	6	4	2	7	11	8	0	0	11	0	6	5	5	8	2	5	14	0	11	13					
		0.58%	0.53%	0.88%	0.51%	1.47%	0.23%	0.82%	1.12%	1.15%	0.0%	0.0%	0.94%	0.0%	0.65%	0.49%	0.42%	0.91%	0.12%	0.60%	1.07%	0.0%	0.57%	1.04%					
37	"20. ""Политическая партия ""Единая Россия"""	12425	604	605	624	146	465	457	529	372	586	554	624	550	490	542	628	470	864	447	703	466	1028	671					
		53.89%	53.88%	53.82%	53.93%	53.67%	53.94%	53.82%	53.92%	53.83%	53.81%	53.83%	53.88%	54.45%	53.84%	53.82%	53.85%	53.89%	53.89%	53.92%	53.86%	53.87%	53.85%	53.89%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7146	348	348	359	84	266	263	304	214	337	319	359	318	282	311	361	270	497	257	404	268	591	386					
		30.99%	31.04%	30.96%	31.02%	30.88%	30.85%	30.97%	30.98%	30.96%	30.94%	31.00%	31.00%	31.48%	30.98%	30.88%	30.96%	30.96%	31.00%	31.00%	30.95%	30.98%	30.95%	31.00%					
																													
41	Против всех	18	0	0	0	0	3	3	0	0	0	1	2	1	0	6	0	1	0	0	1	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.34%	0.35%	0.0%	0.0%	0.0%	0.09%	0.17%	0.09%	0.0%	0.59%	0.0%	0.11%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
