Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Шацкая																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19530	376	253	240	434	178	328	476	1163	967	248	76	193	173	434	163	254	139	313	138	190	455	478	225	209	86	22	276	224	67	61	315	226	226	243	281	241	161	119	143	170	183	1023	1129	1608	1703	1142	1182	540	56									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19600	390	250	240	440	185	330	485	1165	975	265	75	195	175	435	160	255	140	330	145	200	460	480	230	210	88	23	280	220	67	62	325	225	235	250	280	240	160	125	145	170	185	1030	1140	1600	1700	1100	1130	550	55									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8681	201	121	100	227	48	194	275	431	441	146	31	92	85	160	70	105	63	147	63	90	209	195	175	85	51	15	78	121	19	21	163	95	97	137	103	89	70	54	59	82	99	414	520	636	755	558	438	229	24									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2508	65	69	71	67	71	69	74	41	66	61	32	38	44	114	51	76	62	63	30	25	30	63	32	75	9	5	52	26	32	20	42	65	72	48	121	100	52	13	16	49	21	35	6	67	42	36	45	118	27									
6	Число погашенных избирательных бюллетеней	8411	124	60	69	146	66	67	136	693	468	58	12	65	46	161	39	74	15	120	52	85	221	222	23	50	28	3	150	73	16	21	120	65	66	65	56	51	38	58	70	39	65	581	614	897	903	506	647	203	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2508	65	69	71	67	71	69	74	41	66	61	32	38	44	114	51	76	62	63	30	25	30	63	32	75	9	5	52	26	32	20	42	65	72	48	121	100	52	13	16	49	21	35	6	67	42	36	45	118	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8681	201	121	100	227	48	194	275	431	441	146	31	92	85	160	70	105	63	147	63	90	209	195	175	85	51	15	78	121	19	21	163	95	97	137	103	89	70	54	59	82	99	414	520	636	755	558	438	229	24									
9	Число недействительных избирательных бюллетеней	95	2	0	0	0	0	2	8	10	5	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	1	2	0	0	0	0	0	0	4	0	0	0	1	0	2	7	8	9	0	4	17	7	0									
10	Число действительных избирательных бюллетеней	11094	264	190	171	294	119	261	341	462	502	207	63	130	129	274	121	181	125	210	93	115	236	256	207	159	60	20	129	145	51	41	205	160	169	185	220	189	122	67	74	131	118	442	518	694	797	590	466	340	51									
