Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Панинская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21277	1157	1181	921	847	679	1074	1061	597	152	231	146	134	327	266	375	181	689	375	238	147	560	150	692	581	577	377	625	323	842	146	136	510	209	412	465	605	219	237	446	233	1330	824									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21500	1170	1200	900	860	680	1070	1070	590	160	230	140	140	330	270	370	190	720	380	240	150	560	160	700	590	590	380	640	340	850	150	140	510	210	420	490	600	220	240	450	240	1330	830									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13108	352	852	594	657	330	851	942	339	101	142	42	63	178	114	153	108	585	213	168	94	344	53	493	359	371	306	431	42	585	76	56	244	114	113	158	509	194	158	298	189	400	737									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4288	132	156	169	54	121	121	96	91	30	81	96	55	95	142	185	70	36	106	59	43	114	77	132	127	144	54	164	193	133	58	78	226	85	162	135	53	21	69	104	26	125	70									
6	Число погашенных избирательных бюллетеней	4104	686	192	137	149	229	98	32	160	29	7	2	22	57	14	32	12	99	61	13	13	102	30	75	104	75	20	45	105	132	16	6	40	11	145	197	38	5	13	48	25	805	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4288	132	156	169	54	121	121	96	91	30	81	96	55	95	142	185	70	36	106	59	43	114	77	132	127	144	54	164	193	133	58	78	226	85	162	135	53	21	69	104	26	125	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13108	352	852	594	657	330	851	942	339	101	142	42	63	178	114	153	108	585	213	168	94	344	53	493	359	371	306	431	42	585	76	56	244	114	113	158	509	194	158	298	189	400	737									
9	Число недействительных избирательных бюллетеней	94	7	4	17	0	7	8	10	2	1	0	0	0	0	0	0	0	0	4	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	3	0	6	6									
10	Число действительных избирательных бюллетеней	17302	477	1004	746	711	444	964	1028	428	130	223	138	118	273	256	338	178	621	315	227	137	458	129	621	485	515	360	595	235	718	134	134	470	199	275	287	555	215	227	399	215	519	801									
