Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Территориальная избирательная комиссия  Железногорского района																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449					
1	"Число избирателей, внесенных в списки избирателей"	14521	1767	166	150	347	796	282	279	275	579	152	407	522	1166	1171	314	887	373	730	112	57	279	92	506	101	253	1958	194	138	213	255					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13489	1607	155	143	332	750	241	261	265	553	140	388	482	1080	1100	293	854	357	697	107	53	262	84	485	94	232	1737	176	128	196	237					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7526	1156	55	84	164	315	141	130	140	284	85	196	187	541	570	135	523	175	363	49	25	131	35	214	47	113	1238	117	79	104	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1402	25	35	17	58	107	56	61	13	17	19	85	130	93	77	84	53	40	41	15	6	30	24	100	19	54	21	19	13	44	46					
6	Число погашенных избирательных бюллетеней	4561	426	65	42	110	328	44	70	112	252	36	107	165	446	453	74	278	142	293	43	22	101	25	171	28	65	478	40	36	48	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1402	25	35	17	58	107	56	61	13	17	19	85	130	93	77	84	53	40	41	15	6	30	24	100	19	54	21	19	13	44	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7526	1156	55	84	164	315	141	130	140	284	85	196	187	541	570	135	523	175	363	49	25	131	35	214	47	113	1238	117	79	104	130					
9	Число недействительных избирательных бюллетеней	90	14	1	0	2	2	1	2	0	7	2	4	4	5	6	2	4	0	3	0	0	2	0	2	0	2	20	3	0	2	0					
10	Число действительных избирательных бюллетеней	8838	1167	89	101	220	420	196	189	153	294	102	277	313	629	641	217	572	215	401	64	31	159	59	312	66	165	1239	133	92	146	176					
