Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
"Наименование Избирательной комиссии:    Рыбинск, Пролетарская"																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697					
1	"Число избирателей, внесенных в списки"	93858	2255	2434	2332	2610	2574	2447	2482	2619	2866	2907	2817	2768	2670	2660	2461	2347	1926	522	1584	1950	2146	1203	603	718	587	682	2062	1820	2097	2709	2615	2524	2703	2475	2213	2585	2561	2270	2430	2324	2247	1822	1837	745	357	292					
2	"Число бюллетеней, полученных участковыми комиссиями"	92600	2200	2400	2300	2600	2500	2400	2400	2600	2800	2900	2800	2700	2600	2700	2400	2300	2000	500	1500	2000	2100	1200	600	700	600	700	2000	1800	2100	2700	2600	2500	2600	2500	2200	2500	2500	2300	2400	2300	2200	1800	1700	700	400	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	53585	1309	1496	1349	1531	1560	1540	1529	1551	1707	1793	1762	1773	1709	1532	1464	1361	838	197	854	1041	1091	605	241	339	244	287	856	961	1094	1512	1527	1439	1500	1455	1281	1349	1546	1365	1320	1356	1249	1037	1125	353	265	292					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2059	59	41	54	52	56	42	37	57	13	29	10	11	12	70	35	47	32	34	27	79	60	20	19	19	26	33	106	64	40	35	65	59	204	93	38	120	35	38	26	11	19	19	35	17	61	0					
6	Число погашенных бюллетеней	36956	832	863	897	1017	884	818	834	992	1080	1078	1028	916	879	1098	901	892	1130	269	619	880	949	575	340	342	330	380	1038	775	966	1153	1008	1002	896	952	881	1031	919	897	1054	933	932	744	540	330	74	8					
7	Число бюллетеней в переносных ящиках для голосования	2059	59	41	54	52	56	42	37	57	13	29	10	11	12	70	35	47	32	34	27	79	60	20	19	19	26	33	106	64	40	35	65	59	204	93	38	120	35	38	26	11	19	19	35	17	61	0					
8	Число бюллетеней в стационарных ящиках для голосования	53514	1309	1490	1347	1530	1560	1536	1526	1551	1707	1793	1762	1765	1707	1528	1447	1359	837	197	857	1041	1091	604	241	339	244	287	856	961	1093	1512	1524	1437	1495	1451	1281	1349	1541	1365	1318	1356	1248	1037	1125	353	265	292					
9	Число недействительных бюллетеней	757	16	33	22	11	14	26	26	14	21	31	21	24	8	14	14	20	19	1	10	9	15	7	1	12	14	2	20	24	29	21	14	16	23	22	16	42	19	14	21	22	20	8	10	4	1	6					
10	Число действительных бюллетеней	54816	1352	1498	1379	1571	1602	1552	1537	1594	1699	1791	1751	1752	1711	1584	1468	1386	850	230	874	1111	1136	617	259	346	256	318	942	1001	1104	1526	1575	1480	1676	1522	1303	1427	1557	1389	1323	1345	1247	1048	1150	366	325	286					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1505	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	10	30	30	40	30	10	10	10	10	30	30	40	40	40	40	40	40	40	40	40	40	40	40	40	30	30	10	5	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	553	15	14	18	22	22	13	18	16	30	21	13	8	13	14	22	19	10	2	1	8	11	5	2	3	2	1	6	4	11	18	15	17	11	16	10	11	17	28	17	14	11	17	3	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	303	5	6	8	15	5	10	13	12	9	7	3	7	5	14	18	10	5	0	7	3	5	4	6	5	1	1	3	4	3	7	8	7	16	15	1	5	10	8	2	3	2	3	6	5	4	7					
14	Число погашенных открепительных удостоверений	952	25	26	22	18	18	27	22	24	10	19	27	32	27	26	18	21	20	8	29	22	29	25	8	7	8	9	24	26	29	22	25	23	29	24	30	29	23	12	23	26	29	13	27	7	4	0					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0					
