Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Зилаирская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  2281	УИК  2282	УИК  2283	УИК  2284	УИК  2285	УИК  2286	УИК  2287	УИК  2288	УИК  2289	УИК  2290	УИК  2291	УИК  2292	УИК  2293	УИК  2294	УИК  2295	УИК  2296	УИК  2297	УИК  2298	УИК  2299	УИК  2300	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314					
1	"Число избирателей, внесенных в списки"	12715	167	203	207	321	95	92	80	142	253	329	809	33	514	48	2254	856	105	101	37	122	1807	160	32	412	110	158	206	253	150	175	1418	344	496	226					
2	"Число бюллетеней, полученных участковыми комиссиями"	12380	169	200	220	320	96	91	84	138	251	325	790	35	530	49	2200	850	106	105	39	117	1600	161	32	400	110	161	210	250	161	171	1300	329	565	215					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10546	132	189	195	260	92	79	80	136	218	287	644	27	498	47	1590	734	97	88	36	110	1410	130	32	349	110	156	192	217	144	154	1142	309	486	176					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	316	8	0	12	48	0	5	0	0	17	14	26	0	16	1	34	16	5	8	1	0	38	0	0	13	0	2	3	0	6	0	20	0	10	13					
6	Число погашенных бюллетеней	1512	29	11	13	12	4	7	4	2	16	24	120	8	16	1	572	98	4	9	2	7	152	31	0	38	0	3	15	33	11	17	138	20	69	26					
7	Число бюллетеней в переносных ящиках для голосования	316	8	0	12	48	0	5	0	0	17	14	26	0	16	1	34	16	5	8	1	0	38	0	0	13	0	2	3	0	6	0	20	0	10	13					
8	Число бюллетеней в стационарных ящиках для голосования	10546	132	189	195	260	92	79	80	136	218	287	644	27	498	47	1590	734	97	88	36	110	1410	130	32	349	110	156	192	217	144	154	1142	309	486	176					
9	Число недействительных бюллетеней	193	12	2	0	9	0	3	0	1	1	6	8	2	8	1	7	17	3	6	0	3	49	1	0	2	4	3	1	0	2	1	30	8	0	3					
10	Число действительных бюллетеней	10669	128	187	207	299	92	81	80	135	234	295	662	25	506	47	1617	733	99	90	37	107	1399	129	32	360	106	155	194	217	148	153	1132	301	496	186					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	5	5	6	8	4	4	4	4	6	8	15	3	12	3	52	20	4	4	3	4	24	5	3	10	4	5	6	6	4	5	30	6	13	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	109	1	0	0	1	0	0	0	0	0	1	2	0	4	0	45	9	0	0	0	3	13	0	0	0	3	0	2	0	0	0	16	3	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	2	1	1	5	1	2	3	1	1	2	2	0	0	1	7	3	1	1	1	3	9	1	1	3	1	1	0	0	2	0	8	0	3	2					
14	Число погашенных открепительных удостоверений	191	4	5	6	7	4	4	4	4	6	7	13	3	8	3	7	11	4	4	3	1	11	5	3	10	1	5	4	6	4	5	14	3	9	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	328	8	10	9	4	0	2	0	4	8	10	6	3	17	0	29	26	1	3	3	3	41	3	0	2	5	4	15	11	7	5	35	15	28	11					
		3.01%	5.71%	5.29%	4.34%	1.29%	0.0%	2.38%	0.0%	2.94%	3.40%	3.32%	0.89%	11.11%	3.30%	0.0%	1.78%	3.46%	0.98%	3.12%	8.10%	2.72%	2.83%	2.30%	0.0%	0.55%	4.54%	2.53%	7.69%	5.06%	4.66%	3.24%	3.01%	4.85%	5.64%	5.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	1	1	0	0	0	1	0	0	2	4	2	0	1	0	17	3	0	0	0	0	11	0	0	3	0	0	2	3	5	0	2	3	6	1					
		0.62%	0.71%	0.52%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.85%	1.32%	0.29%	0.0%	0.19%	0.0%	1.04%	0.4%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.82%	0.0%	0.0%	1.02%	1.38%	3.33%	0.0%	0.17%	0.97%	1.20%	0.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	211	5	0	1	1	5	1	2	0	9	6	0	1	3	2	68	7	3	5	0	3	32	1	0	4	1	2	3	1	3	1	28	4	7	2					
		1.94%	3.57%	0.0%	0.48%	0.32%	5.43%	1.19%	2.5%	0.0%	3.82%	1.99%	0.0%	3.70%	0.58%	4.16%	4.18%	0.93%	2.94%	5.20%	0.0%	2.72%	2.20%	0.76%	0.0%	1.10%	0.90%	1.26%	1.53%	0.46%	2.0%	0.64%	2.40%	1.29%	1.41%	1.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	66	3	0	1	1	2	1	0	2	4	3	3	0	0	2	13	0	0	1	0	1	17	0	0	2	1	0	1	1	1	0	3	1	2	0					
		0.60%	2.14%	0.0%	0.48%	0.32%	2.17%	1.19%	0.0%	1.47%	1.70%	0.99%	0.44%	0.0%	0.0%	4.16%	0.80%	0.0%	0.0%	1.04%	0.0%	0.90%	1.17%	0.0%	0.0%	0.55%	0.90%	0.0%	0.51%	0.46%	0.66%	0.0%	0.25%	0.32%	0.40%	0.0%					
22	"5. ""За Русь Святую"""	23	1	0	0	0	0	0	0	0	1	3	5	0	0	0	4	0	0	1	0	2	4	1	0	0	0	0	0	0	0	0	0	0	1	0					
		0.21%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.99%	0.74%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	1.04%	0.0%	1.81%	0.27%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	0	0	1	1	1	0	0	0	2	0	0	0	0	0	4	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	4	3	2					
		0.20%	0.0%	0.0%	0.48%	0.32%	1.08%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	1.04%	2.70%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	1.29%	0.60%	1.05%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	0	0	0	1	0	0	0	0	3	2	0	0	1	0	17	3	0	0	0	1	2	0	0	0	0	1	1	0	1	0	12	1	4	0					
		0.46%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	1.27%	0.66%	0.0%	0.0%	0.19%	0.0%	1.04%	0.4%	0.0%	0.0%	0.0%	0.90%	0.13%	0.0%	0.0%	0.0%	0.0%	0.63%	0.51%	0.0%	0.66%	0.0%	1.03%	0.32%	0.80%	0.0%					
25	"8. ""Народно-республиканская партия России"""	16	1	0	1	0	1	1	0	0	1	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1					
		0.14%	0.71%	0.0%	0.48%	0.0%	1.08%	1.19%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	2.08%	0.24%	0.0%	0.0%	0.0%	0.0%	0.90%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.08%	0.0%	0.20%	0.52%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	0	0	0	1	0	0	0	0	1	2	0	0	0	0	3	2	0	1	0	0	3	0	0	0	0	1	1	1	0	0	2	0	2	0					
		0.18%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.42%	0.66%	0.0%	0.0%	0.0%	0.0%	0.18%	0.26%	0.0%	1.04%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.63%	0.51%	0.46%	0.0%	0.0%	0.17%	0.0%	0.40%	0.0%					
27	"10. ""Аграрная партия России"""	764	13	8	8	47	0	5	4	9	29	35	15	0	23	0	62	100	11	10	4	13	73	8	0	9	12	21	14	4	29	2	106	21	50	19					
		7.03%	9.28%	4.23%	3.86%	15.25%	0.0%	5.95%	5.0%	6.61%	12.34%	11.62%	2.23%	0.0%	4.47%	0.0%	3.81%	13.33%	10.78%	10.41%	10.81%	11.81%	5.04%	6.15%	0.0%	2.48%	10.90%	13.29%	7.17%	1.84%	19.33%	1.29%	9.12%	6.79%	10.08%	10.05%					
28	"11. ""Истинные патриоты России"""	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	4	1	0	5	0	1	1					
		0.18%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.13%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.84%	0.66%	0.0%	0.43%	0.0%	0.20%	0.52%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	54	0	0	1	3	0	0	0	2	2	4	0	1	2	0	7	3	1	0	1	1	10	0	0	1	0	0	3	2	2	0	2	1	3	2					
