Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Мглинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675					
1	"Число избирателей, внесенных в списки избирателей"	15714	192	378	524	292	175	289	521	175	541	432	348	281	118	137	315	165	583	884	514	168	433	303	355	520	293	212	356	2293	2170	1747					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15600	190	380	530	290	170	290	530	180	540	440	340	280	120	150	320	170	580	900	530	180	440	300	360	520	300	210	360	2300	2100	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11626	161	286	410	223	138	241	468	164	452	341	275	237	99	93	258	101	478	606	398	135	371	262	286	401	229	157	309	1476	1535	1036					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1491	27	59	70	44	18	31	51	10	58	68	55	23	13	40	41	47	50	116	42	13	27	17	11	41	35	29	14	146	70	225					
6	Число погашенных избирательных бюллетеней	2483	2	35	50	23	14	18	11	6	30	31	10	20	8	17	21	22	52	178	90	32	42	21	63	78	36	24	37	678	495	339					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1490	27	59	70	44	18	31	51	10	58	68	55	23	13	40	41	47	50	116	42	13	27	17	11	41	35	29	14	145	70	225					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11626	161	286	410	223	138	241	468	164	452	341	275	237	99	93	258	101	478	606	398	135	371	262	286	401	229	157	309	1476	1535	1036					
9	Число недействительных избирательных бюллетеней	179	2	0	17	13	2	0	1	0	13	1	2	2	0	1	1	0	4	1	36	0	1	19	1	30	4	6	2	7	6	7					
10	Число действительных избирательных бюллетеней	12937	186	345	463	254	154	272	518	174	497	408	328	258	112	132	298	148	524	721	404	148	397	260	296	412	260	180	321	1614	1599	1254					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	225	3	5	7	4	3	4	7	3	8	6	4	5	3	4	9	3	8	14	7	13	5	4	7	7	4	0	5	26	24	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	182	1	2	4	2	0	4	1	1	8	6	1	5	3	3	9	0	1	14	7	13	3	2	7	7	0	0	5	26	24	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	104	1	2	5	2	2	5	3	1	4	2	3	1	3	3	3	2	6	5	2	3	1	3	3	3	0	2	3	11	12	8					
14	Число погашенных неиспользованных открепительных удостоверений	43	2	3	3	2	3	0	6	2	0	0	3	0	0	1	0	3	7	0	0	0	2	2	0	0	4	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
