Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
"Наименование Избирательной комиссии:    Бийск, Приобская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367					
1	"Число избирателей, внесенных в списки избирателей"	91528	1015	965	1482	1592	933	1335	2263	2792	2555	1807	1858	2126	1676	1500	1654	1435	2131	1655	1362	2245	1440	1474	2601	2110	1972	1162	2576	2281	1653	2396	2196	2459	2683	2282	2124	1533	2496	1601	2533	2550	2532	2660	2624	1845	1718	1695	1951					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89100	1000	900	1400	1500	900	1300	2200	2800	2500	1800	1800	2100	1600	1500	1600	1400	2100	1600	1300	2200	1400	1400	2400	2100	1900	1100	2500	2200	1600	2400	2100	2400	2600	2200	2100	1500	2500	1600	2500	2500	2500	2600	2600	1800	1700	1500	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45767	418	317	609	602	466	538	951	1319	1135	718	1078	1167	714	900	948	801	992	844	654	927	829	734	1356	1057	1050	663	1346	1033	721	1109	1200	1203	1200	1163	1264	891	1476	884	1400	1439	1109	1425	1388	848	869	1003	1009					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1712	26	26	34	62	15	14	54	23	54	27	29	36	64	37	27	22	38	43	34	43	29	52	118	29	58	23	42	103	59	33	22	32	18	29	41	31	36	39	18	41	16	21	23	16	54	12	9					
6	Число погашенных избирательных бюллетеней	41621	556	557	757	836	419	748	1195	1458	1311	1055	693	897	822	563	625	577	1070	713	612	1230	542	614	926	1014	792	414	1112	1064	820	1258	878	1165	1382	1008	795	578	988	677	1082	1020	1375	1154	1189	936	777	485	882					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1712	26	26	34	62	15	14	54	23	54	27	29	36	64	37	27	22	38	43	34	43	29	52	118	29	58	23	42	103	59	33	22	32	18	29	41	31	36	39	18	41	16	21	23	16	54	12	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45743	418	317	609	602	466	538	951	1319	1135	718	1078	1167	714	900	948	801	992	839	654	927	829	734	1356	1057	1050	663	1346	1033	720	1109	1200	1203	1182	1163	1264	891	1476	884	1400	1439	1109	1425	1388	848	869	1003	1009					
9	Число недействительных избирательных бюллетеней	420	7	1	10	9	8	1	8	16	11	11	4	9	6	9	1	9	10	7	6	10	11	11	10	10	9	2	17	12	9	12	15	13	11	12	6	10	16	15	0	8	6	8	13	3	13	7	8					
10	Число действительных избирательных бюллетеней	47035	437	342	633	655	473	551	997	1326	1178	734	1103	1194	772	928	974	814	1020	875	682	960	847	775	1464	1076	1099	684	1371	1124	770	1130	1207	1222	1189	1180	1299	912	1496	908	1418	1472	1119	1438	1398	861	910	1008	1010					
